#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
9948762541383,1.68325,-0.0935994,0.0530576,0.681632,-0.726914,-0.0717601,0.0427248
9948995564583,1.69694,-0.0729883,0.0676536,0.532468,-0.842199,-0.0810968,0.0245358
9949228587583,1.79194,0.00554113,0.195302,0.512496,-0.851775,-0.108058,-0.0122396
9949461610183,1.90998,0.0701267,0.331998,0.393453,-0.904611,-0.131813,-0.09746
9949694634083,1.96015,0.147208,0.446269,0.415861,-0.893622,-0.161261,-0.0499352
9949927660083,1.96795,0.18458,0.604379,0.380606,-0.894823,-0.216566,-0.0867724
9950160681183,2.02059,0.164495,0.633663,0.228767,-0.852151,-0.412741,-0.226163
9950393702983,1.98922,0.0945562,0.564283,0.121276,-0.867373,-0.472408,-0.098929
9950626726783,1.94472,0.0737437,0.571811,0.0739853,-0.899418,-0.430745,-0.00561258
9950859750183,1.91965,0.0918706,0.590565,0.00920476,-0.902612,-0.429521,0.0268071
9951092778583,1.90966,0.150648,0.617293,-0.0155276,-0.860616,-0.508337,0.026338
9951325823783,1.85731,0.259692,0.648368,0.00409329,-0.875862,-0.482361,0.0133361
9951558818283,1.72372,0.352506,0.680439,0.0797939,-0.859268,-0.504239,0.0321586
9951791843583,1.63214,0.431297,0.753256,0.114538,-0.946577,-0.267129,0.139694
9952024865383,1.65054,0.528523,0.856173,0.146672,-0.965999,-0.193973,0.087792
9952257888783,1.68692,0.584884,1.0047,0.22011,-0.961131,-0.161837,0.0398528
9952490917283,1.65034,0.662909,1.05234,0.268197,-0.955608,-0.10318,0.0651034
9952723933883,1.59894,0.867597,1.03018,0.300291,-0.939709,-0.124336,0.10636
9952956958383,1.59761,1.05891,1.04688,0.320514,-0.939642,-0.0979734,0.0688849
9953189981483,1.63548,1.05153,1.17496,0.383163,-0.922424,0.0204232,-0.0436253
9953423004883,1.53573,0.962693,1.23646,0.37777,-0.915596,0.0623606,-0.122821
9953656026283,1.44772,0.990374,1.21569,0.483818,-0.87114,-0.0497998,-0.0674895
9953889056083,1.36911,1.01538,1.18828,0.518993,-0.835017,-0.17961,0.033658
9954122073683,1.35423,1.02886,1.17828,0.548232,-0.813684,-0.162278,0.105003
9954355095383,1.33379,1.03137,1.16695,0.555013,-0.807602,-0.14812,0.133415
9954588119183,1.30363,1.00902,1.15201,0.496238,-0.835802,-0.163687,0.168494
9954821142183,1.29383,0.989566,1.16524,0.544436,-0.796691,-0.203374,0.165868
9955054166083,1.29198,0.983872,1.16636,0.546709,-0.796338,-0.206625,0.155761
9955287194483,1.29453,0.984661,1.17411,0.561714,-0.78817,-0.197255,0.156062
9955520211983,1.29268,0.985476,1.16845,0.570086,-0.782269,-0.191207,0.162781
9955753234683,1.28991,0.970843,1.13484,0.579935,-0.778359,-0.178949,0.160655
9955986257583,1.26911,0.968503,1.14851,0.633162,-0.72505,-0.16709,0.213282
9956219281383,1.25811,0.981898,1.11713,0.608634,-0.745459,-0.195988,0.188265
9956452304883,1.24215,0.974847,1.08329,0.52314,-0.79531,-0.235523,0.195797
9956685336583,1.23128,0.985938,1.07092,0.511608,-0.794027,-0.285209,0.162586
9956918350083,1.14651,0.955601,1.11156,0.548863,-0.686343,-0.406649,0.249637
9957151373683,1.11771,0.987925,1.08153,0.517933,-0.770581,-0.277942,0.246371
9957384397283,1.09249,0.985051,1.15104,0.652506,-0.720999,-0.152294,0.176643
9957617419283,0.978748,0.95585,1.13603,0.631357,-0.701053,-0.252089,0.215323
9957850449383,0.877356,1.00222,1.19217,0.671562,-0.583557,-0.30067,0.343604
9958083465883,0.788934,1.12905,1.18129,0.649076,-0.573886,-0.326743,0.377616
9958316490183,0.647862,1.14781,1.21788,0.571142,-0.511926,-0.424484,0.481187
9958549512883,0.50166,0.989522,1.15202,0.330449,-0.318586,-0.635804,0.620532
9958782536083,0.436425,0.870613,1.09869,0.0473926,-0.200749,-0.770777,0.602791
9959015558383,0.362954,0.868706,1.08444,-0.0912076,-0.118777,-0.808387,0.569283
9959248608683,0.258326,0.92272,1.07697,-0.135692,-0.0816239,-0.817771,0.553331
9959481605083,0.232632,0.926048,1.11161,-0.164497,-0.0434696,-0.818369,0.548929
9959714628383,0.304794,0.879422,1.08541,-0.170365,-0.0320446,-0.83615,0.520387
9959947651683,0.489143,0.798333,1.074,-0.173321,-0.0125354,-0.834341,0.523143
9960180673783,0.689441,0.727742,1.07923,-0.179322,0.035339,-0.832367,0.523222
9960413735183,0.872236,0.643594,1.05677,-0.22266,0.085234,-0.834701,0.49642
9960646726383,1.04073,0.554924,1.05688,-0.228624,0.129626,-0.839066,0.476337
9960879751483,1.1714,0.543477,1.07647,-0.218038,0.155053,-0.839001,0.473809
9961112766483,1.28541,0.593735,1.07991,-0.15461,0.138871,-0.843645,0.495049
9961345789283,1.42678,0.656405,1.07198,-0.12119,0.164926,-0.849111,0.486953
9961578813683,1.49112,0.714807,1.06561,-0.102122,0.195332,-0.85247,0.474037
9961811836483,1.49724,0.734512,1.07481,-0.148626,0.227734,-0.839335,0.470706
9962044901683,1.50724,0.709141,1.02832,-0.199958,0.29065,-0.847721,0.396116
9962277882183,1.54937,0.707453,1.00966,-0.213485,0.32176,-0.84086,0.379275
9962510906183,1.59719,0.737009,1.05372,-0.18688,0.303364,-0.819243,0.449319
9962743928683,1.66005,0.713209,1.07079,-0.18481,0.25288,-0.814921,0.487648
9962976951483,1.74972,0.58777,1.02377,-0.185659,0.22761,-0.834059,0.466979
9963209975283,1.83514,0.444923,0.977087,-0.168567,0.232582,-0.87002,0.400695
9963443000183,1.8812,0.369582,0.95487,-0.152724,0.236106,-0.890997,0.356444
9963676039383,1.9067,0.346697,0.962583,-0.119654,0.201558,-0.899599,0.368481
9963909044783,1.93282,0.361514,0.978077,-0.0878545,0.160307,-0.904857,0.38447
9964142068283,1.95126,0.392137,1.00428,-0.04648,0.140418,-0.897998,0.414393
9964375090483,1.94783,0.418137,1.02832,0.0158432,0.112646,-0.882631,0.456094
9964608119383,1.92884,0.441417,1.04302,0.0221112,0.106131,-0.875073,0.471694
9964841137483,1.9054,0.473301,1.0623,-0.0546199,0.175189,-0.858204,0.479387
9965074160483,1.8754,0.511272,1.07212,-0.187576,0.342006,-0.79609,0.462696
9965307183583,1.844,0.610848,1.07658,-0.306927,0.536461,-0.674877,0.40317
9965540205383,1.75381,0.805344,1.08605,-0.427914,0.720626,-0.449549,0.309021
9965773229783,1.54005,0.961611,1.09424,-0.507934,0.82535,-0.193131,0.153303
9966006258483,1.32671,1.03982,1.05584,-0.498999,0.863224,-0.0581355,0.0496522
9966239275583,1.15879,1.07396,1.0024,-0.431366,0.90131,0.0284767,-0.0274496
9966472299083,1.09677,1.06483,0.992828,-0.418824,0.906108,0.0516691,-0.0297394
9966705321583,1.101,1.04307,0.983963,-0.408155,0.91162,0.0485321,0.00207275
9966938345483,1.13183,0.998864,0.99449,-0.423433,0.90352,0.059068,0.029462
9967171368483,1.19588,0.915241,1.01347,-0.452941,0.888931,0.0676274,0.00851341
9967870437283,1.27558,0.811405,1.04275,-0.45289,0.883798,0.0341226,-0.112371
9968103460683,1.22584,0.852893,1.02631,-0.426852,0.896281,0.00601131,-0.120174
9968336537783,1.22468,0.89708,1.01212,-0.420198,0.903088,-0.0637231,-0.0616812
9968569508483,1.20945,0.917,1.00145,-0.409385,0.905633,-0.110513,-0.0044232
9968802535083,1.22296,0.910321,1.00807,-0.412488,0.88993,-0.132526,0.142532
9969035553183,1.24167,0.895825,1.01398,-0.397528,0.88048,-0.141507,0.216107
9969268576283,1.25794,0.840212,1.02004,-0.392729,0.873829,-0.20759,0.197718
9969501599283,1.23884,0.774546,1.00227,-0.398595,0.878967,-0.237057,0.111103
9969734622983,1.24305,0.673952,1.00511,-0.411337,0.871761,-0.251448,0.0872274
9969967645383,1.3005,0.550287,1.03615,-0.406167,0.810267,-0.355926,0.227621
9970200672783,1.34422,0.469505,1.06956,-0.38753,0.745193,-0.414804,0.349922
9970433692283,1.32464,0.530997,1.04739,-0.463477,0.793091,-0.357266,0.168987
9970666714683,1.24916,0.617176,1.04532,-0.505746,0.822242,-0.260203,-0.0208073
9970899739283,1.14948,0.70818,1.07744,-0.53816,0.828506,-0.131565,-0.0815583
9971132760283,1.05285,0.844426,1.07905,-0.5286,0.845961,-0.00908686,-0.0696436
9971365790983,0.949378,0.933316,1.07694,-0.499179,0.859152,0.0785683,-0.0806545
9971598807883,0.884029,0.966161,1.07932,-0.488966,0.854055,0.145278,-0.101965
9972064852983,0.872446,0.993757,1.07027,-0.461839,0.846829,0.223712,-0.139783
9972297876983,0.944796,1.02661,1.06925,-0.46647,0.854045,0.193064,-0.125458
9972530900183,1.04889,1.06231,1.07527,-0.483246,0.859072,0.135619,-0.100379
9972763928583,1.10906,1.06935,1.07462,-0.482707,0.863305,0.125066,-0.0778267
9972996968383,1.0928,1.04951,1.08129,-0.480635,0.848751,0.18603,-0.118344
9973229968683,1.01651,0.996838,1.08211,-0.470096,0.828055,0.260206,-0.160088
9973462992883,0.873458,0.879337,1.10378,-0.511989,0.763057,0.341729,-0.197059
9973696015883,0.70108,0.720704,1.09278,-0.527246,0.699909,0.431774,-0.213801
9973929038483,0.586661,0.592876,1.0271,-0.424015,0.67748,0.549674,-0.243086
9974162066983,0.553287,0.564813,1.02627,-0.409996,0.668713,0.569933,-0.244752
9974395085583,0.545994,0.605291,1.08885,-0.49493,0.657442,0.505262,-0.259856
9974628108583,0.553827,0.711276,1.16592,-0.630974,0.646014,0.358392,-0.236841
9974861131583,0.556248,0.830564,1.22429,-0.71373,0.62309,0.233715,-0.218462
9975094155483,0.528801,0.897754,1.26924,-0.774416,0.549537,0.186104,-0.2523
9975327176983,0.473924,0.943455,1.28763,-0.825607,0.503762,0.180154,-0.179282
9975560207883,0.376376,0.979251,1.26431,-0.821549,0.505965,0.214167,-0.152281
9975793224083,0.236364,0.991658,1.21167,-0.675754,0.572618,0.36663,-0.28469
9976026245883,0.14114,0.951219,1.16178,-0.420939,0.504411,0.579215,-0.482586
9976259269183,0.184636,0.913607,1.15909,-0.18911,0.284848,0.72471,-0.598243
9976492292483,0.271076,0.909453,1.23786,-0.0953942,0.118308,0.641441,-0.751969
9976725316483,0.386425,0.869838,1.26291,-0.0452338,0.0515695,0.596226,-0.799881
9976958341383,0.582736,0.769705,1.21186,0.0580292,-0.10339,0.687642,-0.716304
