#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
9948762541383,1.6555632353,-0.0630455092,0.0611295514,0.6931692958,-0.7156931758,-0.0819688812,0.0240983088
9948995564583,1.6667336226,-0.0526105091,0.0748491138,0.5607962012,-0.8234552741,-0.0860383064,0.0051466296
9949228587583,1.7603833675,0.0332128815,0.2029419690,0.5119374394,-0.8525033593,-0.1043856218,-0.0161798354
9949461610183,1.8810560703,0.0941085666,0.3440252542,0.4026655853,-0.8996652365,-0.1309187561,-0.1064100564
9949694634083,1.9398474693,0.1679254323,0.4603119195,0.4272406697,-0.8889024854,-0.1565751582,-0.0529343411
9949927660083,1.9266786575,0.2092152536,0.6248458624,0.3785305917,-0.8934287429,-0.2192667872,-0.1020870656
9950160681183,2.0020549297,0.1764963567,0.6283862591,0.2357021868,-0.8544077277,-0.4070486426,-0.2207789272
9950393702983,1.9740110636,0.1113617569,0.5655636191,0.1317533702,-0.8682208657,-0.4695072174,-0.0916329026
9950626726783,1.9150630236,0.0791223124,0.5684899688,0.0877309516,-0.8985484242,-0.4299650788,-0.0066441912
9950859750183,1.9066648483,0.1132429615,0.6005384326,0.0168352127,-0.9010415077,-0.4323579371,0.0301233940
9951092778583,1.8951166868,0.1698846370,0.6229994297,-0.0089209843,-0.8591830730,-0.5108181238,0.0281025711
9951325823783,1.8529049158,0.2788634002,0.6592763662,0.0103390627,-0.8740457296,-0.4853235185,0.0199582651
9951558818283,1.7176492214,0.3679808974,0.6909430623,0.0869382098,-0.8584990501,-0.5038114190,0.0399411879
9951791843583,1.6176878214,0.4573513865,0.7730449438,0.1173838675,-0.9455663562,-0.2683590651,0.1418057978
9952024865383,1.6290848255,0.5543309450,0.8786727190,0.1480405033,-0.9649066925,-0.1977436244,0.0890877694
9952257888783,1.6704233885,0.5974715948,1.0202013254,0.2255488187,-0.9593417048,-0.1641912460,0.0428076237
9952490917283,1.6294660568,0.6826096773,1.0702294111,0.2705635428,-0.9546060562,-0.1056613848,0.0660182312
9952723933883,1.5824372768,0.8757370114,1.0420640707,0.3052839339,-0.9374786019,-0.1273276210,0.1082743630
9952956958383,1.5622878075,1.0629996061,1.0658483505,0.3249901831,-0.9382261634,-0.0987075195,0.0661052391
9953189981483,1.6052379608,1.0627175570,1.1944650412,0.3862706423,-0.9211962819,0.0190309249,-0.0427820906
9953423004883,1.5132558346,0.9732028842,1.2490541935,0.3848426640,-0.9131241441,0.0600525476,-0.1203920469
9953656026283,1.4268791676,1.0069283247,1.2284443378,0.4868209064,-0.8695029020,-0.0509895198,-0.0661081001
9953889056083,1.3478455544,1.0332850218,1.1978522539,0.5215691924,-0.8332484961,-0.1801162511,0.0349397026
9954122073683,1.3251289129,1.0340530872,1.1896901131,0.5512145758,-0.8112118244,-0.1643061340,0.1053634435
9954355095383,1.3028360605,1.0403939486,1.1817196608,0.5563347340,-0.8063107729,-0.1501862109,0.1334119737
9954588119183,1.2744106054,1.0223944187,1.1621161699,0.4973947704,-0.8344978094,-0.1657553613,0.1695199013
9954821142183,1.2587083578,0.9945886731,1.1777975559,0.5456901193,-0.7957611084,-0.2044067383,0.1649381071
9955054166083,1.2572878599,0.9910002351,1.1792787313,0.5479641557,-0.7949544191,-0.2089927047,0.1552576125
9955287194483,1.2610460520,0.9935344458,1.1840238571,0.5621766448,-0.7870963216,-0.1998955458,0.1564565152
9955520211983,1.2581677437,0.9924464822,1.1779918671,0.5718768239,-0.7803114057,-0.1937843263,0.1628457457
9955753234683,1.2526595592,0.9816781878,1.1508429050,0.5801557302,-0.7772889733,-0.1827752292,0.1607311815
9955986257583,1.2337896824,0.9757092595,1.1568337679,0.6331037283,-0.7241555452,-0.1703256965,0.2139334679
9956219281383,1.2167907953,0.9850346446,1.1325682402,0.6086300611,-0.7447587252,-0.1995998770,0.1872532964
9956452304883,1.2058014870,0.9851655960,1.0923616886,0.5241809487,-0.7935628295,-0.2393900454,0.1954095513
9956685336583,1.1900942326,0.9930059314,1.0827316046,0.5114925504,-0.7926724553,-0.2898672223,0.1613157094
9956918350083,1.1122431755,0.9681875706,1.1122972965,0.5479089022,-0.6856741309,-0.4085025191,0.2505445182
9957151373683,1.0728813410,0.9764937162,1.0921773911,0.5210975409,-0.7687748075,-0.2794547975,0.2436139584
9957384397283,1.0482754707,0.9829735160,1.1602959633,0.6517669559,-0.7208649516,-0.1568092257,0.1759670675
9957617419283,0.9427892566,0.9586147070,1.1380733252,0.6318960786,-0.6990682483,-0.2561548352,0.2153965682
9957850449383,0.8389375210,0.9989285469,1.1926312447,0.6698086262,-0.5848342776,-0.3038081229,0.3420905471
9958083465883,0.7518374920,1.1125003099,1.1769258976,0.6495520473,-0.5728686452,-0.3284476399,0.3768632710
9958316490183,0.6006498933,1.1382484436,1.2196857929,0.5684870481,-0.5111239552,-0.4308786094,0.4794980586
9958549512883,0.4620905221,0.9825959802,1.1482843161,0.3259603977,-0.3193776309,-0.6391438842,0.6190662384
9958782536083,0.4188062251,0.8630327582,1.0977447033,0.0478656143,-0.2017181665,-0.7706223726,0.6026273966
9959015558383,0.3569224775,0.8636239171,1.0790712833,-0.0887068436,-0.1204952523,-0.8073915839,0.5707284808
9959248608683,0.2550106645,0.9157809019,1.0727852583,-0.1336513758,-0.0856728032,-0.8171867132,0.5540789366
9959481605083,0.2320494950,0.9210333228,1.1039946079,-0.1624303162,-0.0467817225,-0.8173267245,0.5508221388
9959714628383,0.3047312796,0.8714513183,1.0828936100,-0.1680600047,-0.0357243344,-0.8356289864,0.5217315555
9959947651683,0.4807142317,0.7910468578,1.0731306076,-0.1717095822,-0.0159108527,-0.8338009715,0.5244413018
9960180673783,0.6814179420,0.7218209505,1.0774005651,-0.1779439300,0.0331139527,-0.8319525719,0.5244944692
9960413735183,0.8663718104,0.6317884326,1.0553890467,-0.2205165774,0.0826007128,-0.8347105384,0.4978030920
9960646726383,1.0421502590,0.5418074727,1.0543383360,-0.2261977792,0.1280082017,-0.8386312127,0.4786922336
