#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
9948762541383,0.0000000000,0.0000000000,0.0000000000,0.6884946823,-0.7234171033,-0.0514089316,0.0000000000
9948995564583,0.0120502915,0.0097286655,0.0134894587,0.5546959043,-0.8303285241,-0.0518490113,-0.0133680515
9949228587583,0.1130700707,0.0898280144,0.1396729201,0.5048858523,-0.8597803712,-0.0693540946,-0.0325274616
9949461610183,0.2392308712,0.1431598216,0.2790486217,0.3919036090,-0.9074404240,-0.0950264558,-0.1180399805
9949694634083,0.3046451211,0.2138685286,0.3938153684,0.4187102020,-0.8977099657,-0.1205108240,-0.0653900057
9949927660083,0.2963711321,0.2585864663,0.5578033924,0.3682802320,-0.9045473337,-0.1833099872,-0.1120767146
9950160681183,0.3697201014,0.2205111533,0.5615238547,0.2218446583,-0.8725512624,-0.3733700514,-0.2236832082
9950393702983,0.3368198276,0.1573331952,0.5000822544,0.1233443394,-0.8878268600,-0.4341475070,-0.0898092166
9950626726783,0.2762539983,0.1304329187,0.5041223168,0.0825159848,-0.9160602093,-0.3924479187,-0.0030970115
9950859750183,0.2717345953,0.1660085618,0.5358804464,0.0133089656,-0.9181520939,-0.3942923844,0.0367845781
9951092778583,0.2658998072,0.2241492569,0.5577359200,-0.0116908783,-0.8796276450,-0.4741210938,0.0364369489
9951325823783,0.2341083139,0.3372140825,0.5928803682,0.0070961048,-0.8937828541,-0.4475959837,0.0275624208
9951558818283,0.1080024764,0.4383439124,0.6246226430,0.0847981125,-0.8796739578,-0.4658379257,0.0444754735
9951791843583,0.0177311730,0.5375295281,0.7064882517,0.1177807972,-0.9563218355,-0.2256381214,0.1437483430
9952024865383,0.0394063145,0.6350889802,0.8106515408,0.1456822008,-0.9731438756,-0.1541868895,0.0894096047
9952257888783,0.0867444202,0.6769179702,0.9512219429,0.2210356742,-0.9669810534,-0.1205332801,0.0395315476
9952490917283,0.0547283515,0.7664219737,1.0005419254,0.2667996883,-0.9598909020,-0.0615989789,0.0602745973
9952723933883,0.0252429117,0.9629238844,0.9701268673,0.3036463857,-0.9437425733,-0.0833192319,0.1010288298
9952956958383,0.0227036458,1.1519553661,0.9914649129,0.3213354349,-0.9436076880,-0.0547872037,0.0578481592
9953189981483,0.0677907616,1.1500898600,1.1197545528,0.3772245646,-0.9224458337,0.0617434829,-0.0546177998
9953423004883,-0.0303045809,1.0702514648,1.1768487692,0.3722326756,-0.9129663706,0.1019008607,-0.1324822605
9953656026283,-0.1128365695,1.1116360426,1.1568572521,0.4775202870,-0.8747016788,-0.0099195782,-0.0822983235
9953889056083,-0.1888242662,1.1449091434,1.1269149780,0.5177744031,-0.8438678384,-0.1395754814,0.0177565292
9954122073683,-0.2107224017,1.1479972601,1.1191577911,0.5506331921,-0.8209298253,-0.1240726411,0.0865057036
9954355095383,-0.2317000329,1.1566039324,1.1115059853,0.5569945574,-0.8152566552,-0.1099433005,0.1141326055
9954588119183,-0.2610926628,1.1413650513,1.0926387310,0.4996653497,-0.8434759974,-0.1243080348,0.1530697197
9954821142183,-0.2782627344,1.1156933308,1.1090509892,0.5482405424,-0.8068436384,-0.1643842459,0.1463337243
9955054166083,-0.2792237103,1.1126781702,1.1107631922,0.5501577258,-0.8062942028,-0.1690351367,0.1365407258
9955287194483,-0.2744420767,1.1153397560,1.1155978441,0.5644568205,-0.7981055975,-0.1601916850,0.1369474232
9955520211983,-0.2767225802,1.1148480177,1.1097791195,0.5744894743,-0.7910614610,-0.1542742550,0.1427690834
9955753234683,-0.2827408910,1.1046825647,1.0830084085,0.5826664567,-0.7875952721,-0.1433526725,0.1401553154
9955986257583,-0.3012416065,1.1009187698,1.0894485712,0.6382703781,-0.7339822650,-0.1326314658,0.1904992014
9956219281383,-0.3168694377,1.1118388176,1.0654090643,0.6126942635,-0.7558491230,-0.1612439752,0.1652223319
9956452304883,-0.3275260627,1.1128660440,1.0254909992,0.5286456943,-0.8057806492,-0.1991967857,0.1776850373
9956685336583,-0.3418252170,1.1223785877,1.0160926580,0.5147640705,-0.8072615862,-0.2499284595,0.1445073187
9956918350083,-0.4204774499,1.1054464579,1.0469932556,0.5565553308,-0.7054269314,-0.3724721372,0.2321283966
9957151373683,-0.4584174156,1.1174281836,1.0273568630,0.5282225013,-0.7824797034,-0.2400182486,0.2260480672
9957384397283,-0.4807708263,1.1273390055,1.0958110094,0.6553466320,-0.7302849889,-0.1193722188,0.1515088826
9957617419283,-0.5875226855,1.1127222776,1.0752128363,0.6379964948,-0.7126082182,-0.2194994390,0.1922761649
9957850449383,-0.6859239340,1.1632843018,1.1305162907,0.6825553775,-0.6001276970,-0.2713286281,0.3167738914
9958083465883,-0.7619040608,1.2844429016,1.1144380569,0.6640595794,-0.5889210701,-0.2965005636,0.3525399268
9958316490183,-0.9089199305,1.3245581388,1.1586159468,0.5885424018,-0.5307130814,-0.4015688002,0.4590250552
9958549512883,-1.0608650446,1.1814907789,1.0908018351,0.3546914160,-0.3461674452,-0.6187548637,0.6095117331
9958782536083,-1.1144239902,1.0660892725,1.0423849821,0.0774681568,-0.2328342050,-0.7569892406,0.6056023240
9959015558383,-1.1754637957,1.0723725557,1.0244982243,-0.0598108545,-0.1526112109,-0.7982854247,0.5795454383
9959248608683,-1.2715330124,1.1333998442,1.0166506767,-0.1057134792,-0.1166539714,-0.8101340532,0.5647118092
9959481605083,-1.2943806648,1.1431411505,1.0474845171,-0.1343881488,-0.0774982497,-0.8122110963,0.5623583198
9959714628383,-1.2283810377,1.0886139870,1.0257314444,-0.1412563622,-0.0670074895,-0.8311690688,0.5335866213
9959947651683,-1.0611792803,0.9940376282,1.0150979757,-0.1447053999,-0.0472630896,-0.8301759958,0.5363155603
9960180673783,-0.8684223294,0.9086866975,1.0181559324,-0.1506469697,0.0015974301,-0.8304491043,0.5363368392
9960413735183,-0.6961247921,0.8046431541,0.9955776930,-0.1941055059,0.0504377745,-0.8357111216,0.5112397075
9960646726383,-0.5383188725,0.7037121058,0.9945329428,-0.2006100565,0.0943294689,-0.8417893648,0.4921871722
9960879751483,-0.4095444381,0.6799575090,1.0160417557,-0.1901820451,0.1191182584,-0.8428243399,0.4891715050
9961112766483,-0.2896490395,0.7191560268,1.0173193216,-0.1262162179,0.1035643369,-0.8467381597,0.5063381195
9961345789283,-0.1530397981,0.7690560818,1.0069676638,-0.0936277583,0.1285249740,-0.8531261086,0.4968812466
9961578813683,-0.0786526203,0.8171991706,0.9985095263,-0.0747638792,0.1587052643,-0.8578165174,0.4830878973
9961811836483,-0.0764613077,0.8352535963,1.0093529224,-0.1214263588,0.1915005296,-0.8469650149,0.4808675945
9962044901683,-0.0680302978,0.8088164926,0.9616299868,-0.1749743521,0.2539835870,-0.8584697247,0.4097635448
9962277882183,-0.0251596756,0.8028272390,0.9441499114,-0.1886642724,0.2848998010,-0.8536491394,0.3930915296
9962510906183,0.0248080678,0.8314684033,0.9885885119,-0.1602615565,0.2682381868,-0.8301730156,0.4617112279
9962743928683,0.0859091654,0.8000916839,1.0058132410,-0.1566393673,0.2183067799,-0.8235497475,0.4995719492
9962976951483,0.1631431878,0.6655490994,0.9579672813,-0.1583628356,0.1922994405,-0.8416186571,0.4791870117
9963209975283,0.2346263677,0.5165731311,0.9103579521,-0.1436656862,0.1950721294,-0.8779896498,0.4128453135
9963443000183,0.2702585459,0.4402539730,0.8906420469,-0.1298163235,0.1967354119,-0.8991001844,0.3688657284
9963676039383,0.2958524227,0.4165107310,0.8982361555,-0.0966582447,0.1621524841,-0.9056299925,0.3797344267
9963909044783,0.3211630583,0.4289633334,0.9147171974,-0.0646660104,0.1210287958,-0.9089719057,0.3936246634
9964142068283,0.3433470130,0.4581507146,0.9397915602,-0.0219071414,0.1008665189,-0.9007417560,0.4219125807
9964375090483,0.3417145014,0.4846227467,0.9648062587,0.0412889719,0.0734513775,-0.8838781118,0.4600647986
9964608119383,0.3199177086,0.5092563629,0.9822187424,0.0472953022,0.0675265864,-0.8760531545,0.4751150310
9964841137483,0.2963768244,0.5475217700,1.0010608435,-0.0287052747,0.1381510347,-0.8620550036,0.4867766798
9965074160483,0.2691180706,0.5908052325,1.0106153488,-0.1608310044,0.3088715672,-0.8080285788,0.4752068818
9965307183583,0.2516291738,0.6919784546,1.0133246183,-0.2811143100,0.5084971786,-0.6970396638,0.4201679230
9965540205383,0.1818989664,0.8952925205,1.0281581879,-0.4058113694,0.7038265467,-0.4816250801,0.3286072314
9965773229783,-0.0145490207,1.0657650232,1.0334872007,-0.4936673939,0.8190943599,-0.2333796024,0.1758148372
9966006258483,-0.2066766620,1.1660931110,0.9953044653,-0.4892488420,0.8630914092,-0.1029469892,0.0714893788
9966239275583,-0.3648005426,1.2118881941,0.9451245666,-0.4261450768,0.9044157863,-0.0184127856,-0.0096729370
9966472299083,-0.4361656010,1.2093858719,0.9357725382,-0.4146699011,0.9098799229,0.0047475114,-0.0120352618
9966705321583,-0.4347463846,1.1896282434,0.9266353846,-0.4027473330,0.9151194692,0.0021387432,0.0186132323
9966938345483,-0.4091780782,1.1427508593,0.9380111098,-0.4164174497,0.9078919888,0.0134148989,0.0463525131
