#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
2265630593196,0.405558,1.8648,0.277653,0.652955,0.134375,0.726776,-0.165499
2265760141196,0.408602,1.86915,0.278522,0.652698,0.135309,0.726693,-0.166115
2266019238196,0.408034,1.86797,0.277247,0.652974,0.135309,0.726516,-0.165805
2266148822196,0.408209,1.86885,0.274139,0.653567,0.135099,0.725906,-0.16631
2266796525196,0.407897,1.86746,0.268769,0.654598,0.134462,0.725018,-0.166645
2266926073196,0.407762,1.86658,0.267103,0.654936,0.134064,0.724747,-0.166814
2267055622196,0.40797,1.86643,0.26807,0.654726,0.134251,0.724936,-0.166669
2267185172196,0.408375,1.86639,0.267626,0.65481,0.134183,0.724864,-0.166708
2267444268196,0.404918,1.85901,0.272915,0.654518,0.133621,0.725727,-0.164539
2267573847196,0.406698,1.85379,0.2712,0.640519,0.153353,0.73742,-0.14977
2267703363196,0.419762,1.85293,0.267174,0.577184,0.177421,0.784478,-0.141331
2267832911196,0.43472,1.84598,0.263822,0.50929,0.188699,0.830643,-0.122675
2267962458196,0.442566,1.83968,0.262445,0.456747,0.214268,0.859477,-0.0822799
2268092006196,0.435894,1.8275,0.308952,0.435794,0.223943,0.868558,-0.074433
2268221553196,0.400116,1.80365,0.388535,0.411549,0.233548,0.87653,-0.0881967
2268739748196,0.224508,1.67551,0.696874,0.355375,0.2517,0.893956,-0.105817
2268869298196,0.204172,1.65516,0.751623,0.354741,0.224727,0.900912,-0.109607
2268998871196,0.192258,1.65125,0.796655,0.350848,0.198832,0.910205,-0.0943328
2269517036196,0.0940899,1.62268,1.00535,0.293441,0.168825,0.934587,-0.109262
2269646584196,0.0612024,1.61299,1.05656,0.293895,0.187356,0.929422,-0.121236
2269776133196,0.0266034,1.61432,1.07464,0.252561,0.177695,0.942678,-0.126474
2270035227196,-0.0028255,1.67134,1.02768,0.158774,0.0763211,0.981976,-0.0684826
2270164775196,-0.0256447,1.70565,0.981926,0.0362156,-0.0136647,0.998806,0.0297919
2270294324196,-0.0458182,1.71484,0.952769,-0.0451886,-0.0454642,0.987128,0.146526
2270423897196,-0.0580883,1.71465,0.946898,-0.130545,-0.0853249,0.979924,0.124208
2270553420196,-0.0674129,1.7238,0.953256,-0.162473,-0.0712239,0.971281,0.158563
2270682967196,-0.0741252,1.73272,0.968378,-0.103048,-0.0791272,0.973847,0.186394
