#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
2265630593196,0.4065507352,1.8498675823,0.2850077450,0.6528882384,0.1315576881,0.7282361388,-0.1615604013
2265760141196,0.4067513943,1.8504095078,0.2795333266,0.6485870481,0.1311462075,0.7320273519,-0.1620848775
2266019238196,0.4081962109,1.8523020744,0.2774848342,0.6548377275,0.1323760450,0.7263076901,-0.1616827995
2266148822196,0.4082019627,1.8528968096,0.2766357362,0.6555351615,0.1322410852,0.7256119847,-0.1620903760
2266796525196,0.4092027545,1.8540104628,0.2748160958,0.6554512978,0.1325965375,0.7256087661,-0.1621533632
2266926073196,0.4099744558,1.8543531895,0.2742585242,0.6554463506,0.1326182336,0.7255768180,-0.1622984856
2267055622196,0.4102402329,1.8535625935,0.2736394107,0.6554676294,0.1326661110,0.7255800962,-0.1621587873
2267185172196,0.4101544023,1.8539257050,0.2737085819,0.6555144191,0.1325661838,0.7255353332,-0.1622516513
2267444268196,0.4101302326,1.8545563221,0.2716642618,0.6558154821,0.1324712634,0.7252662182,-0.1623158753
2267573847196,0.4118092358,1.8491624594,0.2676791847,0.6418281794,0.1520304978,0.7370909452,-0.1471063197
2267703363196,0.4195158482,1.8446478844,0.2612712979,0.5787983537,0.1755590886,0.7842871547,-0.1380771101
2267832911196,0.4347585440,1.8359534740,0.2626563609,0.5038744211,0.1888514906,0.8349971175,-0.1150025651
2267962458196,0.4447048604,1.8278112411,0.2635639310,0.4514861107,0.2141744196,0.8630083799,-0.0742038563
2268092006196,0.4387614429,1.8131318092,0.3094527125,0.4408450425,0.2212184817,0.8670365810,-0.0704670399
2268221553196,0.4029454589,1.7913991213,0.3974646926,0.4136006832,0.2308645695,0.8765734434,-0.0851764232
2268739748196,0.2289981246,1.6744792461,0.7131393552,0.3552155197,0.2454716861,0.8947019577,-0.1143418550
2268869298196,0.2077250481,1.6555489302,0.7687454224,0.3548001945,0.2180150300,0.9013084173,-0.1192870960
2268998871196,0.1980910152,1.6577723026,0.8144378066,0.3494969904,0.1918502003,0.9109402299,-0.1059876308
2269517036196,0.0886847153,1.6240800619,1.0121121407,0.2982605696,0.1672055721,0.9330308437,-0.1119659767
2269646584196,0.0561239645,1.6138192415,1.0628782511,0.2981932163,0.1853332967,0.9280739427,-0.1241416559
2269776133196,0.0220490824,1.6145699024,1.0813186169,0.2563374639,0.1755836159,0.9415879846,-0.1298984885
2270035227196,-0.0040732604,1.6749886274,1.0336825848,0.1599600464,0.0734129697,0.9816046953,-0.0739969686
2270164775196,-0.0116001265,1.7160607576,0.9872314930,0.0297127627,-0.0173899215,0.9992431998,0.0181031674
