kf_id,score,node_score_graph,node_score_loop,img_bbox_coverage,total_observed_lms_score,time_score
2617482926196,0.379413,0.7,0,0,0,0.994126
2617223830196,0.219266,0.3,0,0,0,0.992658
2617094281196,0.259192,0.4,0,0,0,0.991924
2616705636196,0.178972,0.2,0,0,0,0.989721
2615669253196,0.258385,0.4,0,0,0,0.983847
2615280610196,0.138164,0.1,0,0,0,0.981645
2614762418196,0.0978708,0,0,0,0,0.978708
2614114679196,0.0975037,0,0,0,0,0.975037
2613985130196,0.0974302,0,0,0,0,0.974302
2613855586196,0.0973568,0,0,0,0,0.973568
2613466939196,0.0971365,0,0,0,0,0.971365
2613207842196,0.0969897,0,0,0,0,0.969897
2612948749196,0.0968429,0,0,0,0,0.968429
2612301011196,0.0964758,0,0,0,0,0.964758
2612171462196,0.0964023,0,0,0,0,0.964023
2611782815196,0.0961821,0,0,0,0,0.961821
2611653282196,0.0961087,0,0,0,0,0.961087
2611394175196,0.0959618,0,0,0,0,0.959618
2611264627196,0.0958884,0,0,0,0,0.958884
2611135079196,0.095815,0,0,0,0,0.95815
2610875980196,0.0956681,0,0,0,0,0.956681
2610616889196,0.0955213,0,0,0,0,0.955213
2610487338196,0.0954479,0,0,0,0,0.954479
2610357790196,0.0953744,0,0,0,0,0.953744
2610228243196,0.095301,0,0,0,0,0.95301
2610098697196,0.0952276,0,0,0,0,0.952276
2609969156196,0.0951542,0,0,0,0,0.951542
2609839598196,0.0950807,0,0,0,0,0.950807
2609710050196,0.0950073,0,0,0,0,0.950073
2609580503196,0.0949339,0,0,0,0,0.949339
2609191861196,0.0947136,0,0,0,0,0.947136
2609062313196,0.0946402,0,0,0,0,0.946402
2608932764196,0.0945668,0,0,0,0,0.945668
2608803240196,0.0944934,0,0,0,0,0.944934
2608673667196,0.09442,0,0,0,0,0.9442
2608544119196,0.0943465,0,0,0,0,0.943465
2608414571196,0.0942731,0,0,0,0,0.942731
2608285025196,0.0941997,0,0,0,0,0.941997
2608155477196,0.0941263,0,0,0,0,0.941263
2608025928196,0.0940528,0,0,0,0,0.940528
2607896379196,0.0939794,0,0,0,0,0.939794
2607766834196,0.093906,0,0,0,0,0.93906
2607637285196,0.0938326,0,0,0,0,0.938326
2607507736196,0.0937592,0,0,0,0,0.937592
2607378188196,0.133686,0.1,0,0,0,0.936857
2607248640196,0.253612,0.4,0,0,0,0.936123
2607119094196,0.453539,0.9,0,0,0,0.935389
2606989544196,0.493465,1,0,0,0,0.934655
2606600903196,0.493245,1,0,0,0,0.932452
2606341805196,0.493098,1,0,0,0,0.930984
2606212258196,0.453025,0.9,0,0,0,0.93025
2606082709196,0.452952,0.9,0,0,0,0.929515
2605953198196,0.492878,1,0,0,0,0.928781
2605823613196,0.492805,1,0,0,0,0.928047
2605564520196,0.452658,0.9,0,0,0,0.926578
2605434969196,0.412584,0.8,0,0,0,0.925844
2604916779196,0.492291,1,0,0,0,0.922907
2604398587196,0.491997,1,0,0,0,0.919971
2604269039196,0.451924,0.9,0,0,0,0.919236
2604139491196,0.41185,0.8,0,0,0,0.918502
2604009942196,0.411777,0.8,0,0,0,0.917768
2603880394196,0.411703,0.8,0,0,0,0.917034
2603621300196,0.451557,0.9,0,0,0,0.915565
2602973559196,0.491189,1,0,0,0,0.911894
2602714464196,0.0910426,0,0,0,0,0.910426
2601937176196,0.090602,0,0,0,0,0.90602
2601807629196,0.0905286,0,0,0,0,0.905286
2601548534196,0.0903818,0,0,0,0,0.903818
2601418987196,0.0903084,0,0,0,0,0.903084
2600771245196,0.0899413,0,0,0,0,0.899413
2600641697196,0.0898678,0,0,0,0,0.898678
2600382601196,0.089721,0,0,0,0,0.89721
2600253077196,0.0896476,0,0,0,0,0.896476
2599993958196,0.0895007,0,0,0,0,0.895007
2599864412196,0.0894273,0,0,0,0,0.894273
2599346219196,0.0891336,0,0,0,0,0.891336
2599216671196,0.0890602,0,0,0,0,0.890602
2599087123196,0.0889868,0,0,0,0,0.889868
2598957576196,0.0889133,0,0,0,0,0.889133
2598568931196,0.0886931,0,0,0,0,0.886931
2598439384196,0.0886197,0,0,0,0,0.886197
2598050739196,0.0883994,0,0,0,0,0.883994
2597921192196,0.088326,0,0,0,0,0.88326
2597532548196,0.0881057,0,0,0,0,0.881057
2597143903196,0.0878854,0,0,0,0,0.878854
2597014355196,0.087812,0,0,0,0,0.87812
2596884810196,0.0877386,0,0,0,0,0.877386
2596755263196,0.0876652,0,0,0,0,0.876652
2596496165196,0.0875183,0,0,0,0,0.875183
2596366616196,0.0874449,0,0,0,0,0.874449
2596237069196,0.0873715,0,0,0,0,0.873715
2596107520196,0.207298,0.3,0,0,0,0.872981
2595978009196,0.167225,0.2,0,0,0,0.872247
2595848426196,0.207151,0.3,0,0,0,0.871513
2595718879196,0.0870778,0,0,0,0,0.870778
2595589329196,0.0870044,0,0,0,0,0.870044
2595330234196,0.126858,0.1,0,0,0,0.868576
2595071138196,0.206711,0.3,0,0,0,0.867107
2594941589196,0.206637,0.3,0,0,0,0.866373
2594812044196,0.206564,0.3,0,0,0,0.865639
2594552951196,0.286417,0.5,0,0,0,0.86417
2594293851196,0.24627,0.4,0,0,0,0.862702
2593775664196,0.165977,0.2,0,0,0,0.859765
2593646113196,0.205903,0.3,0,0,0,0.859031
