#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
2265630593196,0.0000000000,0.0000000000,0.0000000000,0.6698143482,-0.0461776145,0.7410913110,0.0000000000
2265760141196,-0.0001151912,0.0005795968,-0.0054724533,0.6657509804,-0.0474926941,0.7446595430,-0.0015316856
2265889689196,-0.0001248143,0.0029748194,-0.0083386861,0.6726403236,-0.0456922129,0.7385573387,-0.0006113402
2266019238196,0.0002682640,0.0029274405,-0.0075212130,0.6717420816,-0.0449196361,0.7394219637,0.0003422166
2266148822196,-0.0000101468,0.0034565334,-0.0083681541,0.6725195050,-0.0448850878,0.7387170792,0.0001130400
2266278334196,-0.0002224919,0.0040743789,-0.0088390149,0.6724520326,-0.0446234047,0.7387942672,0.0002300622
2266407882196,-0.0000791002,0.0043136328,-0.0093024392,0.6723892093,-0.0446092300,0.7388523221,0.0001752505
2266537430196,-0.0001918514,0.0044641020,-0.0094737699,0.6724733114,-0.0444781594,0.7387836576,0.0002060641
2266666977196,0.0002835808,0.0040063160,-0.0099330265,0.6724655628,-0.0446084477,0.7387828827,0.0001693866
2266796525196,0.0003439591,0.0049067349,-0.0101894215,0.6724527478,-0.0445402041,0.7387987375,0.0000305513
2266926073196,0.0008622090,0.0055659045,-0.0107512092,0.6724828482,-0.0445130058,0.7387729287,-0.0001114114
2267055622196,0.0014591679,0.0049858056,-0.0113768103,0.6724700928,-0.0444679223,0.7387872338,0.0000292740
2267185172196,0.0012166313,0.0052712653,-0.0113043506,0.6725378036,-0.0445533320,0.7387204766,-0.0000496148
2267314717196,0.0009906553,0.0051895506,-0.0124533679,0.6726964116,-0.0445100814,0.7385786176,-0.0000498486
2267444268196,0.0008886115,0.0058281841,-0.0133433016,0.6728464961,-0.0445791073,0.7384377718,-0.0000402771
2267573847196,0.0048464071,0.0018208382,-0.0173675120,0.6555559635,-0.0283896308,0.7545278072,0.0113283629
2267703363196,0.0137153231,0.0014048795,-0.0238383655,0.5919969678,-0.0169025585,0.8057474494,0.0049959193
2267832911196,0.0312536284,0.0007765506,-0.0225708075,0.5135310888,-0.0161622390,0.8578661680,0.0094961179
2267962458196,0.0438342765,-0.0018374610,-0.0217127725,0.4527673721,0.0017880966,0.8908783793,0.0365275145
2268092006196,0.0457228981,-0.0176739618,0.0241884310,0.4415182769,0.0076612784,0.8964316249,0.0375957824
2268221553196,0.0247271825,-0.0537440367,0.1124897003,0.4185418189,0.0146568846,0.9079239368,0.0167960767
2268351103196,-0.0059353784,-0.1008289978,0.2019691467,0.3970277607,0.0235151164,0.9174188375,-0.0125970440
2268480650196,-0.0355938487,-0.1481450796,0.2885794044,0.3888160884,0.0381477438,0.9205179214,-0.0037070282
2268610200196,-0.0588172786,-0.1941192150,0.3665263653,0.3776726425,0.0342780985,0.9252626896,-0.0087923333
2268739748196,-0.0726928562,-0.2386845797,0.4291482270,0.3687550128,0.0243248846,0.9288600087,-0.0254414659
2268869298196,-0.0823521540,-0.2654722631,0.4849511683,0.3695579767,-0.0039269016,0.9287082553,-0.0302096698
2268998871196,-0.0916146263,-0.2681176364,0.5308719873,0.3612359762,-0.0315946043,0.9317566752,-0.0184353311
2269128391196,-0.1029958725,-0.2665242255,0.5679737926,0.2958779335,-0.1147212982,0.9474381804,-0.0406971350
2269257940196,-0.1278151572,-0.2759733498,0.6080435514,0.2500630915,-0.1492823213,0.9558138847,-0.0400392264
2269387488196,-0.1528482288,-0.3080742061,0.6628417373,0.2687782347,-0.1098448932,0.9565258026,-0.0274019036
2269517036196,-0.1714575291,-0.3492998183,0.7295075059,0.3129011691,-0.0609027892,0.9471352696,-0.0363112502
2269646584196,-0.1951759756,-0.3736695647,0.7805745602,0.3157441616,-0.0421525463,0.9466816187,-0.0481949300
2269776133196,-0.2255911231,-0.3889437020,0.7993806601,0.2764647305,-0.0549391508,0.9573339820,-0.0637226775
2269905679196,-0.2527786195,-0.3776741326,0.7900714278,0.2318094522,-0.1110909432,0.9643139243,-0.0634185970
2270035227196,-0.2772747278,-0.3477427661,0.7526920438,0.1695954651,-0.1636843085,0.9712970853,-0.0320432782
2270164775196,-0.3034938276,-0.3150171936,0.7069896460,0.0212533996,-0.2559891641,0.9660803676,0.0265831500
2270294324196,-0.3232534528,-0.3093891144,0.6765019894,-0.0874580592,-0.2822896540,0.9477657080,0.1200157478
2270423897196,-0.3400585949,-0.3258868754,0.6666531563,-0.1611319929,-0.3191049099,0.9300358891,0.0850992352
2270553420196,-0.3515824378,-0.3353106976,0.6721313000,-0.1989094764,-0.3038436174,0.9240484834,0.1193672270
2270682967196,-0.3627294600,-0.3412778974,0.6850435734,-0.1451455504,-0.3119255602,0.9241271019,0.1662058532
2270812517196,-0.3917773962,-0.3397687972,0.7148528695,-0.0728885680,-0.3461545706,0.9099457264,0.2164790034
2270942066196,-0.4123952985,-0.3622350097,0.7562511563,0.0037199636,-0.3451386690,0.9117596745,0.2226204127
2271071611196,-0.4344576895,-0.3745496273,0.7828865051,0.0200297143,-0.3499836624,0.9150207639,0.1996181160
2271201160196,-0.4477474391,-0.3953263760,0.7989753485,0.0223798007,-0.3340951502,0.9270856977,0.1684986055
2271330709196,-0.4437139034,-0.4101878703,0.8132839799,0.0304626431,-0.3103890419,0.9397018552,0.1403253973
2271460257196,-0.4344397485,-0.4155436754,0.8191910386,0.0484737270,-0.2905868888,0.9482827783,0.1181924194
2271589805196,-0.4355107546,-0.4155882895,0.8154401779,0.0457714722,-0.2953037024,0.9483111501,0.1068023220
2271719354196,-0.4345682859,-0.4165223837,0.8137791753,0.0459307954,-0.2955550849,0.9485388398,0.1039790288
2271848919196,-0.4242077470,-0.4151972234,0.8143558502,0.0796534941,-0.2721191049,0.9534446597,0.1027123928
2271978450196,-0.4119740725,-0.4134773910,0.8119346499,0.1153282449,-0.2595250309,0.9540922642,0.0951532573
2272107997196,-0.3956716359,-0.4112148881,0.8035232425,0.1413799673,-0.2564416826,0.9520148039,0.0889794454
2272237545196,-0.3848327696,-0.4029600024,0.7965964675,0.1493399143,-0.2615245283,0.9497693777,0.0850926638
2272367093196,-0.3783987761,-0.3935300112,0.7943058014,0.1639222205,-0.2718755901,0.9439260364,0.0906466469
2272496641196,-0.3761591315,-0.3869615793,0.7939103842,0.1738279462,-0.2804664671,0.9391223788,0.0957687274
2272626189196,-0.3835211396,-0.3776818812,0.7905212045,0.1559238583,-0.2951912880,0.9374062419,0.0990930051
2272755737196,-0.3906132281,-0.3618490100,0.7889745235,0.1578794271,-0.3237964511,0.9265281558,0.1085151359
2272885287196,-0.4006773233,-0.3372350633,0.7988893986,0.1797880530,-0.3572280109,0.9066516161,0.1343404502
2273014833196,-0.4020004272,-0.3079489172,0.8338184357,0.2567201555,-0.3714045584,0.8716145158,0.1908967793
2273144381196,-0.4063870311,-0.2769213021,0.8729531169,0.2905964851,-0.3745450079,0.8309575915,0.2911686599
2273273944196,-0.3999920487,-0.2672540247,0.8807272911,0.2904470861,-0.3227272332,0.8356720805,0.3363627493
2273403478196,-0.4127060473,-0.2655047178,0.8586413860,0.2626781166,-0.2772277594,0.8802317381,0.2816686630
2273533026196,-0.4474927783,-0.2418248951,0.8469280005,0.2358895391,-0.2610344291,0.9010848999,0.2535019517
2273662573196,-0.4625227451,-0.2373245806,0.8561145663,0.2564746439,-0.2071119845,0.9248111248,0.1898679882
2273792121196,-0.4658974707,-0.2446801066,0.8807635903,0.3033081591,-0.1594708115,0.9305976629,0.1286905259
2273921671196,-0.4653820992,-0.2448966801,0.9006481171,0.3477529287,-0.1279973984,0.9215148687,0.1161678284
2274051219196,-0.4609672427,-0.2442818880,0.9162893891,0.3729074001,-0.1233266219,0.9130848050,0.1095755845
2274180766196,-0.4544127584,-0.2314421386,0.9241612554,0.3836539984,-0.1565469503,0.9030462503,0.1131814122
2274310314196,-0.4493547082,-0.2113563865,0.9313548207,0.3849982321,-0.2114219069,0.8883054256,0.1341286600
2274439862196,-0.4426354766,-0.1935937554,0.9459363818,0.4057523012,-0.2763395309,0.8606994152,0.1349007338
2274569410196,-0.4423035681,-0.1772192866,0.9379343987,0.3765710592,-0.3058829904,0.8564553261,0.1763920784
2274698963196,-0.4418357611,-0.1705470085,0.9321244359,0.3543538749,-0.3168301582,0.8548463583,0.2080616057
2274828506196,-0.4380783141,-0.1714775860,0.9301429987,0.3385015428,-0.3261752129,0.8501487970,0.2372201234
2274958056196,-0.4285495877,-0.1969346106,0.9264085293,0.3303704560,-0.3011207581,0.8575265408,0.2546170056
2275087603196,-0.4200554490,-0.2448531240,0.9177708626,0.3282393515,-0.2355137616,0.8801806569,0.2491466999
2275217151196,-0.4278871715,-0.2775900960,0.9182085991,0.3312757909,-0.2034764886,0.8896735311,0.2394465357
2275346699196,-0.4512048364,-0.2742516696,0.9416615963,0.3610016108,-0.2251520902,0.8686522245,0.2538258731
2275476248196,-0.4898131192,-0.2422236055,0.9716796279,0.3943930864,-0.2822607458,0.8316051364,0.2705842555
2275605796196,-0.5432801843,-0.1869421303,0.9998733997,0.4120091200,-0.3720666170,0.7876225710,0.2673307359
2275735343196,-0.6065031290,-0.1070817858,1.0059877634,0.4141077697,-0.4734925628,0.7328413129,0.2593516111
2275864890196,-0.6862244606,-0.0125877075,0.9276711345,0.2944661081,-0.6343767643,0.6820826530,0.2135863602
2275994439196,-0.7579665184,0.0382265635,0.8267403841,0.1596288532,-0.7252574563,0.6499174833,0.1616403610
2276123996196,-0.7988191843,0.0519562587,0.7412577868,0.0940202624,-0.7726575732,0.6175709963,0.1129889339
2276253535196,-0.8099535704,0.0669704750,0.6478034258,0.0718474835,-0.7998645306,0.5910332799,0.0757262036
2276383083196,-0.8079640269,0.0790136456,0.5738857388,0.0717646852,-0.8126405478,0.5761843920,0.0497673936
2276512630196,-0.7999160290,0.0902882069,0.5198441744,0.0690392554,-0.8208779097,0.5654120445,0.0412573963
2276642182196,-0.7956716418,0.0975195542,0.4846917093,0.0632703304,-0.8217772245,0.5652377605,0.0344279855
2276771727196,-0.7964509726,0.1010509208,0.4655843973,0.0493016914,-0.8228824139,0.5653499961,0.0285178125
2276901276196,-0.7968737483,0.1136193573,0.4693118930,0.0574935637,-0.8211414218,0.5660046935,0.0453867465
2277030822196,-0.7929242253,0.1297009289,0.4858131409,0.0733529627,-0.8149753213,0.5712429285,0.0641573891
2277160373196,-0.7808651924,0.1442112923,0.5346696377,0.1018117964,-0.7994735837,0.5851865411,0.0896282047
2277289920196,-0.7480909228,0.1524960250,0.6226057410,0.1583983600,-0.7625770569,0.6159620285,0.1182248220
2277419467196,-0.6988850236,0.1370820850,0.7481275201,0.2544316649,-0.6963091493,0.6544324756,0.1487826854
2277549016196,-0.6492880583,0.0732550547,0.8779186010,0.3555800021,-0.5984354615,0.6980769634,0.1677096188
2277678563196,-0.6010384560,-0.0244598519,0.9638978243,0.4390260577,-0.4569738209,0.7582252622,0.1533802748
2277808113196,-0.5674710274,-0.1466248780,1.0158485174,0.5257336497,-0.2266793549,0.8135131598,0.1020637825
2277937660196,-0.5864163637,-0.2705604136,1.0269259214,0.5477600098,0.0248633251,0.8360466361,-0.0191549007
2278067209196,-0.6279968619,-0.3384454548,1.0361268520,0.5224301815,0.1861010194,0.8235540986,-0.1191296279
2278196758196,-0.6436192393,-0.3599844575,1.0436673164,0.5185354352,0.2540572882,0.8009455204,-0.1583107859
2278326304196,-0.6456187367,-0.3761526346,1.0502346754,0.5203601718,0.2886899114,0.7808622122,-0.1900988221
2278455851196,-0.6387003660,-0.4099640548,1.0622924566,0.5090423226,0.3155379891,0.7586724758,-0.2563745379
2278585401196,-0.6208422184,-0.4627305865,1.0626465082,0.4756024182,0.3388946950,0.7556956410,-0.2964400947
2278714951196,-0.5782839656,-0.5255511999,1.0514053106,0.4675366580,0.3396350741,0.7708040476,-0.2681766450
2278844497196,-0.5231626034,-0.5885252953,1.0270059109,0.4442733526,0.3182534873,0.8054690957,-0.2292499691
2278974074196,-0.4607071579,-0.6263116002,0.9980929494,0.4204460382,0.2832062244,0.8442074060,-0.1741644144
2279103593196,-0.3893058896,-0.6318479776,0.9626916051,0.3753376305,0.2187525332,0.8938981295,-0.1105217561
2279233147196,-0.3214487433,-0.6116958857,0.9290527701,0.3244275153,0.1591281146,0.9302065372,-0.0643497258
2279362690196,-0.2540273368,-0.5784013867,0.9008217454,0.2863392830,0.1146416068,0.9506048560,-0.0348944217
2279492237196,-0.1832126826,-0.5376560092,0.8896484375,0.2708169222,0.0829972252,0.9585231543,-0.0316726305
2279621785196,-0.1169178560,-0.4979293048,0.9008015990,0.2824138105,0.0548791587,0.9573757052,-0.0257377271
2279751336196,-0.0704348683,-0.4678436816,0.9174885154,0.3073200285,0.0302109160,0.9510542750,-0.0117208576
2279880881196,-0.0340764821,-0.4570424855,0.9284392595,0.3235449493,0.0079423999,0.9461791515,0.0007590152
2280010430196,-0.0063837231,-0.4559139311,0.9365634322,0.3405690193,-0.0063973581,0.9401026368,0.0133739552
2280139977196,0.0207810793,-0.4538958073,0.9500671625,0.3649171293,-0.0170086753,0.9305127263,0.0263126884
2280269527196,0.0433838628,-0.4561934173,0.9559922218,0.3810422719,-0.0281127039,0.9233858585,0.0370813273
2280399074196,0.0525512435,-0.4669344425,0.9628666043,0.3891770542,-0.0222744122,0.9200278521,0.0399247408
2280528621196,0.0428567044,-0.4800084531,0.9732696414,0.4041627645,-0.0168965124,0.9141381979,0.0268041063
2280658169196,0.0318163708,-0.4870322049,0.9789925814,0.4147253633,-0.0282170773,0.9092828035,0.0202852078
2280787718196,0.0230887458,-0.4862925708,0.9690481424,0.3941373825,-0.0491880439,0.9173727632,0.0257577058
2280917265196,0.0129429698,-0.4882106185,0.9323549271,0.3273311853,-0.0337235518,0.9437528849,0.0323650129
2281046813196,0.0200232379,-0.4941047132,0.8956001401,0.2632466555,-0.0084503908,0.9646223783,0.0115497829
2281176361196,0.0529833771,-0.4921151698,0.9156575203,0.3126127720,0.0328743495,0.9492358565,-0.0119924378
2281305910196,0.0876682103,-0.5079483986,0.9954312444,0.4901319444,0.1413389891,0.8564906120,-0.0788539350
2281435459196,0.1170787588,-0.4926565886,1.0332391262,0.5635576248,0.1956275851,0.7941745520,-0.1158424318
2281565006196,0.1839548498,-0.4539337754,1.0467256308,0.5536814928,0.1935796291,0.8010795712,-0.1193116307
2281694554196,0.2424580306,-0.4277334511,1.0398361683,0.5045347810,0.1931524277,0.8256759644,-0.1624684185
2281824121196,0.2429466695,-0.4335471690,1.0399388075,0.3901649714,0.2591839433,0.8169708252,-0.3363829851
2281953652196,0.2574344277,-0.4448977411,1.0399882793,0.3249894679,0.3001537323,0.7914918065,-0.4216994047
2282083198196,0.2797372341,-0.4694073498,1.0282220840,0.2903483212,0.3312223256,0.7870601416,-0.4318865538
2282212747196,0.2788793147,-0.5092719197,1.0173990726,0.2305687815,0.3909622133,0.7622086406,-0.4615459740
2282342294196,0.2659126222,-0.5537130237,1.0052810907,0.1698653996,0.4666253030,0.7238833904,-0.4789566100
2282471843196,0.2626459301,-0.5856208205,1.0013836622,0.1306074858,0.5184828639,0.6902343631,-0.4875385463
2282601392196,0.2635333836,-0.6046602726,1.0026174784,0.1072336659,0.5445955396,0.6708787084,-0.4917706549
2282730939196,0.2577680051,-0.6135675311,1.0067294836,0.0998953804,0.5610463619,0.6591126919,-0.4907324314
2282860486196,0.2525937855,-0.6206931472,1.0131607056,0.1165550202,0.5690252781,0.6462802291,-0.4949213266
2282990037196,0.2459322959,-0.6184136271,1.0317926407,0.1214240715,0.5796470642,0.6094484329,-0.5271034837
2283119583196,0.2452215254,-0.6001977324,1.0520033836,0.1058725491,0.5840748549,0.5692967772,-0.5688135624
2283249131196,0.2506311238,-0.5722507834,1.0627715588,0.1018809304,0.5897608995,0.5550989509,-0.5776396394
2283378679196,0.2558263242,-0.5384759307,1.0630958080,0.1019485444,0.6122538447,0.5450955033,-0.5635802150
2283508227196,0.2590782046,-0.4904630184,1.0567561388,0.1017151102,0.6456276774,0.5175507069,-0.5522319674
2283637774196,0.2596659660,-0.4434223473,1.0448877811,0.0833246559,0.6943883300,0.4811595976,-0.5285521150
2283767322196,0.2586032450,-0.4133865535,1.0404566526,0.0758491307,0.7171561122,0.4436920583,-0.5320445299
2283896871196,0.2504366934,-0.3880657554,1.0445092916,0.0155557524,0.7321078777,0.3796894848,-0.5653423667
2284026422196,0.2407929897,-0.3773124218,1.0401091576,-0.0296775140,0.7554808855,0.3396982551,-0.5594398975
2284155967196,0.2295490503,-0.3721625805,1.0364807844,-0.0440301634,0.7801599503,0.3013968766,-0.5464173555
2284285515196,0.2212937474,-0.3686348498,1.0368651152,-0.0748480111,0.7937814593,0.2650608122,-0.5422653556
2284415063196,0.2003479302,-0.3754093349,1.0271652937,-0.0794840008,0.8156834841,0.2515651882,-0.5148375630
2284544612196,0.1767919660,-0.3799760342,1.0033416748,-0.0738473013,0.8520827293,0.2433151454,-0.4574925900
2284674168196,0.1670991778,-0.3769672811,0.9916669130,-0.0771810859,0.8610779643,0.2249825448,-0.4494114518
2284803708196,0.1597026736,-0.3717439771,0.9906660318,-0.0910224617,0.8602388501,0.2109181136,-0.4552117884
2284933256196,0.1552675664,-0.3656800687,0.9921675920,-0.0925892889,0.8616579175,0.2056871951,-0.4546051323
2285062806196,0.1482676715,-0.3657343090,0.9926432371,-0.0752507150,0.8649054766,0.1933949888,-0.4570277631
2285192353196,0.1303029060,-0.3631939590,1.0043696165,-0.0683794916,0.8605583310,0.1690786183,-0.4755797088
2285321899196,0.1044202521,-0.3156560361,1.0439320803,-0.1326119453,0.8263759613,0.0616599992,-0.5437967777
2285451448196,0.0557240024,-0.2843248844,1.0551095009,-0.1701803803,0.8259566426,-0.0014180787,-0.5374311805
2285580997196,-0.0150173483,-0.2795393467,1.0446949005,-0.1454436630,0.8501145244,-0.0179917999,-0.5057941675
2285710545196,-0.0705410317,-0.2776569128,1.0245126486,-0.1265989542,0.8695205450,-0.0481379256,-0.4749627709
2285840092196,-0.1060032099,-0.2833305001,1.0036047697,-0.1240404546,0.8895193934,-0.0554116741,-0.4362324178
2285969640196,-0.1248468310,-0.2993064225,0.9815716743,-0.1002503783,0.9086926579,-0.0608897097,-0.4006495178
2286099190196,-0.1376904696,-0.3237929642,0.9662434459,-0.0863893479,0.9159856439,-0.0988530964,-0.3791243732
2286228736196,-0.1487654001,-0.3498893380,0.9574555755,-0.0946676061,0.9231591821,-0.1307856292,-0.3488700390
2286358285196,-0.1527306437,-0.3547945917,0.9637011290,-0.1132779643,0.9163584709,-0.1619590372,-0.3481731415
2286487832196,-0.1456549019,-0.3314360380,0.9726977348,-0.1492949724,0.9044842720,-0.1826719195,-0.3553169966
2286617387196,-0.1361745000,-0.2904857099,0.9869859815,-0.1767638773,0.8876217008,-0.2036720365,-0.3733631670
2286746928196,-0.1266464144,-0.2540711462,0.9892056584,-0.1742755324,0.8781210184,-0.2369682193,-0.3773297071
2286876477196,-0.1138359904,-0.2252929807,1.0006458759,-0.1920810789,0.8536649346,-0.2718454897,-0.4005760849
2287006025196,-0.0971678495,-0.2100453228,1.0048798323,-0.2155947983,0.8328213692,-0.3056347370,-0.4080622494
2287135575196,-0.0834861547,-0.2016148865,1.0099946260,-0.2334880084,0.8092383742,-0.3327201307,-0.4241626561
2287265121196,-0.0748986453,-0.1979292929,1.0183298588,-0.2458006442,0.7873156071,-0.3568781018,-0.4385820329
2287394669196,-0.0724763572,-0.1937213540,1.0287172794,-0.2670727968,0.7601142526,-0.3754081428,-0.4582217932
2287524218196,-0.0773131326,-0.2004621923,1.0419403315,-0.2776107490,0.7271586657,-0.3813259006,-0.4987615943
2287653765196,-0.0836490393,-0.2024613619,1.0572704077,-0.2734619677,0.7166996002,-0.3561196029,-0.5336095095
2287783314196,-0.1080309376,-0.2150810957,1.0539664030,-0.2089723647,0.7847771049,-0.2557211518,-0.5244635940
2287912861196,-0.1509414166,-0.2709504962,1.0200927258,-0.0712414086,0.8819865584,-0.0660750791,-0.4611492753
2288042409196,-0.1522376239,-0.3639282882,0.9953060746,0.0600085370,0.9004895687,0.1367280781,-0.4084397852
2288171959196,-0.1081776246,-0.4525394440,1.0009098053,0.1463086605,0.8487282395,0.3047044873,-0.4067055583
2288301508196,-0.0219768304,-0.5395417809,0.9903753996,0.2065580934,0.7689051628,0.4844054878,-0.3625877798
2288431053196,0.1067485809,-0.6022335887,0.9561504722,0.2577336431,0.6714137793,0.6384248734,-0.2742089927
2288560603196,0.2602944076,-0.6136644483,0.9229288697,0.3057475090,0.5705326796,0.7422257662,-0.1735280752
2288690150196,0.3920935988,-0.5871233940,0.9060448408,0.3334428966,0.4823216200,0.8028032780,-0.1081141680
2288819699196,0.4938885570,-0.5454621911,0.9009897113,0.3303992152,0.4251191616,0.8381034732,-0.0877078250
2288949246196,0.5691252351,-0.4934719801,0.9012697339,0.3059735298,0.3740178943,0.8725705147,-0.0714943409
2289078793196,0.6255999804,-0.4644064903,0.9144237638,0.3111586869,0.3389113247,0.8841693997,-0.0810178816
2289208345196,0.6326189637,-0.4766195714,0.9498597383,0.3501231670,0.3961739838,0.8364143968,-0.1444673389
2289337893196,0.5951637030,-0.5068969131,0.9917146564,0.3978460431,0.4926429093,0.7377048135,-0.2341222465
2289467438196,0.6020989418,-0.5431752205,1.0029656887,0.4091453254,0.5207630992,0.7102169991,-0.2387419343
2289596985196,0.6460778117,-0.5707337260,1.0122756958,0.4433979094,0.4965729415,0.7147454023,-0.2143657506
2289726535196,0.7068190575,-0.5662128329,1.0139528513,0.4759323299,0.4590288699,0.7353410125,-0.1485075951
2289856082196,0.7656041980,-0.5404942036,1.0125718117,0.4958968461,0.4301517308,0.7442834377,-0.1228743196
2289985630196,0.8309757710,-0.4924547374,1.0087490082,0.5077217221,0.4108226299,0.7472595572,-0.1226646826
2290115185196,0.9328302145,-0.4075873792,1.0032793283,0.5349127650,0.3723706603,0.7525830269,-0.0939538628
2290244729196,1.0500349998,-0.3185198605,1.0057090521,0.5390464067,0.3061066866,0.7812097669,-0.0737500563
2290374277196,1.1304488182,-0.2631488740,1.0122814178,0.5338900685,0.2841604948,0.7935370803,-0.0671796650
2290503824196,1.1937347651,-0.2358249724,0.9973618388,0.4996010363,0.2946168482,0.8107045889,-0.0797358528
2290633371196,1.2470090389,-0.2297732234,0.9777693152,0.4657794237,0.3199302256,0.8188319206,-0.1010371074
2290762919196,1.2832087278,-0.2469727993,0.9479216933,0.3952962458,0.3735287786,0.8253367543,-0.1517774612
2290892468196,1.3074308634,-0.2817338407,0.9350070357,0.3309670687,0.4326744378,0.8132370710,-0.2046927661
2291022014196,1.3356739283,-0.3014547825,0.9456372261,0.3161285520,0.4619621336,0.7983415127,-0.2220464051
2291151562196,1.3712064028,-0.2968491316,0.9567301869,0.3198795021,0.4706139266,0.7909694314,-0.2248708457
2291281113196,1.4090777636,-0.2767580748,0.9599016309,0.3182197809,0.4750510156,0.7891727090,-0.2242080569
2291410662196,1.4463603497,-0.2367369086,0.9551491141,0.3096685410,0.4741812944,0.7944647670,-0.2192790955
2291540253196,1.4801918268,-0.1756274551,0.9531143308,0.3160358667,0.4872211814,0.7844674587,-0.2175955027
2291669755196,1.5142327547,-0.1128712296,0.9726085067,0.3464483917,0.4809481204,0.7696458101,-0.2372926921
2291799305196,1.5354385376,-0.0626745149,1.0022748709,0.3866724968,0.4555714428,0.7600172758,-0.2555638254
2291928851196,1.5456944704,-0.0263661034,1.0244050026,0.4230986834,0.4339341819,0.7488819957,-0.2680754364
2292058400196,1.5543919802,-0.0003107414,1.0402193069,0.4503374398,0.4019384384,0.7505424619,-0.2689382434
