#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
6794494825121,0.0000000000,0.0000000000,0.0000000000,0.6909027894,-0.7227380456,-0.0174084165,0.0000000000
6794528114121,0.0000066209,-0.0000168220,-0.0000370448,0.6909500565,-0.7226934619,-0.0173833137,0.0000013395
6794561402321,0.0000373275,-0.0000612667,-0.0001488584,0.6909972050,-0.7226486405,-0.0173725290,0.0000154393
6794594691021,0.0000852655,-0.0001327657,-0.0003362810,0.6910467327,-0.7226018470,-0.0173488733,0.0000221591
6794627986421,-0.0000645622,0.0018420977,-0.0028861498,0.6898307012,-0.7236880458,-0.0200558262,-0.0026419604
6794661271121,0.0000740037,0.0016474066,-0.0025457311,0.6859923223,-0.7274258928,-0.0162646966,0.0012505231
6794694558221,0.0001389818,0.0010825353,-0.0016757157,0.6874494782,-0.7260334700,-0.0169820497,0.0004746628
6794727854021,-0.0001629058,0.0013564558,-0.0022251054,0.6883097725,-0.7251599856,-0.0192084233,-0.0019206416
6794761191021,-0.0002360095,0.0014550227,-0.0025954524,0.6888505864,-0.7246404936,-0.0194066243,-0.0020994223
6794794425221,-0.0000759182,0.0016586643,-0.0028283461,0.6883121171,-0.7251676361,-0.0188694933,-0.0015070853
6794827714921,0.0000471359,0.0011431035,-0.0022431971,0.6895668258,-0.7239929773,-0.0181949970,-0.0008388848
6794861004121,0.0002362942,0.0006150202,-0.0017930586,0.6907178752,-0.7228962148,-0.0181465301,-0.0007635171
6794894292421,0.0002738415,0.0008354690,-0.0016426413,0.6895919951,-0.7239661126,-0.0183093303,-0.0008464747
6794927582621,0.0001735678,0.0007883093,-0.0014507339,0.6892501107,-0.7242869099,-0.0184873978,-0.0009865162
6794960870721,-0.0000129294,0.0005879056,-0.0010781569,0.6897111858,-0.7238542151,-0.0182440609,-0.0008424323
6794994162621,0.0000711643,0.0004152481,-0.0011929969,0.6903027063,-0.7232935780,-0.0181149704,-0.0006492588
6795027449721,-0.0003537633,0.0004556324,-0.0014670861,0.6902437619,-0.7233452005,-0.0182852666,-0.0009587020
6795060740821,-0.0001594362,-0.0001372081,-0.0003463863,0.6901780823,-0.7234118435,-0.0181355529,-0.0007881020
6795094026221,-0.0001109319,-0.0000899059,-0.0003238942,0.6901847199,-0.7234066803,-0.0180899950,-0.0007612104
6795127315921,-0.0001282192,-0.0001147814,-0.0003201064,0.6901974541,-0.7233946776,-0.0180840973,-0.0007616458
6795160610621,0.0004408215,0.0002131962,-0.0003756827,0.6902027104,-0.7233863446,-0.0182227454,-0.0005887080
6795193895421,0.0002880773,0.0000974427,-0.0003598124,0.6901091488,-0.7234778534,-0.0181339800,-0.0005632101
