kf_id,score,node_score_graph,node_score_loop,img_bbox_coverage,total_observed_lms_score,time_score
9338874309421,0.5,1,0,0,0,1
9338641285721,0.499982,1,0,0,0,0.999817
9337942217121,0.695074,1,0,0.308611,0.821429,0.999267
9335611985321,0.698895,1,0,0.348656,0.821429,0.997436
9333514778021,0.70423,1,0,0.354208,0.846154,0.995787
9332582685021,0.712051,1,0,0.403232,0.861111,0.995055
9331417569221,0.703567,1,0,0.344566,0.848485,0.994139
9330485479421,0.707934,1,0,0.371647,0.857143,0.993406
9328621291821,0.721482,1,0,0.426965,0.897959,0.991941
9328388268321,0.499176,1,0,0,0,0.991758
9337709192921,0.696486,1,0,0.329411,0.818182,0.999084
9327922221821,0.499139,1,0,0,0,0.991391
9324659897721,0.729126,1,0,0.471926,0.915254,0.988827
9324426874521,0.739867,1,0,0.588598,0.910714,0.988644
9322562690821,0.741741,1,0,0.552185,0.939024,0.987178
9322329672721,0.735736,1,0,0.493824,0.938272,0.986995
9321863620321,0.745276,1,0,0.577243,0.944444,0.986629
9320698508121,0.73749,1,0,0.514185,0.9375,0.985713
9318601296921,0.730696,1,0,0.496813,0.913043,0.984065
9316970136921,0.737994,1,0,0.572598,0.912281,0.982782
9316737112321,0.73873,1,0,0.557371,0.923664,0.982599
9316504088121,0.735956,1,0,0.511375,0.932886,0.982416
9314872925621,0.737176,1,0,0.555914,0.917355,0.981134
9311144557121,0.733346,1,0,0.523321,0.915966,0.978203
9310678541121,0.731264,1,0,0.501473,0.916667,0.977837
9310445497821,0.728161,1,0,0.485772,0.909091,0.977654
9309979440521,0.726117,1,0,0.423742,0.93007,0.977287
9309746417821,0.830491,1,0.5,0.451259,0.938272,0.977104
9302522734921,0.828827,1,0.5,0.438796,0.939024,0.971426
9302289677321,0.731158,1,0,0.47192,0.934211,0.971243
9300425492621,0.80035,0.9,0.5,0.53372,0.95,0.969778
9295998084421,0.727132,1,0,0.426233,0.939394,0.966298
9295298987721,0.731674,1,0,0.512281,0.919355,0.965748
9289240402421,0.734972,1,0,0.508494,0.94012,0.960986
9288308315821,0.741618,1,0,0.574974,0.940476,0.960253
9288075266321,0.731291,1,0,0.484415,0.934211,0.96007
9285745041521,0.736342,1,0,0.551167,0.927007,0.958238
9285045986321,0.746675,1,0,0.619559,0.944751,0.957689
9284812942721,0.744576,1,0,0.600609,0.94382,0.957505
9284579919021,0.743067,1,0,0.627198,0.923077,0.957322
9283880849921,0.734317,1,0,0.537915,0.924242,0.956773
9285978057721,0.733032,1,0,0.521153,0.925373,0.958421
9279453410321,0.735533,1,0,0.53997,0.931035,0.953293
9278754340421,0.733502,1,0,0.521166,0.930556,0.952743
9278288294721,0.73568,1,0,0.52003,0.942197,0.952377
9277822251021,0.727883,1,0,0.469676,0.928571,0.95201
9277123178821,0.731436,1,0,0.51327,0.924812,0.951461
9276890177221,0.8234,1,0.5,0.429783,0.926471,0.951278
9275259016721,0.725903,1,0,0.459412,0.924812,0.949995
9265705044321,0.829771,1,0.5,0.496065,0.929577,0.942486
9265238999221,0.72914,1,0,0.524719,0.912281,0.942119
9264539929921,0.858531,1,0.666667,0.433868,0.938272,0.94157
9264073889821,0.734395,1,0,0.570818,0.915966,0.941204
9263840859221,0.730995,1,0,0.519306,0.924812,0.94102
9263141791021,0.819141,1,0.5,0.405976,0.922481,0.940471
9259413420121,0.801929,1,0.5,0.325648,0.878049,0.93754
9255918072821,0.829119,1,0.5,0.485433,0.935484,0.934793
9248228310121,0.815169,1,0.5,0.399931,0.911504,0.928748
9245898100021,0.743613,1,0,0.647145,0.931035,0.926916
9241470639421,0.729879,1,0,0.53408,0.920635,0.923436
9238441344521,0.735857,1,0,0.597511,0.92,0.921055
9236810176421,0.780936,0.9,0.5,0.414588,0.9375,0.919773
9217935301821,0.833667,1,0.5,0.546678,0.942529,0.904936
9214439963421,0.819949,1,0.5,0.465366,0.915966,0.902189
9212808799421,0.725922,1,0,0.485705,0.936306,0.900907
9212109723721,0.839356,1,0.5,0.590286,0.951456,0.900357
9211876700421,0.740811,1,0,0.602724,0.952607,0.900174
9209546469421,0.736761,1,0,0.595057,0.937107,0.898342
9208847405221,0.731669,1,0,0.555883,0.931507,0.897793
9205352052321,0.725458,1,0,0.500375,0.929577,0.895045
9204886005921,0.727301,1,0,0.523254,0.927536,0.894679
9204652990521,0.725367,1,0,0.519175,0.92,0.894496
9203953912921,0.739904,1,0,0.64594,0.929577,0.893946
9196031127521,0.835192,1,0.5,0.571153,0.946524,0.887719
9187642293121,0.840172,1,0.5,0.603924,0.958333,0.881125
