#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
6794494825121,1.1460673809,0.7111025453,0.0003921686,0.6936039329,-0.7194444537,-0.0316129737,0.0177160073
6798223196421,1.3456569910,0.7684806585,0.3606268167,0.5112144947,-0.7979652882,-0.3124821186,0.0653158650
6798456217221,1.5101289749,0.7162955999,0.4065656066,0.4159438312,-0.8000249863,-0.4305667281,0.0395363942
6798689240021,1.5741419792,0.7119161487,0.4623390436,0.4307381809,-0.8277296424,-0.3489340842,0.0870249197
6799388310521,1.5656695366,0.7284976840,0.6219434738,0.5167063475,-0.7248011827,-0.4178301692,0.1819226593
6799854355521,1.6159094572,0.7334159017,0.5372993946,0.4014136493,-0.7846285105,-0.4544045925,0.1293900013
6800087386121,1.6222237349,0.7462444901,0.5274522305,0.4240819514,-0.8036429882,-0.4035279751,0.1071337759
6800320402721,1.6043447256,0.7308652401,0.5277432799,0.4025712013,-0.8064009547,-0.4134087861,0.1294101477
6800553426621,1.5762076378,0.7162638903,0.5383486152,0.4130855203,-0.7722671032,-0.4594630003,0.1478435695
6800786448221,1.5301717520,0.6845214367,0.5631989241,0.4123255610,-0.7368525863,-0.5024585128,0.1859339178
6801019471421,1.4848313332,0.6492165327,0.5908524990,0.4190247357,-0.6928642988,-0.5253384113,0.2614898682
6801252495421,1.4913359880,0.6524923444,0.5840731859,0.4151478708,-0.6939847469,-0.5316802859,0.2517015338
6801485545421,1.5327560902,0.6899443269,0.5672979355,0.4184734821,-0.7202451825,-0.5220722556,0.1832142323
6801718540421,1.5568603277,0.7178907394,0.5630932450,0.4280221760,-0.7433234453,-0.4908041358,0.1529006362
6804281827221,1.5681450367,0.6991200447,0.5402110815,0.4020808935,-0.7675015926,-0.4651550949,0.1813921183
6804514818621,1.5917813778,0.7239785790,0.5307058692,0.4055476487,-0.7991526127,-0.4247532487,0.1283383220
6804980864221,1.5864295959,0.7454915643,0.4406177998,0.3546398580,-0.8392449021,-0.4018086791,0.0919157639
6805213887021,1.5567984581,0.7616049051,0.4291158915,0.3712601066,-0.8585824966,-0.3445373476,0.0793478265
6805679937221,1.5237082243,0.7734605670,0.4039307535,0.3148252666,-0.8933033347,-0.3194430470,-0.0291635823
6807078072721,1.5229828358,0.6664794683,0.3904253244,0.0108314799,-0.9584612846,-0.2602089345,0.1163008735
6807311095121,1.5336092710,0.6818862557,0.4057787359,0.0238503627,-0.9268405437,-0.3618847132,0.0971456915
6807544125321,1.5425232649,0.6775305271,0.4307692051,0.0038536820,-0.8999192715,-0.4223809242,0.1082806662
6807777142321,1.5799788237,0.6636860967,0.4565454423,-0.0192796923,-0.8758503199,-0.4779383242,0.0639488772
6808476210621,1.5486181974,0.6818649173,0.4892384410,0.0915091634,-0.8482422233,-0.5026406050,0.1395124644
6808709234521,1.5565693378,0.7145016193,0.5220322609,0.1300317943,-0.8549967408,-0.4875493944,0.1198664978
6809175284621,1.6023627520,0.7162920833,0.5035029650,0.0937963203,-0.8828624487,-0.4473854303,0.1077149138
6809408303121,1.6218733788,0.7042846084,0.4767248929,0.0710948929,-0.8847392797,-0.4516327977,0.0906076729
6809641334221,1.6210895777,0.6893864274,0.4652353525,0.0603147261,-0.8803236485,-0.4616110623,0.0911466777
6810573418821,1.5880733728,0.6531887650,0.4521213472,0.0610985123,-0.8568131328,-0.5022339821,0.0994951501
6811039471621,1.5858386755,0.6360479593,0.4425068796,0.0488885045,-0.8532311916,-0.5096076131,0.0995317847
6811272488921,1.5815855265,0.6346688271,0.4391842782,0.0494610295,-0.8522179127,-0.5119978786,0.0955852792
6811971558321,1.5195100307,0.5754973888,0.2593559623,0.0575868264,-0.9815915823,-0.1611798853,0.0847516060
6812204581321,1.4396984577,0.6532678008,0.2359422147,0.2523441613,-0.9618226886,-0.0037546474,0.1058562919
6813136674021,1.2092763186,0.6508935094,0.1097909510,0.6232786775,-0.7818593383,-0.0130808167,-0.0069720810
6813369696621,1.2108638287,0.6614788771,0.1041955724,0.5990092754,-0.7999524474,-0.0249570832,-0.0253225267
6814068766821,1.3868161440,0.7382731438,0.2429393381,0.3036012650,-0.9342555404,0.1587218940,0.0989964381
6815233881721,1.5126105547,0.7283470631,0.3143261969,-0.0084800273,-0.8070418239,-0.5796455145,0.1123511121
6815466904521,1.5061489344,0.7303259373,0.3513459563,0.0132264728,-0.8556392193,-0.4916116297,0.1613215506
6815932950321,1.5933895111,0.7615711689,0.5093695521,0.0396682806,-0.9230552912,-0.3782512844,0.0576317757
6816165974321,1.6148651838,0.7534619570,0.5447199345,0.0495653972,-0.9409527183,-0.3273748457,0.0705479980
6818030158521,1.6762560606,0.9064671397,0.9010423422,0.4078804255,-0.9129754305,0.0069343490,-0.0078401985
6818263180921,1.6952223778,0.8706775904,0.9013661146,0.3813808858,-0.9208166599,0.0803322420,0.0138631128
6818729228721,1.6921821833,0.8062075973,1.0400271416,0.3059597313,-0.9494440556,0.0060516438,0.0700578317
6819195281021,1.7352691889,0.6889551282,1.1767083406,0.4574130774,-0.8844379783,0.0923431590,0.0039308439
6819428310621,1.7415499687,0.6780288219,1.1982941628,0.5499540567,-0.8283092976,0.1064075083,-0.0114795854
