#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
7465093169994,-0.7000877261,0.4201830924,0.3247402608,0.7376455861,-0.6693148846,0.0519595938,-0.0720886624
7465126453394,-0.7000429432,0.4202103282,0.3246693512,0.7376125491,-0.6693576827,0.0519479649,-0.0720376910
7465159742594,-0.6999981592,0.4202375654,0.3245984236,0.7375795022,-0.6694004845,0.0519363337,-0.0719867103
7465193037794,-0.6999533739,0.4202648043,0.3245274777,0.7375464452,-0.6694432902,0.0519247001,-0.0719357201
7465226321594,-0.6999086108,0.4202920305,0.3244565506,0.7375133954,-0.6694860775,0.0519130702,-0.0718847469
7465259611794,-0.6998638458,0.4203192586,0.3243856042,0.7374803350,-0.6695288692,0.0519014378,-0.0718337634
7465292898794,-0.6998190918,0.4203464808,0.3243146592,0.7374472736,-0.6695716530,0.0518898062,-0.0717827845
7465326188294,-0.6997743413,0.4203737017,0.3242437033,0.7374142056,-0.6696144362,0.0518781734,-0.0717318014
7465359478694,-0.6997295963,0.4204009201,0.3241727399,0.7373811325,-0.6696572168,0.0518665401,-0.0716808164
7465392767994,-0.6996848596,0.4204281342,0.3241017733,0.7373480563,-0.6696999922,0.0518549068,-0.0716298328
7465426056294,-0.6996401310,0.4204553443,0.3240308033,0.7373149769,-0.6697427626,0.0518432736,-0.0715788503
7465459346694,-0.6995954063,0.4204825527,0.3239598233,0.7372818913,-0.6697855318,0.0518316393,-0.0715278641
7465492636594,-0.6995506891,0.4205097573,0.3238888389,0.7372488020,-0.6698282966,0.0518200049,-0.0714768783
7465525926094,-0.6995059792,0.4205369584,0.3238178497,0.7372157089,-0.6698710571,0.0518083704,-0.0714258927
7465559214494,-0.6994612775,0.4205641552,0.3237468574,0.7371826128,-0.6699138124,0.0517967360,-0.0713749084
7465592503494,-0.6994165818,0.4205913491,0.3236758582,0.7371495119,-0.6699565646,0.0517851011,-0.0713239228
7465625799994,-0.6993718828,0.4206185459,0.3236048375,0.7371163993,-0.6699993228,0.0517734632,-0.0712729253
7465659082094,-0.6993272099,0.4206457276,0.3235338420,0.7370832969,-0.6700420586,0.0517618301,-0.0712219494
7465692371694,-0.6992825337,0.4206729121,0.3234628250,0.7370501829,-0.6700848003,0.0517501941,-0.0711709617
7465725667494,-0.6992378560,0.4207000983,0.3233917892,0.7370170585,-0.6701275461,0.0517385556,-0.0711199640
7465758950894,-0.6991932016,0.4207272711,0.3233207743,0.7369839423,-0.6701702722,0.0517269211,-0.0710689849
7465792239894,-0.6991485465,0.4207544451,0.3232497420,0.7369508164,-0.6702130017,0.0517152845,-0.0710179969
7465825536094,-0.6991038886,0.4207816217,0.3231786888,0.7369176791,-0.6702557367,0.0517036450,-0.0709669974
7465858822394,-0.6990592506,0.4208087868,0.3231076511,0.7368845475,-0.6702984552,0.0516920086,-0.0709160127
7465892129894,-0.6990145911,0.4208359659,0.3230365627,0.7368513906,-0.6703411971,0.0516803646,-0.0708649951
7465925404594,-0.6989699822,0.4208631149,0.3229655388,0.7368182623,-0.6703838931,0.0516687317,-0.0708140274
7465958686294,-0.6989253708,0.4208902663,0.3228944944,0.7367851227,-0.6704265943,0.0516570961,-0.0707630485
7465991989594,-0.6988807371,0.4209174320,0.3228233983,0.7367519575,-0.6704693194,0.0516454527,-0.0707120362
7466025264894,-0.6988361478,0.4209445715,0.3227523565,0.7367188161,-0.6705120048,0.0516338187,-0.0706610663
7466058554294,-0.6987463148,0.4215269880,0.3223311342,0.7338545339,-0.6738493788,0.0512776188,-0.0689575490
7466091845194,-0.6986592491,0.4221060304,0.3219046557,0.7309737045,-0.6771718275,0.0509202556,-0.0672524122
7466125134394,-0.6985749623,0.4226815900,0.3214729986,0.7280766693,-0.6804789573,0.0505617716,-0.0655458579
7466158422994,-0.6984934541,0.4232536332,0.3210361863,0.7251633992,-0.6837708051,0.0502021629,-0.0638378681
7466191713994,-0.6984147201,0.4238221587,0.3205942166,0.7222336954,-0.6870475926,0.0498414051,-0.0621283270
7466225003394,-0.6983387723,0.4243870460,0.3201471802,0.7192879749,-0.6903088523,0.0494795497,-0.0604174782
7466258291294,-0.6982656121,0.4249482453,0.3196951151,0.7163262971,-0.6935545232,0.0491166037,-0.0587053549
7466291581494,-0.6929393234,0.4178187370,0.3256226494,0.6985603610,-0.7106712029,0.0555958986,-0.0622009611
7466324869494,-0.6876647170,0.4109096635,0.3318486453,0.6803326320,-0.7273157585,0.0620379196,-0.0656551130
7466358195394,-0.6824298294,0.4042280970,0.3383703668,0.6616325127,-0.7434964289,0.0684460894,-0.0690696114
7466391448094,-0.6772462441,0.3978103105,0.3451541672,0.6425354282,-0.7591493381,0.0747948724,-0.0724308843
7466424737994,-0.6720907822,0.3916483127,0.3522099335,0.6229913514,-0.7743168731,0.0811012100,-0.0757479364
7466458034094,-0.6669623133,0.3857613861,0.3595187180,0.6030306027,-0.7889738735,0.0873549532,-0.0790153866
7466491318694,-0.6618574858,0.3801648915,0.3670630157,0.5826771176,-0.8031029586,0.0935486467,-0.0822293449
7466524605794,-0.6403473342,0.3713307897,0.3900378688,0.5778525352,-0.8050898976,0.1034919877,-0.0848888263
7466557902394,-0.6188094401,0.3622792080,0.4129151468,0.5729495918,-0.8069701460,0.1134243787,-0.0875377574
7466591185594,-0.5972637032,0.3530151164,0.4356808953,0.5679723259,-0.8087421792,0.1233376687,-0.0901739658
7466624474194,-0.5757030517,0.3435321824,0.4583498261,0.5629186163,-0.8104068008,0.1332361423,-0.0927985935
7466657770694,-0.5541309601,0.3338285010,0.4809254518,0.5577887117,-0.8119638495,0.1431192142,-0.0954114807
7466691054094,-0.5325661367,0.3239092980,0.5033954789,0.5525865478,-0.8134121614,0.1529793397,-0.0980106347
7466724343894,-0.5110010505,0.3137679994,0.5257750750,0.5473097924,-0.8147524245,0.1628209879,-0.1005972357
7466757633294,-0.4963071530,0.3119787293,0.5520424882,0.5379947418,-0.8173832778,0.1869657349,-0.0865450694
7466790921094,-0.4802919526,0.3100290470,0.5775123496,0.5282098987,-0.8192995619,0.2109459023,-0.0724179327
7466824211194,-0.4630019503,0.3078791229,0.6021204982,0.5179626555,-0.8204998039,0.2347433320,-0.0582265175
7466857501194,-0.4444911394,0.3054901942,0.6258009706,0.5072626626,-0.8209827970,0.2583354878,-0.0439842458
7466890789594,-0.4248175848,0.3028243270,0.6484919138,0.4961197894,-0.8207481522,0.2817007009,-0.0297042121
7466924079694,-0.4040405390,0.2998441623,0.6701381680,0.4845426702,-0.8197960482,0.3048208616,-0.0153974838
7466957369294,-0.3822263777,0.2965138853,0.6906844974,0.4725421662,-0.8181273412,0.3276742188,-0.0010775107
7466990657294,-0.3833639929,0.3032796804,0.7158355037,0.4698224365,-0.8154512148,0.3377316676,0.0156049724
7467023947494,-0.3835131649,0.3098198464,0.7410731160,0.4669173912,-0.8124535787,0.3476566960,0.0322824087
7467057237294,-0.3826718582,0.3161308438,0.7663551310,0.4638283868,-0.8091358224,0.3574446072,0.0489469234
7467090530894,-0.3808394321,0.3222107838,0.7916444267,0.4605562229,-0.8054987857,0.3670927573,0.0655940489
7467123815894,-0.3780179621,0.3280551681,0.8168912734,0.4571034468,-0.8015453252,0.3765937825,0.0822110310
7467157104094,-0.3742094271,0.3336642106,0.8420643769,0.4534702392,-0.7972756742,0.3859473422,0.0987972192
