kf_id,score,node_score_graph,node_score_loop,img_bbox_coverage,total_observed_lms_score,time_score
7621686418994,0.5,1,0,0,0,1
7620754315794,0.691191,1,0,0.323814,0.8,0.988095
7618890103394,0.701382,1,0,0.43415,0.807692,0.964286
7616792873894,0.689495,1,0,0.314588,0.821429,0.9375
7616326820794,0.705538,1,0,0.441293,0.84127,0.931548
7616093796594,0.704418,1,0,0.454593,0.830508,0.928571
7615394718894,0.690682,1,0,0.344319,0.821429,0.919643
7614229592794,0.638221,0.8,0,0.547721,0.864865,0.904762
7613530520494,0.612035,0.7,0,0.614994,0.904762,0.895833
7613297487694,0.639064,0.8,0,0.527664,0.885057,0.892857
7612831436094,0.40869,0.8,0,0,0,0.886905
7611899333694,0.414211,0.2,0,0.609965,0.928571,0.875
7611666309294,0.450448,0.3,0,0.567588,0.932432,0.872024
7611433290194,0.413521,0.2,0,0.596877,0.934641,0.869048
7611200258094,0.374326,0.1,0,0.609637,0.933775,0.866071
7610734206294,0.371269,0.1,0,0.606417,0.923077,0.860119
7610268154194,0.476727,0.4,0,0.501782,0.90566,0.854167
7609802102794,0.404821,0.8,0,0,0,0.848214
7609569078194,0.674128,0.9,0,0.528599,0.883721,0.845238
7609336051194,0.625015,0.8,0,0.400196,0.903846,0.842262
7609103026794,0.522725,0.5,0,0.563399,0.912281,0.839286
7608870000294,0.529128,0.5,0,0.621633,0.916667,0.836309
7608636975394,0.414592,0.2,0,0.665255,0.923664,0.833333
7608403983994,0.408021,0.2,0,0.594778,0.927536,0.830358
7608170923794,0.374541,0.1,0,0.665091,0.926471,0.827381
7607238849194,0.325868,0,0,0.61562,0.913793,0.815477
7607005794694,0.322317,0,0,0.595858,0.907407,0.8125
7606772768994,0.361327,0.1,0,0.587233,0.908257,0.809524
7612598413894,0.531933,0.5,0,0.613978,0.910714,0.883929
7606306724194,0.413666,0.2,0,0.718279,0.907407,0.803571
7606073692894,0.507743,0.2,0.5,0.655407,0.910714,0.800595
7605840666694,0.505334,0.2,0.5,0.619658,0.918033,0.797619
7605607641294,0.457216,0.4,0,0.390278,0.893617,0.794643
7605374620694,0.587738,0.5,0.5,0.310434,0.88764,0.791667
7605141590194,0.492369,0.5,0,0.370294,0.882353,0.78869
7604908566094,0.706619,0.7,0.5,0.641771,0.919355,0.785714
7604442513094,0.747147,0.8,0.5,0.665618,0.913043,0.779762
7604209488694,0.712985,0.7,0.5,0.719728,0.916667,0.776786
7603743435294,0.552837,0.6,0,0.546218,0.90566,0.770833
7603277389894,0.580208,0.7,0,0.522912,0.857143,0.764881
7603044359094,0.674544,1,0,0.409067,0.787234,0.761905
7602578309594,0.666403,1,0,0.373193,0.767442,0.755952
7601879232694,0.579034,0.7,0,0.468038,0.88764,0.747024
7601646206094,0.581644,0.7,0,0.49966,0.886364,0.744048
7601413179694,0.63185,0.8,0,0.647697,0.864865,0.741071
7601180160794,0.680782,1,0,0.504509,0.782609,0.738095
7600714100994,0.666524,1,0,0.409284,0.761905,0.732143
7600015025594,0.573544,0.7,0,0.462228,0.875,0.723214
7599781998794,0.613981,0.8,0,0.505287,0.857143,0.720238
7599548974494,0.611714,0.8,0,0.512377,0.84375,0.717262
7599315947794,0.653782,0.9,0,0.568362,0.827586,0.714286
7599082922494,0.636279,1,0,0.365768,0.642857,0.71131
7598616875694,0.560078,1,0,0.0718918,0.411765,0.705357
7598383876094,0.591669,1,0,0.266938,0.473684,0.702381
7602345286394,0.616507,1,0,0.281655,0.565217,0.752976
7598150826594,0.697004,1,0,0.609621,0.830508,0.699405
7597917795294,0.683565,1,0,0.502854,0.818182,0.696429
7597451741794,0.672363,1,0,0.396788,0.818182,0.690476
7597218722194,0.665538,1,0,0.402662,0.782609,0.6875
7596985691694,0.663602,1,0,0.359662,0.795918,0.684524
7596053589194,0.634583,1,0,0.318372,0.677419,0.672619
7595820563794,0.573122,1,0,0.114208,0.473684,0.669643
7595587537694,0.57293,1,0,0.173746,0.444444,0.666667
7595354512794,0.639104,1,0,0.315587,0.705882,0.66369
7594888460994,0.790685,1,0.5,0.502276,0.873418,0.657738
7594655433794,0.635813,1,0,0.258925,0.722222,0.654762
7594422420094,0.607292,1,0,0.254465,0.583333,0.651786
7594189383794,0.741499,1,0.5,0.182848,0.791667,0.64881
7526145888794,0.561642,0.4,0.666667,0.614366,0.924242,0.220238
7490492960894,0.743051,0.9,0.5,0.40808,0.873418,0.675595
7525912863594,0.555803,0.8,0,0.405082,0.864865,0.223214
7577178510494,0.657751,1,0,0.458466,0.84375,0.431548
7524514715294,0.593286,0.9,0,0.385904,0.852941,0.241071
7558769482794,0.347282,0,0.5,0.40626,0.935065,0.196429
7524281682494,0.62531,1,0,0.290739,0.859155,0.244048
7560400666294,0.269189,0,0,0.615474,0.929577,0.217262
7523116555494,0.649757,1,0,0.541667,0.848485,0.258929
7525446817394,0.736919,1,0.5,0.565554,0.787234,0.229167
7522650503194,0.571856,0.8,0,0.478397,0.88764,0.264881
7486997575294,0.660216,1,0,0.336465,0.772727,0.720238
7602811333194,0.66046,1,0,0.31079,0.767442,0.758929
7522417483394,0.573106,0.8,0,0.493091,0.885057,0.267857
7584169279194,0.713222,0.8,0.666667,0.297831,0.89011,0.520833
7617958000694,0.689398,1,0,0.326213,0.807692,0.952381
7521951427094,0.582972,1,0,0.144143,0.705882,0.27381
7520786297794,0.632797,1,0,0.409653,0.814815,0.288691
7537797177194,0.585167,0.5,0.666667,0.617846,0.91453,0.0714285
7536165992894,0.611514,0.6,0.666667,0.454838,0.917355,0.0922619
7518922093794,0.581504,1,0,0.243278,0.62963,0.3125
7518689066194,0.600906,0.9,0,0.463958,0.814815,0.315476
7465093169994,0.689601,1,0,0.436546,0.72973,1
7517989990294,0.63268,1,0,0.330264,0.836066,0.324405
7468122503794,0.54943,0.5,0,0.71156,0.910714,0.96131
7474414192394,0.75637,0.9,0.5,0.320846,0.880952,0.880952
7517290921094,0.717885,0.7,0.75,0.688371,0.928571,0.333333
7517057887994,0.580996,0.8,0,0.50621,0.883721,0.33631
7501445168994,0.537567,0.4,0.5,0.397433,0.92126,0.535714
7560167635294,0.24466,0,0,0.380464,0.925926,0.214286
7600248056394,0.612917,0.8,0,0.484672,0.859155,0.726191
7516824862194,0.748803,1,0.5,0.408486,0.87013,0.339286
7595121492194,0.642064,1,0,0.315481,0.722222,0.660714
7559701584794,0.352164,0,0.5,0.439893,0.936709,0.208333
7612132359994,0.207798,0.3,0,0,0,0.877976
7516125786394,0.586201,1,0,0.254532,0.62963,0.348214
7480239832394,0.504095,0.5,0,0.436427,0.89899,0.806548
7488395731994,0.775143,1,0.5,0.37163,0.83871,0.702381
7525213785494,0.746761,1,0.5,0.49521,0.87013,0.232143
7515659733394,0.744148,1,0.5,0.361287,0.863014,0.354167
7515193681894,0.602415,0.9,0,0.358153,0.852941,0.360119
7600947127294,0.677875,1,0,0.584175,0.72973,0.735119
7514261587794,0.504774,0.6,0,0.508276,0.883721,0.372024
7496551628194,0.593525,1,0,0.246129,0.545455,0.598214
7489094808794,0.705303,0.8,0.5,0.394874,0.882353,0.693452
7532204556794,0.584452,1,0,0.136443,0.782609,0.142857
7512863426294,0.694591,0.8,0.5,0.536213,0.90991,0.389881
7482337063194,0.518303,0.5,0,0.586751,0.908257,0.779762
7517523939694,0.662086,0.7,0.5,0.643176,0.923664,0.330357
