#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
7465093169994,-0.7000877261,0.4201830924,0.3247402608,0.7376456261,-0.6693149209,0.0519595966,-0.0720886663
7466025264894,-0.6988361478,0.4209445715,0.3227523565,0.7367188334,-0.6705120206,0.0516338199,-0.0706610680
7466258291294,-0.6982656121,0.4249482453,0.3196951151,0.7163263559,-0.6935545802,0.0491166078,-0.0587053597
7466491318694,-0.6618574858,0.3801648915,0.3670630157,0.5826771259,-0.8031029701,0.0935486481,-0.0822293460
7466724343894,-0.5110010505,0.3137679994,0.5257750750,0.5473098159,-0.8147524595,0.1628209949,-0.1005972400
7466957369294,-0.3822263777,0.2965138853,0.6906844974,0.4725421965,-0.8181273937,0.3276742399,-0.0010775108
7467190400694,-0.3694170117,0.3390371203,0.8671274781,0.4496574104,-0.7926907539,0.3951511681,0.1153486595
7467423431594,-0.3862102926,0.3860456944,0.9811320305,0.4018767178,-0.8089303970,0.3552802503,0.2406297922
7467656445894,-0.3861906528,0.3934135139,1.0268079042,0.2178170085,-0.9404792786,0.2032108009,0.1635845453
7467889470894,-0.3531747162,0.5079184175,1.1052101851,0.2870650589,-0.9510183930,0.0688979700,0.0917102396
7468122503794,-0.3372111022,0.6045241952,1.2697405815,0.3656911254,-0.9267782569,0.0259207953,0.0817323402
7468355521594,-0.3022558093,0.6623338461,1.3948000669,0.4618625939,-0.8785743117,0.0375302173,0.1156792715
7468588548294,-0.2916657627,0.6961256266,1.4664415121,0.5240172744,-0.8443145156,0.0545162186,0.0978105888
7468821573094,-0.3466382921,0.6748802662,1.4698441029,0.4752162695,-0.8734514713,0.0468446538,0.0951716453
7469054599194,-0.3915438354,0.6816470027,1.4794152975,0.4847404361,-0.8722890019,-0.0228003506,0.0601565987
7469287628494,-0.4010855854,0.7632054687,1.4686237574,0.5732676983,-0.8176383376,-0.0328217186,0.0418871231
7469520653194,-0.4626305103,0.8547897935,1.4627004862,0.6474174261,-0.7522178292,-0.0700066686,0.1005894095
7469753676794,-0.5521883368,0.9202139974,1.4224462509,0.6204958558,-0.7746127844,-0.1020106301,0.0674821138
7469986737294,-0.6685696244,0.9787220359,1.4037263393,0.6005845666,-0.7857689261,-0.0985751674,0.1102197245
7470219735494,-0.7441697121,1.0300793648,1.4269113541,0.6772329807,-0.7239771485,-0.0522920564,0.1203250363
7470452755094,-0.7852938771,1.0655449629,1.4365769625,0.6680678129,-0.7306061387,-0.0639583543,0.1257357448
7470685780094,-0.7902270555,1.1245411634,1.4751540422,0.7493295670,-0.6530686021,-0.0189198200,0.1079288647
7470918804594,-0.7971194983,1.2347668409,1.4847747087,0.7777504325,-0.6190497279,-0.0266257115,0.1057014465
7471151831394,-0.7927958369,1.3797092438,1.5142812729,0.7895770669,-0.5936630964,-0.0876128674,0.1282821894
7471384855594,-0.8129686713,1.4943106174,1.5328936577,0.8032292128,-0.5313467979,-0.1923539042,0.1883971393
7471617882694,-0.8449313641,1.6081886292,1.5321710110,0.8126850724,-0.5035116673,-0.1419492215,0.2566504180
7471850906994,-0.9065038562,1.7443614006,1.5215216875,0.8197765946,-0.5573709011,-0.0426603183,0.1244352087
7472083934294,-1.0203421116,1.8939715624,1.4540848732,0.6783838272,-0.7131845951,-0.1381063461,0.1099539027
7472316964994,-1.1450829506,2.0198659897,1.4543377161,0.6155161262,-0.6574755311,-0.2663769424,0.3433789313
7472549983894,-1.2329636812,2.1588296890,1.4278954268,0.4817183614,-0.6433799267,-0.4500824511,0.3891471028
7472783010494,-1.2451835871,2.3901958466,1.4709593058,0.5836222172,-0.6469919086,-0.3386573792,0.3551025689
7473016036994,-1.2744890451,2.5967965126,1.4679225683,0.6767368913,-0.6469798684,-0.2373022884,0.2590982616
7473249069694,-1.2908233404,2.7457616329,1.5013797283,0.7317249179,-0.6357305050,-0.1789219975,0.1685594171
7473482092894,-1.3128372431,2.8880300522,1.4577953815,0.7010761499,-0.6536292434,-0.2209835798,0.1800758243
7473715113794,-1.4798098803,2.8375253677,1.4741812944,0.5652568340,-0.5449644923,-0.4711394608,0.4019030631
7473948138094,-1.5826882124,2.6891915798,1.4332255125,0.3646079302,-0.3722136617,-0.6230648756,0.5833594203
7474181164794,-1.5871534348,2.6105880737,1.4686737061,0.1237475052,-0.1815342307,-0.6433274746,0.7333905697
7474414192394,-1.5276629925,2.5706834793,1.5298334360,-0.0838508978,-0.0252974872,-0.5234713554,0.8475298285
7474647217594,-1.4289064407,2.4582598209,1.5175563097,-0.1218791828,0.0677443072,-0.5429593325,0.8281010985
7474880241194,-1.3035591841,2.2810065746,1.4433412552,-0.1134397089,0.2378230244,-0.6925376058,0.6715381145
7475113267794,-1.2840861082,2.1190104485,1.4012415409,-0.1753228009,0.2253767997,-0.7555285096,0.5896133780
7475346297794,-1.3053959608,1.9686214924,1.4268388748,-0.2231674641,0.1382104754,-0.7184258699,0.6441727281
7475579317794,-1.2328131199,1.8706358671,1.4998903275,-0.2236620784,0.1218251735,-0.5612270832,0.7875011563
7475812344794,-1.1727533340,1.7943875790,1.5202279091,-0.2260583788,0.1437120289,-0.5377371311,0.7994268537
7476045371494,-1.0230950117,1.7541369200,1.4387224913,-0.2403570414,0.1828975677,-0.6452406645,0.7017417550
7476278419594,-0.7897579074,1.7664377689,1.3933084011,-0.4343742132,0.2703869939,-0.6619302034,0.5477758050
7476511422694,-0.8390058875,1.6927125454,1.4532825947,-0.2311639488,0.1304224283,-0.6860551834,0.6774080396
7476744447594,-0.9495989680,1.6612836123,1.4348239899,-0.1024248675,-0.0172837097,-0.6883603334,0.7178931832
7476977471894,-0.8980894089,1.6692520380,1.4070115089,-0.0758711547,-0.1085488573,-0.6740590930,0.7267084122
7477210498494,-0.8034094572,1.6652995348,1.4595990181,-0.1968330890,0.1401863098,-0.6796298623,0.6926094294
7477443528994,-0.7304286361,1.7528270483,1.4131554365,-0.3390222490,0.3392652273,-0.6514372826,0.5878711343
7477676550094,-0.7153820395,1.7569167614,1.3937981129,-0.2880752087,0.2100491077,-0.6945335865,0.6249121428
7477909574794,-0.8084666133,1.7058101892,1.4393090010,-0.1397123784,0.1685044020,-0.7306507826,0.6467118263
7478142601294,-0.8913298249,1.6886305809,1.4082765579,-0.0867035985,0.0840133205,-0.6826862097,0.7206690311
7478375632594,-0.9054836631,1.6587058306,1.4699027538,-0.1275589764,0.0518683679,-0.6242767572,0.7689713836
7478608651794,-0.8343009949,1.6995311975,1.4713040590,-0.2406588048,0.0855123699,-0.5972025394,0.7603421211
7478841677494,-0.8373612165,1.7313908339,1.4856946468,-0.2574419677,0.1294727623,-0.5078673363,0.8118074536
7479074703894,-0.7606954575,1.7363853455,1.4709335566,-0.3219960630,0.1853740662,-0.6078998446,0.7017213106
7479307728994,-0.7273408175,1.7408599854,1.4260654449,-0.2492721081,0.1198135540,-0.6641736627,0.6945368648
7479540758894,-0.8697679639,1.7222746611,1.4875938892,-0.1058213338,-0.0087009985,-0.5682929158,0.8159468770
7479773780994,-0.8709531426,1.7135473490,1.4923226833,-0.1506817043,0.1390366256,-0.5642176867,0.7997637987
7480006806994,-0.7737932801,1.7291840315,1.4490329027,-0.2370585352,0.2125971764,-0.5822379589,0.7480673194
7480239832394,-0.7923594117,1.7230038643,1.4891824722,-0.3245720863,0.1508206427,-0.6332379580,0.6862331033
7480472862794,-0.7960560322,1.7765753269,1.4637008905,-0.3674957454,0.2766353488,-0.5674236417,0.6829716563
7480705883794,-0.7353916764,1.8652302027,1.5023810863,-0.4638409615,0.3962263763,-0.4707921147,0.6373468041
7481637985294,-0.8443061709,1.7421928644,1.4514352083,-0.1496184468,0.1500891745,-0.6833968759,0.6986102462
7481871011194,-0.7803209424,1.7420554161,1.4120924473,-0.1779395044,0.1716809124,-0.6980583668,0.6719954014
7482104037994,-0.7533626556,1.7356392145,1.3933138847,-0.2028172910,0.1564972252,-0.7386423349,0.6235232353
7482337063194,-0.8051416874,1.7052375078,1.3917452097,-0.2268831134,0.1365068257,-0.7504678965,0.6055476665
7482570099394,-0.7843129635,1.6799088717,1.3950185776,-0.2880887389,0.2298609167,-0.7506579757,0.5483443141
7482803114894,-0.6694133878,1.6802585125,1.4122383595,-0.3741805851,0.3306037784,-0.6715259552,0.5474879146
7483036140694,-0.5097343922,1.8376835585,1.4490081072,-0.5974344611,0.5217303038,-0.4279885590,0.4332381487
7483269166294,-0.5798913836,2.0267868042,1.4690952301,-0.7590463758,0.6505328417,-0.0090586105,0.0239516161
7483502197494,-0.5444828272,2.0201044083,1.4627130032,-0.7741749287,0.6200458407,0.0282370094,-0.1240932196
7483735217494,-0.6046561003,2.1135873795,1.4652763605,-0.7075639367,0.6384831667,0.1674992293,-0.2522630692
7483968242194,-0.7267253995,2.2952258587,1.4056049585,-0.6695001721,0.6090769172,0.2372975498,-0.3528238535
7484201269094,-0.8365651965,2.5185971260,1.4457137585,-0.6658546329,0.6259129643,0.1865022480,-0.3606766462
7484434293394,-0.8951255083,2.6939818859,1.4757367373,-0.7530170083,0.5458075404,0.1186854988,-0.3478121459
7484667320894,-1.0556243658,2.7764678001,1.5249905586,-0.7313558459,0.5110521317,0.2077392787,-0.4009847343
7484900345794,-1.2484130859,2.7124631405,1.4848273993,-0.6864117384,0.5292154551,0.2609294653,-0.4250715077
7485133370694,-1.4494352341,2.5617072582,1.4918841124,-0.5514978766,0.4936113954,0.2893999219,-0.6069973111
7485366396794,-1.5157973766,2.6029348373,1.4908539057,-0.6357739568,0.5926878452,0.1481601149,-0.4717638195
7485599429394,-1.4674856663,2.7184681892,1.4958090782,-0.7535420656,0.5731424093,0.0507624820,-0.3179708421
7485832449294,-1.5512311459,2.7522690296,1.4811435938,-0.6750583053,0.5900834799,0.1771548688,-0.4058497250
7486065474594,-1.6713379622,2.6495392323,1.4450796843,-0.5892454386,0.6135676503,0.2858964801,-0.4411211610
7486298499994,-1.6156815290,2.6409230232,1.4944745302,-0.6888595819,0.5854593515,0.1892111599,-0.3832871616
7486531524694,-1.5079028606,2.6940240860,1.4749041796,-0.7581081390,0.5380916595,0.1376270801,-0.3417428136
7486764551394,-1.6146546602,2.6025254726,1.4692449570,-0.5735954046,0.5481727719,0.3477429152,-0.4995697439
7486997575294,-1.7020993233,2.4816019535,1.4475367069,-0.4814040065,0.5297934413,0.4181219637,-0.5592343211
7487230602694,-1.6057510376,2.6483883858,1.4751213789,-0.6939145327,0.6242026687,0.1554104090,-0.3235757649
7487463627294,-1.6217161417,2.6847758293,1.4501161575,-0.6256017089,0.6445714235,0.2431659847,-0.3660880625
7487696660094,-1.7207216024,2.4993610382,1.4475264549,-0.4275017381,0.5153260827,0.4754363894,-0.5706502199
7487929678494,-1.7458591461,2.4007205963,1.4739074707,-0.3307868540,0.4181067944,0.5388718247,-0.6522146463
7488162704494,-1.5782514811,2.3488450050,1.4620931149,0.1536055803,-0.0946688578,0.6190323234,-0.7643573880
7488395731994,-1.4840675592,2.3371193409,1.5013334751,0.2373667955,-0.1561765224,0.5794075131,-0.7639062405
7488628762894,-1.4178661108,2.2265830040,1.4687768221,0.2044717520,-0.0791670382,0.6377655268,-0.7383624315
7488861781994,-1.4144653082,2.2243466377,1.4653471708,0.2092766464,-0.0384131148,0.6249645352,-0.7510973215
7489094808794,-1.3347396851,2.2273139954,1.4805107117,0.2601971328,-0.0654414296,0.6122394204,-0.7437592745
