#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,map_stamp_saved,lc_keyframe_indexed,lc_candidates_retrieved,lc_cumulative_initial_matching_ended,lc_cumulative_island_response_received,lc_cumulative_island_matching_ended,lc_cumulative_reprojection_ended,lc_cumulative_pose_estimation_ended,lc_candidates_validated,lc_loop_detection_finished,lc_loop_decision_received,lc_pgo_problem_built,lc_pgo_problem_solved,lc_pgo_poses_applied,lc_loop_closing_finished,backend_state_pushed,consumer_state_received
6794494825121,1676673608278685,1676673627913716,1676673627925694,1676673627958561,1676673627960823,1676673630341504,1676673630341739,1676673630342009,1676673631824432,1676673632248725,1676673638450292,1676673638463207,1676673638463475,1676673638492520,1676673638841727,1676673638841891,1676673638841891,1676673638841891,1676673638841891,1676673638843808,1676673638844578,1676673638905930,1676673642098057,1676673642101452,1676673642101452,1676673642101452,1676673642101452,1676673642101452,1676673642101452,1676673642101452,1676673642102418,1676673642102418,1676673642102418,1676673642102418,1676673642102418,1676673642129204,1676673642174872,1676673642179550
6794727854021,1676673692511609,1676673702337119,1676673702340056,1676673702349957,1676673702412066,1676673703933027,1676673704873886,1676673704877072,1676673705392545,1676673705733125,1676673709143127,1676673709154125,1676673709154347,1676673709166897,1676673709515260,1676673709727765,1676673710038766,1676673710100192,1676673710202624,1676673710306729,1676673710365422,1676673710428915,1676673713596189,1676673713600742,1676673713600742,1676673713600742,1676673713600742,1676673713600742,1676673713600742,1676673713600742,1676673713601554,1676673713601554,1676673713601554,1676673713601554,1676673713601554,1676673713619590,1676673713665898,1676673713680422
6794960870721,1676673762848501,1676673772777544,1676673772781742,1676673772859656,1676673772908305,1676673774007036,1676673774951788,1676673774955413,1676673775438292,1676673775720559,1676673779288948,1676673779301873,1676673779302181,1676673779315809,1676673779734086,1676673779926224,1676673780318381,1676673780381123,1676673780494105,1676673780611887,1676673780680804,1676673780761684,1676673782982735,1676673782985421,1676673782985421,1676673782985421,1676673782985421,1676673782985421,1676673782985421,1676673782985421,1676673782986075,1676673782986075,1676673782986075,1676673782986075,1676673782986075,1676673783009416,1676673783034180,1676673783037573
6795193895421,1676673833058584,1676673843071662,1676673843075007,1676673843153617,1676673843195163,1676673843970551,1676673844986727,1676673844990397,1676673845465049,1676673845743921,1676673848871405,1676673848883433,1676673848883733,1676673848897084,1676673849377525,1676673849578936,1676673849900374,1676673849937501,1676673850010505,1676673850118508,1676673850195373,1676673850323925,1676673852557978,1676673852560489,1676673852560489,1676673852560489,1676673852560489,1676673852560489,1676673852560489,1676673852560489,1676673852561189,1676673852561189,1676673852561189,1676673852561189,1676673852561189,1676673852648394,1676673852664526,1676673852807625
6795426916021,1676673901081961,1676673910916152,1676673910918832,1676673910933801,1676673910987658,1676673911854115,1676673912786891,1676673912791013,1676673913263077,1676673913530746,1676673916685296,1676673916697565,1676673916697794,1676673916777130,1676673917272858,1676673917467946,1676673917797322,1676673917843718,1676673917936251,1676673918088001,1676673918181622,1676673918295615,1676673920447974,1676673920450975,1676673920450975,1676673920450975,1676673920450975,1676673920450975,1676673920450975,1676673920450975,1676673920451655,1676673920451655,1676673920451655,1676673920451655,1676673920451655,1676673920458444,1676673920489785,1676673920770089
6795659940321,1676673970445820,1676673980404001,1676673980406306,1676673980418038,1676673980478543,1676673981499041,1676673982407329,1676673982411105,1676673982890451,1676673983154414,1676673986172362,1676673986184526,1676673986184866,1676673986269193,1676673986813761,1676673986923053,1676673987082183,1676673987101752,1676673987165115,1676673987306482,1676673987410300,1676673987616419,1676673989816728,1676673989820268,1676673989820268,1676673989820268,1676673989820268,1676673989820268,1676673989820268,1676673989820268,1676673989820960,1676673989820960,1676673989820960,1676673989820960,1676673989820960,1676673989908025,1676673989942245,1676673989957635
6795892963421,1676674038398739,1676674048528866,1676674048531603,1676674048540884,1676674048601923,1676674049642722,1676674050595248,1676674050598920,1676674051095113,1676674051346589,1676674054397779,1676674054409589,1676674054409871,1676674054429329,1676674055626978,1676674055695380,1676674056353125,1676674056452823,1676674056605568,1676674056843319,1676674057056052,1676674057195212,1676674059465201,1676674059468629,1676674059468629,1676674059468629,1676674059468629,1676674059468629,1676674059468629,1676674059468629,1676674059469329,1676674059469329,1676674059469329,1676674059469329,1676674059469329,1676674059486031,1676674059516367,1676674059532258
6796125992621,1676674108535556,1676674118494603,1676674118497997,1676674118508686,1676674118567197,1676674119663031,1676674120622186,1676674120625730,1676674121220747,1676674121459550,1676674124691365,1676674124704989,1676674124705242,1676674124718808,1676674125382137,1676674125557256,1676674125844324,1676674125890989,1676674125985683,1676674126123896,1676674126240417,1676674126399701,1676674128648127,1676674128651230,1676674128651230,1676674128651230,1676674128651230,1676674128651230,1676674128651230,1676674128651230,1676674128652073,1676674128652073,1676674128652073,1676674128652073,1676674128652073,1676674128669267,1676674128697399,1676674128935085
6796359009021,1676674180335609,1676674191353818,1676674191357815,1676674191370564,1676674191435712,1676674192287081,1676674193204484,1676674193208491,1676674193699067,1676674193942181,1676674197075938,1676674197089253,1676674197089519,1676674197103340,1676674197779526,1676674197907677,1676674198108745,1676674198142919,1676674198200749,1676674198358859,1676674198481268,1676674198603234,1676674200789693,1676674200794133,1676674200794133,1676674200794133,1676674200794133,1676674200794133,1676674200794133,1676674200794133,1676674200794934,1676674200794934,1676674200794934,1676674200794934,1676674200794934,1676674200812705,1676674200852037,1676674202380886
6796592032421,1676674257087528,1676674267394966,1676674267398491,1676674267410847,1676674267471792,1676674268850701,1676674269800163,1676674269803878,1676674270288002,1676674270536360,1676674273703669,1676674273715209,1676674273715516,1676674273791771,1676674274430101,1676674274557405,1676674274761492,1676674274797074,1676674274851259,1676674275017126,1676674275143453,1676674275328659,1676674277561331,1676674277565816,1676674277565816,1676674277565816,1676674277565816,1676674277565816,1676674277565816,1676674277565816,1676674277566721,1676674277566721,1676674277566721,1676674277566721,1676674277566721,1676674277591645,1676674277616329,1676674278091995
