#t_ns,in_ts
9901891573408,18012082360761
9901910079408,18012106628823
9901928586408,18012119519277
9901947094408,18012138881868
9901965601408,18012158472418
9901984107408,18012178766597
9902002614408,18012194621361
9902021121408,18012211697157
9902039629408,18012229860848
9902058135408,18012242531351
9902076642408,18012255059242
9902095151408,18012270826276
9902113658408,18012284169366
9902132163408,18012308462212
9902150671408,18012329247429
9902169177408,18012343206263
9902187684408,18012355406281
9902206191408,18012373014277
9902224698408,18012385570458
9902243205408,18012397832997
9902261712408,18012412244571
9902280218408,18012422202541
9902298728408,18012434686624
9902317235408,18012446800820
9902335740408,18012462244993
9902354247408,18012472860212
9902372755408,18012485026857
9902391261408,18012497497859
9902409768408,18012509760628
9902428276408,18012527615310
9902446784408,18012538344067
9902465290408,18012550073980
9902483797408,18012560890413
9902502302408,18012571518562
9902520809408,18012581945473
9902539316408,18012594183986
9902557825408,18012608239990
9902576333408,18012619821790
9902594840408,18012630991064
9902613345408,18012642223322
9902631852408,18012654666120
9902650365408,18012666262693
9902668868408,18012683731846
9902687372408,18012696197190
9902705880408,18012708418053
9902724386408,18012724762218
9902742894408,18012738702179
9902761402408,18012750214252
9902779909408,18012762158082
9902798416408,18012775481251
9902816924408,18012789873870
9902835429408,18012800640005
9902853936408,18012812584565
9902872443408,18012824440216
9902890949408,18012837492081
9902909457408,18012848829599
9902927966408,18012860371333
9902946473408,18012872367838
9902964977408,18012889027988
9902983488408,18012901775423
9903001994408,18012915151606
9903020501408,18012927175339
9903039005408,18012940513477
9903057513408,18012953765943
9903076019408,18012967257791
9903094527408,18012979719997
9903113035408,18012991347150
9903131541408,18013002963261
9903150049408,18013016524366
9903168555408,18013034808698
9903187062408,18013046366564
9903205568408,18013059410232
9903224075408,18013072545657
9903242582408,18013085417789
9903261091408,18013098776400
9903279598408,18013110679272
9903298105408,18013121730566
9903316610408,18013135255857
9903335116408,18013150127266
9903353627408,18013168357561
9903372132408,18013182207709
9903390640408,18013196620021
9903409145408,18013208788371
9903427653408,18013222202052
9903446160408,18013233390321
9903464667408,18013247364460
9903483174408,18013259674037
9903501682408,18013272056483
9903520188408,18013283168699
9903538695408,18013294247305
9903557202408,18013306778392
9903575708408,18013317558081
9903594216408,18013331869472
9903612723408,18013345402465
9903631230408,18013358528617
9903649739408,18013371543398
9903668242408,18013384617612
9903686750408,18013398251752
9903705259408,18013410262278
9903723765408,18013426168818
9903742271408,18013438448212
9903760779408,18013450882207
9903779286408,18013463473214
9903797793408,18013475394499
9903816300408,18013487569482
9903834808408,18013499274932
