#t_ns,in_ts
7465093169994,17939359204441
7465126453394,17939370860884
7465159742594,17939382564397
7465193037794,17939392473716
7465226321594,17939401628934
7465259611794,17939416413796
7465292898794,17939427375966
7465326188294,17939438521120
7465359478694,17939446420781
7465392767994,17939454808190
7465426056294,17939460941430
7465459346694,17939467281569
7465492636594,17939474814041
7465525926094,17939481152958
7465559214494,17939487220002
7465592503494,17939493403692
7465625799994,17939500564693
7465659082094,17939507681127
7465692371694,17939514885009
7465725667494,17939521978933
7465758950894,17939528196761
7465792239894,17939534068185
7465825536094,17939541245598
7465858822394,17939547494159
7465892129894,17939553873517
7465925404594,17939560063431
7465958686294,17939565637955
7465991989594,17939571879354
7466025264894,17939579550410
7466058554294,17939586679697
7466091845194,17939593869035
7466125134394,17939601359493
7466158422994,17939609187101
7466191713994,17939615765786
7466225003394,17939622537435
7466258291294,17939629019756
7466291581494,17939637492522
7466324869494,17939644141038
7466358195394,17939650806409
7466391448094,17939658092022
7466424737994,17939664644624
7466458034094,17939671715599
7466491318694,17939678285564
7466524605794,17939686627038
7466557902394,17939694469924
7466591185594,17939702499967
7466624474194,17939712459916
7466657770694,17939720489376
7466691054094,17939728516113
7466724343894,17939736710795
7466757633294,17939746156029
7466790921094,17939755404055
7466824211194,17939763951008
7466857501194,17939773201926
7466890789594,17939782523470
7466924079694,17939791566811
7466957369294,17939800540048
7466990657294,17939808919646
7467023947494,17939817312513
7467057237294,17939825424671
7467090530894,17939833711296
7467123815894,17939841312137
7467157104094,17939849333511
7467190400694,17939857377921
7467223705794,17939866250854
7467256971994,17939875214276
7467290268294,17939884425235
7467323577194,17939893418081
7467356840694,17939901744709
7467390137194,17939911258490
7467423431594,17939920745742
7467456709994,17939930727616
7467489999494,17939939326174
7467523287594,17939947592082
7467556578294,17939955785741
7467589866294,17939963402127
7467623155794,17939970398272
7467656445894,17939977031493
7467689735094,17939984763113
7467723023194,17939991752795
7467756314194,17939998387366
7467789603994,17940004800317
7467822899794,17940011297536
7467856199994,17940018197629
7467889470894,17940024881943
7467922768194,17940033088453
7467956049894,17940040944995
7467989338794,17940048748648
7468022634994,17940056035369
7468055918494,17940063695186
7468089206994,17940070796849
7468122503794,17940078129904
7468155786794,17940086836442
7468189076194,17940094972880
7468222365494,17940103030497
7468255653694,17940111080902
7468288944194,17940119559851
7468322232594,17940127424733
7468355521594,17940134898851
7468388812394,17940142958973
7468422102794,17940151344087
7468455390194,17940159108601
7468488680894,17940167012147
7468521971194,17940174718359
7468555287194,17940182290994
7468588548294,17940189877349
7468621836894,17940199403631
7468655154194,17940208390922
7468688416094,17940217914505
7468721705794,17940228312526
7468755001294,17940236291235
7468788284494,17940244774843
7468821573094,17940253978462
7468854871494,17940262186045
7468888154394,17940270455355
7468921441294,17940278508483
7468954732294,17940286479963
7468988020194,17940293264271
7469021310294,17940299901725
7469054599194,17940306361970
7469087888494,17940313320128
7469121178694,17940321243024
7469154469294,17940330584562
7469187756594,17940339850534
7469221046894,17940348526021
7469254337494,17940356196202
7469287628494,17940363820244
7469320915094,17940371350842
7469354203194,17940379486560
7469387502394,17940387880991
7469420783694,17940395073992
7469454071994,17940403344174
7469487367794,17940410779130
7469520653194,17940417874750
7469553939694,17940425492842
7469587236294,17940432602923
7469620519794,17940442715193
7469653807894,17940451571596
7469687098394,17940460331555
7469720403594,17940468383943
7469753676794,17940475786588
7469786966494,17940483455319
7469820255194,17940490065549
7469853545394,17940497238793
7469886833494,17940504821585
7469920122994,17940511594889
7469953413294,17940518193484
7469986737294,17940525263351
7470019993894,17940533131268
7470053281394,17940540942496
7470086571094,17940547818540
7470119866994,17940554195071
7470153150094,17940560356802
7470186438294,17940566808258
7470219735494,17940573255604
7470253016694,17940581278173
7470286306294,17940589327440
7470319602794,17940597211335
7470352887394,17940605285210
7470386174294,17940612479765
7470419464394,17940619454406
7470452755094,17940627016540
7470486044294,17940634607984
7470519333094,17940643196533
7470552621094,17940651585321
7470585912794,17940659927596
7470619200394,17940667873047
7470652489394,17940676622122
7470685780094,17940684811925
7470719068994,17940693545574
7470752361194,17940701823292
7470785648094,17940713954243
7470818937594,17940724817631
7470852237994,17940733880385
7470885515594,17940742334201
7470918804594,17940749530748
7470952101294,17940757192624
7470985383294,17940764331216
7471018672494,17940771524446
7471051969194,17940779202694
7471085252094,17940786210214
7471118540694,17940793834177
7471151831394,17940800268351
7471185121394,17940807247506
7471218408894,17940812920049
7471251699594,17940822677951
7471284987594,17940831451449
7471318301294,17940841197357
7471351566294,17940849884579
7471384855594,17940857997596
7471418146594,17940866108332
7471451435394,17940873581167
7471484726894,17940882518786
7471518014394,17940890857092
7471551305294,17940899148593
7471584597694,17940906243486
7471617882694,17940913612618
7471651170894,17940920913428
7471684466794,17940927932252
7471717750494,17940935350412
7471751038594,17940943495420
7471784335794,17940951077451
7471817619394,17940958247634
7471850906994,17940965416742
7471884197694,17940972796299
7471917487594,17940978622582
7471950775094,17940984795301
7471984065694,17940990312726
7472017376094,17940996166903
7472050644294,17941002368302
7472083934294,17941008060317
7472117222094,17941015517624
7472150512194,17941022818538
7472183814994,17941029384204
7472217093394,17941035823314
7472250380794,17941041980223
7472283669794,17941047432376
7472316964994,17941053236877
7472350248994,17941059845442
7472383538494,17941066730570
7472416833794,17941073710043
7472450116794,17941080296887
7472483405694,17941086312569
7472516702294,17941092366243
7472549983894,17941098365483
7472583273594,17941105723147
7472616564094,17941112877620
7472649903394,17941119215591
7472683141694,17941126717117
7472716431894,17941134162849
7472749721594,17941141191982
7472783010494,17941148398957
7472816303294,17941155980233
7472849588394,17941163796371
7472882879694,17941170620842
7472916167694,17941177828346
7472949459594,17941185498967
7472982747694,17941192191263
7473016036994,17941198280605
7473049330394,17941204919893
7473082615294,17941211780562
7473115904994,17941218435758
7473149200694,17941225336781
7473182483094,17941232360008
7473215771994,17941237851264
7473249069694,17941242785823
7473282350094,17941249864820
7473315639694,17941257853535
7473348930194,17941264821205
7473382219494,17941271187702
7473415507894,17941278536067
7473448798194,17941284940275
7473482092894,17941290991351
7473515398494,17941298071559
7473548666894,17941304748885
7473581962994,17941311015874
7473615255094,17941318620132
7473648533494,17941325474111
7473681825894,17941332645265
7473715113794,17941339693761
7473748403094,17941347732471
7473781696794,17941354995938
7473814981694,17941361863323
7473848271794,17941368232273
7473881564894,17941375275027
7473914849294,17941381804804
7473948138094,17941388591965
7473981468294,17941395681687
7474014716994,17941401795706
7474048006394,17941408138326
7474081296694,17941414940196
7474114587194,17941421071077
7474147874594,17941427624556
7474181164794,17941434386293
7474214453994,17941442484099
7474247742394,17941449566620
7474281032794,17941456875414
7474314348494,17941464169855
7474347612394,17941470748808
7474380901094,17941477733394
7474414192394,17941484274194
7474447480294,17941492356661
7474480769294,17941499686274
7474514063394,17941507414892
7474547348294,17941515214530
7474580637594,17941522646819
7474613931494,17941529730877
7474647217594,17941536492165
7474680504494,17941543924606
7474713801094,17941550629458
7474747084494,17941558541182
7474780373194,17941566068547
7474813663494,17941576667885
7474846973694,17941586503170
7474880241194,17941595633712
7474913531494,17941604530835
7474946843694,17941612971215
7474980108894,17941620901663
7475013399394,17941629778706
7475046714594,17941636900516
7475079978194,17941643711588
7475113267794,17941650812652
7475146558894,17941658194535
7475179846694,17941665304335
7475213134294,17941671618548
7475246429794,17941679120710
7475279714094,17941686272238
7475313043694,17941692797767
7475346297794,17941699221551
7475379582194,17941706366476
7475412872094,17941713503567
7475446167894,17941719832759
7475479466794,17941727612062
7475512739094,17941735940591
7475546030594,17941743149355
7475579317794,17941750470341
7475612607394,17941757815222
7475645897594,17941763835021
7475679186794,17941770701589
7475712475594,17941777448956
7475745765894,17941784596982
7475779055494,17941791700314
7475812344794,17941799024983
7475845634094,17941806586568
7475878924794,17941814728395
7475912212894,17941821755791
7475945500694,17941829674168
7475978796094,17941836891337
7476012080794,17941844695896
7476045371494,17941852449968
7476078664394,17941859412842
7476111948894,17941866361446
7476145239794,17941872964414
7476178555694,17941878689979
7476211816994,17941883982978
7476245105594,17941889484107
7476278419594,17941894553685
7476311684594,17941901021596
7476344973794,17941906436135
7476378264194,17941912557086
7476411553194,17941917515406
7476444841794,17941923202818
7476478132294,17941928537606
7476511422694,17941933715446
7476544709594,17941939696168
7476578000194,17941945484567
7476611291094,17941951294535
7476644579194,17941957478985
7476677867294,17941963507498
7476711162394,17941969091121
7476744447594,17941974482821
7476777737294,17941980448960
7476811030594,17941987835727
7476844314994,17941994224951
7476877605894,17941999507553
7476910899894,17942004422884
7476944183594,17942011795258
7476977471894,17942016978973
7477010762494,17942023917990
7477044051994,17942030788287
7477077340094,17942036769760
7477110630294,17942043740773
7477143918994,17942050703739
7477177208194,17942057244195
7477210498494,17942063216360
7477243788594,17942070064457
