#t_ns,in_ts
7669821982615,50981716905102
7669855271515,50981725709399
7669888561715,50981736290996
7669921856015,50981745783208
7669955139515,50981755847605
7669988430115,50981769366303
7670021726915,50981779915636
7670055008015,50981789641250
7670088298215,50981799071374
7670121622415,50981808618684
7670154876515,50981817159377
7670188166415,50981826729481
7670221460715,50981835625507
7670254745415,50981844066653
7670288047815,50981852985133
7670321322715,50981861955750
7670354628015,50981870525209
7670387903615,50981880821546
7670421190915,50981889718629
7670454481015,50981899638702
7670487771015,50981908750470
7670521060215,50981917658462
7670554349315,50981926879550
7670587637915,50981935752241
7670620928215,50981945153877
7670654220015,50981954586354
7670687506015,50981963811542
7670720796515,50981973878550
7670754141715,50981983796144
7670787374215,50981993671370
7670820664715,50982002553129
7670853960315,50982012138359
7670887243115,50982020742523
7670920532215,50982029533921
7670953827315,50982038238818
7670987112615,50982046926420
7671020399815,50982057016748
7671053689215,50982067110217
7671086979515,50982077105033
7671120274415,50982087214866
7671153557315,50982096760581
7671186847315,50982105976972
7671220137315,50982115972550
7671253426915,50982127952251
7671286714915,50982139022312
7671320004315,50982149625189
7671353295315,50982159812776
7671386585715,50982169793428
7671419872315,50982180868240
7671453162315,50982190750980
7671486460915,50982202290973
7671519740215,50982214187305
7671553030915,50982226075982
7671586333215,50982238586461
7671619631815,50982249283692
7671652899215,50982260295267
7671686193715,50982271203710
7671719494615,50982283152840
7671752766215,50982295061068
7671786055115,50982307103929
7671819346015,50982318959391
7671852635315,50982331157407
7671885924015,50982343143143
7671919213615,50982355057748
7671952504315,50982366899921
7671985791615,50982378943614
7672019082515,50982391006862
7672052370415,50982403279921
7672085717815,50982415183767
7672118952315,50982427439696
7672152238415,50982440099002
7672185529115,50982452891486
7672218826115,50982465148895
7672252119915,50982477069566
7672285397215,50982489151459
7672318692515,50982501249560
7672351975515,50982513076365
7672385265715,50982524490025
7672418592115,50982536073029
7672451844315,50982547469355
7672485134015,50982559016157
7672518422015,50982571058702
7672551712215,50982583373035
7672585002615,50982595392754
7672618289915,50982607179467
7672651580115,50982620208615
7672684870015,50982632324915
7672718158315,50982644387784
7672751448615,50982657225803
7672784736915,50982670213462
7672818027515,50982683175955
7672851321015,50982695067549
7672884605215,50982708003271
7672917895515,50982720149701
7672951211815,50982732416459
7672984473615,50982743387411
7673017763615,50982755205039
7673051070315,50982767031811
7673084341115,50982777301240
7673117631515,50982788227215
7673150958915,50982798795916
7673184210515,50982809268861
7673217499915,50982819313072
7673250788415,50982828900901
7673284078915,50982838689034
7673317367115,50982847425592
7673350656415,50982857923955
