#t_ns,in_ts
6794494825121,5700205385551
6794528114121,5700213227871
6794561402321,5700220609455
6794594691021,5700227813173
6794627986421,5700235306294
6794661271121,5700243990592
6794694558221,5700251975217
6794727854021,5700260228391
6794761191021,5700268880136
6794794425221,5700277960171
6794827714921,5700285557965
6794861004121,5700294426518
6794894292421,5700302581033
6794927582621,5700310503922
6794960870721,5700319394045
6794994162621,5700327969591
6795027449721,5700336696467
6795060740821,5700344289953
6795094026221,5700352872006
6795127315921,5700359956941
6795160610621,5700366858634
6795193895421,5700378344371
6795227183921,5700385706658
6795260478821,5700393328137
6795293761421,5700400704153
6795327049521,5700408273563
6795360339221,5700415369413
6795393632421,5700422447078
6795426916021,5700430173077
6795460206121,5700439933205
6795493495121,5700447373633
6795526783621,5700455088357
6795560073621,5700462828020
6795593367321,5700470106696
6795626650621,5700476984340
6795659940321,5700484649484
6795693234921,5700491860269
6795726517921,5700499332712
6795759807221,5700507759657
6795793096621,5700515849305
6795826384721,5700524243571
6795859675821,5700532312699
6795892963421,5700540938508
6795926253121,5700550091721
6795959540521,5700557790597
6795992830821,5700565364975
6796026123121,5700573359554
6796059407921,5700580522642
6796092697821,5700587763077
6796125992621,5700596851927
6796159274821,5700605064957
6796192564721,5700613287205
6796225880521,5700620747030
6796259142021,5700629380998
6796292431721,5700637466074
6796325720621,5700645052801
6796359009021,5700652628089
6796392328521,5700661746846
6796425587921,5700669460771
6796458903921,5700677738968
6796492185721,5700685921610
6796525454921,5700693892713
6796558751321,5700700957595
6796592032421,5700707920610
6796625322121,5700716298207
6796658616921,5700723804852
6796691899121,5700731427356
6796725192221,5700738805504
6796758479121,5700745900206
6796791766321,5700754025391
6796825055721,5700761478308
6796858345321,5700769721782
6796891633221,5700777475797
6796924923221,5700784504026
6796958211621,5700791856771
6796991502521,5700798832813
6797024790321,5700805977967
6797058079421,5700813192100
6797091373121,5700821440709
6797124657021,5700828895147
6797157946121,5700837740018
6797191273121,5700845184398
6797224522721,5700852399546
6797257813321,5700860762052
6797291103021,5700868054032
6797324390221,5700875422829
6797357680021,5700883024948
6797391005821,5700890820100
6797424257421,5700898556879
6797457547421,5700907111820
6797490836221,5700915040550
6797524130121,5700924026668
6797557414121,5700933858855
6797590702821,5700942496259
6797623997821,5700950919559
6797657282421,5700959291030
6797690570421,5700967960233
6797723858821,5700975674572
6797757148521,5700983423312
6797790437321,5700992936998
6797823725621,5701001888356
6797857021921,5701010431749
6797890304521,5701019917002
6797923594121,5701028807286
6797956884221,5701037814249
6797990171421,5701046952072
6798023467021,5701057623508
6798056754621,5701067073392
6798090038921,5701077173227
6798123327521,5701087615491
6798156622021,5701096812803
6798189905821,5701105586285
6798223196421,5701114621649
6798256483221,5701125244811
6798289772721,5701134431221
6798323061821,5701143050014
6798356349621,5701152555106
6798389639421,5701161222248
6798422928821,5701169920740
6798456217221,5701177830620
6798489515521,5701187426534
6798522795921,5701195675276
6798556084721,5701203949169
6798589378921,5701212658287
6798622662821,5701222055043
6798655952221,5701231226807
6798689240021,5701240389522
6798722529821,5701250050591
6798755818721,5701259086458
6798789106921,5701268797046
6798822396621,5701278399780
6798855707121,5701290136255
6798888974121,5701303365902
