#t_ns,in_ts
9901891573408,12440441598744
9901910079408,12440466405917
9901928586408,12440490451359
9901947094408,12440517260891
9901965601408,12440541831216
9901984107408,12440555681529
9902002614408,12440570705633
9902021121408,12440583754628
9902039629408,12440597479452
9902058135408,12440613788492
9902076642408,12440626188475
9902095151408,12440642189431
9902113658408,12440655571367
9902132163408,12440672298078
9902150671408,12440690297539
9902169177408,12440704452051
9902187684408,12440728064203
9902206191408,12440741008705
9902224698408,12440754886853
9902243205408,12440767752599
9902261712408,12440789459627
9902280218408,12440803372930
9902298728408,12440822231701
9902317235408,12440836836742
9902335740408,12440851844697
9902354247408,12440864777892
9902372755408,12440878241649
9902391261408,12440894229781
9902409768408,12440905780177
9902428276408,12440920174393
9902446784408,12440933615554
9902465290408,12440946484260
9902483797408,12440959768209
9902502302408,12440972552993
9902520809408,12440984458837
9902539316408,12440997961672
9902557825408,12441012194903
9902576333408,12441025876993
9902594840408,12441041588865
9902613345408,12441058321978
9902631852408,12441072538578
9902650365408,12441086240648
9902668868408,12441099943854
9902687372408,12441114369911
9902705880408,12441129172451
9902724386408,12441142045254
9902742894408,12441156685863
9902761402408,12441170881750
9902779909408,12441184528807
9902798416408,12441198927116
9902816924408,12441213883325
9902835429408,12441226421826
9902853936408,12441241045469
9902872443408,12441256526125
9902890949408,12441271509564
9902909457408,12441283400387
9902927966408,12441302389515
9902946473408,12441316279678
9902964977408,12441329865835
9902983488408,12441345572605
9903001994408,12441359704329
9903020501408,12441373891957
9903039005408,12441386307814
9903057513408,12441398529814
9903076019408,12441413125301
9903094527408,12441427883653
9903113035408,12441441321731
9903131541408,12441455408874
9903150049408,12441471364301
9903168555408,12441486023763
9903187062408,12441502439273
9903205568408,12441518420058
9903224075408,12441533471873
9903242582408,12441547232316
9903261091408,12441561508587
9903279598408,12441573303668
9903298105408,12441584810467
9903316610408,12441598785392
9903335116408,12441613877277
9903353627408,12441627491059
9903372132408,12441641870971
9903390640408,12441657049829
9903409145408,12441670901893
9903427653408,12441684284757
9903446160408,12441697160349
9903464667408,12441712135572
9903483174408,12441724640357
9903501682408,12441737672095
9903520188408,12441750528516
9903538695408,12441764278444
9903557202408,12441777093382
9903575708408,12441789710682
9903594216408,12441805012417
9903612723408,12441819738538
9903631230408,12441833885722
9903649739408,12441847901248
9903668242408,12441862606715
9903686750408,12441877832618
9903705259408,12441892326855
9903723765408,12441908296114
9903742271408,12441922791534
9903760779408,12441937050742
9903779286408,12441953406958
9903797793408,12441968611895
9903816300408,12441985426769
9903834808408,12441999417648
9903853316408,12442018029138
9903871820408,12442032916841
9903890327408,12442048396432
9903908834408,12442064998728
9903927342408,12442079693272
9903945850408,12442094382139
9903964355408,12442109122290
9903982865408,12442125871211
9904001371408,12442142077791
9904019876408,12442156982002
9904038382408,12442174539884
9904056893408,12442192922041
9904075403408,12442208940731
9904093905408,12442224105312
9904112412408,12442239903212
9904130918408,12442261442021
9904149425408,12442277614386
9904167933408,12442290077418
9904186441408,12442300976136
9904204949408,12442313726866
9904223454408,12442324436303
9904241962408,12442338963700
9904260467408,12442353864652
9904278975408,12442368086655
9904297482408,12442383344669
9904315989408,12442401909357
9904334497408,12442415297523
9904353002408,12442427244737
9904371508408,12442443118493
9904390015408,12442458022233
9904408525408,12442471587819
9904427030408,12442483321364
9904445538408,12442497376568
9904464044408,12442511860205
9904482552408,12442525717953
9904501059408,12442540494630
9904519567408,12442554549014
