#t_ns,out_ts
9901891573408,12440466305001
9901910079408,12440490337480
9901928586408,12440517129792
9901947094408,12440541738316
9901965601408,12440555656505
9901984107408,12440570592625
9902002614408,12440583653719
9902021121408,12440597387402
9902039629408,12440613698296
9902058135408,12440626050459
9902076642408,12440642071829
9902095151408,12440655496588
9902113658408,12440672273573
9902132163408,12440690233038
9902150671408,12440704411237
9902169177408,12440728048562
9902187684408,12440740933998
9902206191408,12440754814919
9902224698408,12440767655507
9902243205408,12440789396737
9902261712408,12440803297697
9902280218408,12440822043049
9902298728408,12440836770460
9902317235408,12440851742863
9902335740408,12440864695631
9902354247408,12440878191246
9902372755408,12440894220694
9902391261408,12440905770159
9902409768408,12440920159295
9902428276408,12440933598159
9902446784408,12440946462318
9902465290408,12440959748921
9902483797408,12440972531120
9902502302408,12440984442325
9902520809408,12440997948072
9902539316408,12441012166357
9902557825408,12441025860584
9902576333408,12441041573991
9902594840408,12441058308236
9902613345408,12441072525276
9902631852408,12441086227991
9902650365408,12441099929651
9902668868408,12441114352104
9902687372408,12441129095959
9902705880408,12441142031049
9902724386408,12441156669674
9902742894408,12441170869669
9902761402408,12441184514959
9902779909408,12441198912309
9902798416408,12441213864039
9902816924408,12441226408319
9902835429408,12441241028832
9902853936408,12441256506299
9902872443408,12441271493453
9902890949408,12441283385302
9902909457408,12441302370754
9902927966408,12441316252567
9902946473408,12441329845256
9902964977408,12441345551282
9902983488408,12441359688673
9903001994408,12441373876288
9903020501408,12441386294659
9903039005408,12441398513983
9903057513408,12441413105810
9903076019408,12441427863498
9903094527408,12441441305913
9903113035408,12441455308672
9903131541408,12441471348491
9903150049408,12441485996473
9903168555408,12441502422358
9903187062408,12441518391128
9903205568408,12441533457702
9903224075408,12441547218323
9903242582408,12441561494394
9903261091408,12441573286243
9903279598408,12441584794389
9903298105408,12441598775742
9903316610408,12441613859982
9903335116408,12441627477634
9903353627408,12441641856339
9903372132408,12441657035288
9903390640408,12441670883763
9903409145408,12441684270249
9903427653408,12441697142448
9903446160408,12441711998309
9903464667408,12441724626883
9903483174408,12441737656775
9903501682408,12441750512051
9903520188408,12441764260612
9903538695408,12441777032430
9903557202408,12441789697996
9903575708408,12441804986657
9903594216408,12441819722957
9903612723408,12441833871208
9903631230408,12441847884916
9903649739408,12441862592671
9903668242408,12441877819085
9903686750408,12441892312264
9903705259408,12441908271349
9903723765408,12441922774179
9903742271408,12441937033243
9903760779408,12441953391035
9903779286408,12441968590861
9903797793408,12441985405903
9903816300408,12441999401193
9903834808408,12442018006277
9903853316408,12442032901515
9903871820408,12442048387682
9903890327408,12442064986304
9903908834408,12442079678552
9903927342408,12442094366763
9903945850408,12442109105448
9903964355408,12442125771661
9903982865408,12442142069991
9904001371408,12442156972992
9904019876408,12442174524179
9904038382408,12442192904014
9904056893408,12442208921956
9904075403408,12442224092093
9904093905408,12442239887067
9904112412408,12442261428854
9904130918408,12442277504568
9904149425408,12442289908405
9904167933408,12442300808530
9904186441408,12442313715645
9904204949408,12442324425683
9904223454408,12442338949593
9904241962408,12442353698192
9904260467408,12442367869746
9904278975408,12442383201396
9904297482408,12442401764534
9904315989408,12442415146075
9904334497408,12442427072700
9904353002408,12442443074169
9904371508408,12442457888107
9904390015408,12442471514172
9904408525408,12442483312419
9904427030408,12442497368155
9904445538408,12442511707408
9904464044408,12442525709547
9904482552408,12442540481847
9904501059408,12442554539897
9904519567408,12442566887485
9904538073408,12442580803801
9904556579408,12442595019778
9904575087408,12442606344702
9904593594408,12442620173479
9904612101408,12442634485348
9904630607408,12442648400951
9904649115408,12442659587522
9904667622408,12442670654897
9904686130408,12442684146010
9904704635408,12442695059216
9904723141408,12442707450774
9904741648408,12442722015765
9904760156408,12442736912044
9904778665408,12442750628657
9904797169408,12442763355435
9904815677408,12442775724553
9904834186408,12442789645893
9904852691408,12442802494914
9904871198408,12442817950355
9904889707408,12442832380219
9904908212408,12442845824418
