#t_ns,in_ts
4527879468883,14600158297698
4527912754483,14600184541182
4527946043283,14600207531273
4527979336983,14600219865626
4528012621683,14600232364814
4528045909283,14600247642668
4528079201983,14600260531221
4528112488483,14600281070871
4528145776983,14600293901263
4528179065383,14600306674800
4528212355483,14600318392498
4528245644083,14600330364676
4528278932583,14600342823772
4528312224783,14600353207627
4528345511883,14600365014158
4528378800483,14600377013626
4528412094183,14600388151633
4528445378383,14600398827355
4528478668483,14600409910966
4528511961283,14600420745834
4528545245683,14600431738081
4528578533883,14600442805012
4528611822583,14600454763464
4528645112583,14600464498053
4528678402783,14600474784409
4528711689983,14600485804255
4528744979583,14600496339725
4528778267583,14600506435827
4528811556383,14600516170667
4528844852083,14600533225963
4528878135983,14600543015402
4528911423883,14600553215770
4528944723183,14600563611085
4528978002483,14600572746326
4529011291783,14600582197712
4529044579483,14600591931456
4529077869383,14600603293905
4529111159483,14600612810718
4529144446483,14600623478070
4529177738383,14600634188960
4529211076183,14600644552782
4529244313683,14600655707344
4529277604183,14600666450145
4529310892183,14600678560877
4529344181083,14600689559126
4529377476183,14600700119388
4529410758983,14600711082374
4529444047783,14600721353102
4529477345083,14600731953980
4529510626583,14600742566618
4529543914883,14600757561296
4529577204283,14600769636896
4529610493683,14600784861829
4529643781883,14600797291038
4529677072483,14600807760340
4529710360783,14600818303847
4529743649983,14600830894083
4529776937883,14600844085567
4529810233083,14600854750308
4529843517383,14600864705721
4529876804683,14600874976820
4529910099883,14600886546370
4529943383783,14600899168409
4529976671883,14600910117475
4530009964983,14600923714086
4530043257983,14600934942174
4530076538783,14600952947029
4530109828583,14600965487912
4530143117783,14600983527019
4530176406283,14600994484328
4530209698083,14601005811870
4530242985983,14601019260602
4530276273283,14601031317438
4530309562883,14601044753615
4530342857583,14601057513004
4530376141183,14601073665927
4530409428883,14601086221112
4530442740583,14601104092666
4530476008683,14601121252848
4530509295783,14601139756188
4530542585883,14601154575982
4530575907683,14601171043886
4530609163383,14601185324016
4530642452683,14601200217284
4530675755183,14601214415756
4530709030183,14601230606693
4530742320183,14601246165355
4530775614083,14601260757676
4530808897083,14601276130360
4530842187883,14601290144788
4530875481883,14601305150123
4530908766983,14601319865477
4530942053883,14601337165550
4530975342683,14601353331148
4531008644483,14601368384367
4531041921583,14601383873228
4531075210183,14601400508944
4531108498883,14601417383990
4531141787183,14601432625352
4531175077083,14601449822321
4531208368983,14601467641360
4531241654283,14601483937413
4531274944383,14601499812182
4531308239083,14601517788464
4531341521283,14601532782401
4531374811083,14601548349065
4531408126983,14601566822789
4531441388283,14601582169637
4531474678483,14601597940824
4531507966683,14601614923855
4531541255583,14601629599723
4531574570983,14601644498326
4531607834083,14601660212106
4531641122183,14601676397385
4531674412183,14601690840718
4531707701083,14601705156805
4531741024783,14601722906039
4531774278383,14601740756094
4531807568183,14601757582505
4531840863883,14601772175678
4531874145283,14601789431489
4531907435083,14601806801975
4531940724083,14601822661262
4531974012683,14601839995708
4532007302383,14601854854472
4532040591783,14601870025404
4532073879683,14601884713949
4532107168883,14601901621563
4532140457683,14601917165329
4532173748383,14601933407345
4532207036983,14601948885527
4532240325283,14601965426400
4532273619183,14601980384569
4532306902883,14601995233167
4532340192183,14602012730909
4532373518583,14602028728177
4532406774883,14602045260503
4532440059383,14602061039487
4532473348483,14602074780988
4532506636783,14602088903327
4532539926383,14602102872044
4532573214983,14602126295290
4532606503483,14602143416940
4532639795983,14602161928088
4532673082083,14602179681400
4532706376383,14602196032911
4532739660283,14602211167325
4532772948283,14602227599683
4532806273183,14602247669289
4532839527283,14602270948922
4532872815983,14602289841598
4532906104383,14602307748941
4532939425383,14602323856275
4532972683683,14602338980322
4533005971883,14602354013670
4533039261183,14602372113345
4533072550283,14602390485797
4533105838883,14602405525725
4533139129583,14602421798329
4533172417483,14602438218291
4533205707383,14602455580237
4533239000583,14602473403166
4533272284883,14602491929874
4533305573383,14602508793109
4533338868083,14602524601929
4533372151483,14602540677131
4533405441183,14602555908933
4533438728783,14602571029178
4533472018283,14602594093535
4533505307183,14602615728089
4533538595983,14602633260904
4533571885683,14602651506005
4533605174983,14602666895590
4533638462683,14602682387855
4533671758283,14602698740376
4533705041483,14602714122238
4533738330983,14602729964962
4533771644783,14602743737706
4533804908683,14602757298214
4533838198683,14602773515434
4533871485683,14602790172015
4533904775783,14602810068290
4533938083983,14602825044484
4533971352783,14602839587155
4534004642783,14602853963550
4534037932583,14602870780932
4534071219883,14602887156473
4534104511983,14602901763378
4534137797783,14602918953388
4534171086783,14602935423860
4534204383283,14602951333417
4534237665183,14602968393780
4534270954083,14602983922948
4534304249183,14602998818360
4534337533183,14603013074426
4534370824383,14603026501404
4534404110883,14603040626814
4534437399583,14603056042338
4534470689083,14603071451961
4534503976683,14603085178510
4534537266983,14603098171157
4534570557083,14603111892184
4534603848783,14603125300096
4534637139483,14603143386825
4534670422383,14603159033452
4534703710983,14603173455781
4534737006883,14603187957421
4534770289283,14603202200316
4534803578183,14603215916743
4534836868183,14603229389264
4534870156883,14603243412321
4534903444983,14603257980951
4534936735183,14603270548614
4534970023583,14603287736185
4535003312483,14603302021902
4535036601683,14603315566301
4535069893883,14603329888899
4535103179383,14603343947087
4535136467683,14603361219710
4535169763383,14603375719246
4535203048083,14603392141115
4535236334783,14603409420188
4535269631483,14603423597284
4535302933683,14603438558917
4535336202183,14603454015429
4535369491983,14603471507405
4535402780983,14603487749019
4535436068783,14603505715474
4535469359183,14603520317368
4535502647083,14603537495488
4535535936383,14603550953862
4535569226783,14603566603722
4535602520083,14603585541704
4535635803083,14603601842934
4535669092983,14603616838164
4535702389383,14603632887309
4535735678083,14603648601878
4535768960783,14603662089798
4535802248583,14603676282584
4535835538283,14603692024014
4535868826583,14603706507695
4535902115483,14603722633676
4535935405783,14603736655775
4535968693083,14603750060790
4536001982783,14603763487706
4536035275683,14603777282474
4536068560383,14603790280031
4536101849883,14603802738450
4536135154383,14603816773649
4536168427583,14603830402143
4536201717283,14603843604575
4536235012383,14603859834926
4536268294283,14603874242729
4536301590883,14603888215932
4536334873283,14603901576106
4536368161183,14603915466396
4536401450983,14603937989331
4536434740283,14603952910973
4536468057383,14603969120511
4536501317183,14603986506469
4536534607583,14604003146358
4536567902883,14604019483949
4536601184483,14604034591905
4536634474283,14604048380655
4536667802983,14604070490607
4536701051683,14604086286634
4536734341083,14604104119780
4536767630083,14604119390765
4536800918683,14604141661776
4536834208683,14604158006275
4536867496383,14604172582972
4536900785583,14604187348033
4536934076983,14604201801970
4536967364883,14604215303938
4537000656783,14604228244306
4537033941683,14604240685429
4537067231583,14604257773145
4537100555083,14604271677051
4537133809783,14604284471743
4537167097983,14604298012040
4537200395383,14604310389670
4537233675583,14604327416008
4537266965283,14604342708924
4537300254383,14604356245466
4537333542683,14604369429638
4537366832583,14604381574609
4537400122983,14604394367689
4537433409483,14604406040084
4537466699983,14604419671690
4537500009683,14604437398052
4537533282483,14604451509435
4537566566583,14604469628805
4537599855083,14604483313787
4537633149683,14604495905604
4537666462383,14604509319453
4537699722483,14604524788856
4537733010983,14604538572493
4537766300383,14604551242796
4537799589383,14604563604964
4537832878383,14604576123625
4537866166583,14604589304115
4537899456283,14604602463266
4537932746983,14604616772786
4537966037983,14604636480850
4537999323383,14604654056647
4538032611983,14604667602147
4538065910083,14604681031648
4538099190283,14604692355618
4538132480283,14604705394775
4538165770883,14604722828609
4538199057683,14604736821059
4538232346183,14604753584740
4538265634683,14604768796152
4538298927183,14604783900726
4538332213583,14604798809924
4538365501783,14604813899889
4538398791283,14604829485446
4538432080083,14604843366837
4538465369083,14604857483012
4538498664583,14604871164097
4538531948183,14604888484335
4538565236983,14604904781880
4538598530883,14604920446342
4538631814783,14604937169620
4538665103683,14604953115031
4538698391783,14604969646748
4538731681883,14604987887830
4538764970483,14605002520908
4538798258983,14605017771888
4538831548883,14605033264976
4538864836983,14605050631861
4538898126083,14605068342683
4538931420783,14605084173447
4538964704783,14605099497533
4538997993283,14605114140903
4539031338883,14605129599303
4539064571783,14605143277992
4539097860283,14605160067270
4539131156783,14605173766313
4539164438583,14605188673891
4539197728483,14605201633546
4539231015683,14605217276992
4539264305583,14605230922125
4539297595383,14605247741422
4539330882883,14605263794248
4539364172983,14605277912864
4539397461583,14605292020514
4539430750083,14605306182280
4539464045583,14605318897955
4539497329183,14605334494214
4539530617683,14605348323505
