#t_ns,in_ts
9901891573408,14391808941384
9901910079408,14391834615418
9901928586408,14391859283082
9901947094408,14391883036316
9901965601408,14391900695442
9901984107408,14391920605594
9902002614408,14391942977298
9902021121408,14391956011930
9902039629408,14391975866594
9902058135408,14391990332049
9902076642408,14392008307029
9902095151408,14392023485754
9902113658408,14392037554246
9902132163408,14392063455307
9902150671408,14392086091681
9902169177408,14392105414404
9902187684408,14392125977055
9902206191408,14392155470463
9902224698408,14392175519924
9902243205408,14392196958069
9902261712408,14392213633037
9902280218408,14392234100575
9902298728408,14392266271161
9902317235408,14392282696878
9902335740408,14392297036036
9902354247408,14392312248103
9902372755408,14392330009598
9902391261408,14392343867303
9902409768408,14392358843932
9902428276408,14392378420071
9902446784408,14392393823882
9902465290408,14392416744394
9902483797408,14392432732453
9902502302408,14392446129901
9902520809408,14392460720216
9902539316408,14392475316787
9902557825408,14392490012940
9902576333408,14392505992422
9902594840408,14392522029043
9902613345408,14392541577934
9902631852408,14392556237529
9902650365408,14392570742309
9902668868408,14392588912923
9902687372408,14392607588077
9902705880408,14392623505046
9902724386408,14392640864150
9902742894408,14392654845931
9902761402408,14392670140361
9902779909408,14392685383543
9902798416408,14392699878903
9902816924408,14392715677021
9902835429408,14392733743140
9902853936408,14392749481128
9902872443408,14392766915969
9902890949408,14392782602427
9902909457408,14392798077828
9902927966408,14392814715845
9902946473408,14392832011726
9902964977408,14392854924584
9902983488408,14392871567358
9903001994408,14392885599942
9903020501408,14392901587900
9903039005408,14392918078008
9903057513408,14392934088993
9903076019408,14392950272423
9903094527408,14392967597023
9903113035408,14392989627289
9903131541408,14393005037010
9903150049408,14393018489018
9903168555408,14393034017902
9903187062408,14393051024424
9903205568408,14393069566476
9903224075408,14393086216239
9903242582408,14393103573183
9903261091408,14393119278771
9903279598408,14393138588788
9903298105408,14393159105665
9903316610408,14393174201331
9903335116408,14393190506189
9903353627408,14393206705219
9903372132408,14393227135305
9903390640408,14393248076738
9903409145408,14393265960201
9903427653408,14393282750947
9903446160408,14393298372287
9903464667408,14393316444984
9903483174408,14393332251685
9903501682408,14393349656625
9903520188408,14393367049657
9903538695408,14393384701376
9903557202408,14393402005364
9903575708408,14393423049087
9903594216408,14393441670328
9903612723408,14393458855873
9903631230408,14393479670859
9903649739408,14393497274401
9903668242408,14393513371745
9903686750408,14393530223031
9903705259408,14393548222844
9903723765408,14393566635261
9903742271408,14393594572517
9903760779408,14393614815372
9903779286408,14393632537969
9903797793408,14393650529059
9903816300408,14393667917223
9903834808408,14393683297018
9903853316408,14393707435590
9903871820408,14393723884131
9903890327408,14393740280417
9903908834408,14393758495246
9903927342408,14393776241725
9903945850408,14393797585745
9903964355408,14393817406518
9903982865408,14393835895761
9904001371408,14393863727139
9904019876408,14393883181325
9904038382408,14393900292291
9904056893408,14393916750858
9904075403408,14393935034797
9904093905408,14393951486319
9904112412408,14393968586887
9904130918408,14393988627714
9904149425408,14394007973823
9904167933408,14394025807185
9904186441408,14394043346709
9904204949408,14394058999463
9904223454408,14394077342005
9904241962408,14394097693302
9904260467408,14394114860261
9904278975408,14394133464623
9904297482408,14394150125168
9904315989408,14394169663410
9904334497408,14394189120720
9904353002408,14394206036622
9904371508408,14394225971892
9904390015408,14394244946314
9904408525408,14394264294178
9904427030408,14394281595266
9904445538408,14394299628777
9904464044408,14394317826611
9904482552408,14394335202945
9904501059408,14394355164313
9904519567408,14394375489062
9904538073408,14394394560451
9904556579408,14394416028121
9904575087408,14394433244553
9904593594408,14394451703356
9904612101408,14394469811717
9904630607408,14394487669143
9904649115408,14394505229948
9904667622408,14394525352352
9904686130408,14394544013621
9904704635408,14394563011511
9904723141408,14394581090909
9904741648408,14394600606727
9904760156408,14394621339841
9904778665408,14394641868943
9904797169408,14394661210839
9904815677408,14394681827470
9904834186408,14394701194601
9904852691408,14394719777228
9904871198408,14394738455689
9904889707408,14394758513176
9904908212408,14394777472414
9904926719408,14394797606749
9904945226408,14394818213134
9904963734408,14394838130979
9904982240408,14394862803536
9905000747408,14394881862358
9905019255408,14394903351555
9905037765408,14394922760842
9905056268408,14394943622011
9905074774408,14394964254655
9905093282408,14394986114911
9905111789408,14395004754436
9905130295408,14395023782413
9905148804408,14395044576217
9905167310408,14395065177522
9905185817408,14395084160027
9905204325408,14395103244604
9905222833408,14395121161923
9905241340408,14395141005184
9905259846408,14395161536375
9905278352408,14395182146538
9905296860408,14395200495623
9905315365408,14395218395240
9905333873408,14395237660054
9905352380408,14395255774759
9905370889408,14395274395214
9905389394408,14395293401165
9905407901408,14395312604238
9905426406408,14395330536076
9905444915408,14395350542443
9905463430408,14395372048497
9905481931408,14395393430168
9905500452408,14395412278905
9905518944408,14395429387750
9905537450408,14395447113373
9905555957408,14395466773915
9905574465408,14395489705375
9905592972408,14395509231640
9905611482408,14395528784701
9905629984408,14395547775150
9905648491408,14395565697143
9905666999408,14395587583895
9905685506408,14395607803143
9905704013408,14395627135670
9905722522408,14395646942484
9905741026408,14395665805122
9905759534408,14395684567236
9905778041408,14395703716787
9905796548408,14395724292610
9905815054408,14395745127752
9905833561408,14395762710749
9905852070408,14395784874879
9905870577408,14395804063929
9905889083408,14395821658572
9905907591408,14395840899858
9905926100408,14395860896464
9905944604408,14395880395964
9905963112408,14395900989408
9905981617408,14395919748010
9906000125408,14395944940868
9906018632408,14395965479129
9906037138408,14395984244568
9906055646408,14396011765202
9906074155408,14396034431126
9906092661408,14396055979352
9906111166408,14396074678508
9906129672408,14396091484679
9906148181408,14396109504747
9906166687408,14396129045246
9906185194408,14396148168042
9906203702408,14396167994995
9906222208408,14396187776645
9906240716408,14396206792782
9906259224408,14396225575065
9906277732408,14396244095678
9906296236408,14396262286618
9906314743408,14396282228275
9906333251408,14396302122507
9906351757408,14396322885266
9906370265408,14396340165907
9906388772408,14396358368780
9906407280408,14396377356481
9906425787408,14396395798835
9906444293408,14396415591906
9906462800408,14396434372534
9906481306408,14396453428410
9906499813408,14396471979105
9906518319408,14396491189494
9906536829408,14396512940254
9906555333408,14396531099090
9906573843408,14396550458725
9906592348408,14396569053541
9906610857408,14396589634741
9906629364408,14396608307697
9906647869408,14396627067539
9906666376408,14396647136927
9906684884408,14396667005343
9906703392408,14396686458217
9906721897408,14396706265447
9906740405408,14396725424111
