#t_ns,out_ts
9901891573408,14391834528028
9901910079408,14391859172614
9901928586408,14391882941765
9901947094408,14391900613604
9901965601408,14391920516861
9901984107408,14391942869765
9902002614408,14391955916513
9902021121408,14391975758743
9902039629408,14391990219421
9902058135408,14392008209306
9902076642408,14392023403783
9902095151408,14392037460749
9902113658408,14392063433857
9902132163408,14392086017348
9902150671408,14392105327191
9902169177408,14392125880974
9902187684408,14392155356756
9902206191408,14392175396996
9902224698408,14392196859678
9902243205408,14392213508528
9902261712408,14392234021493
9902280218408,14392266041125
9902298728408,14392282670343
9902317235408,14392296991589
9902335740408,14392312222314
9902354247408,14392329992661
9902372755408,14392343849835
9902391261408,14392358824624
9902409768408,14392378381924
9902428276408,14392393799895
9902446784408,14392416727819
9902465290408,14392432720256
9902483797408,14392446107731
9902502302408,14392460698228
9902520809408,14392475307960
9902539316408,14392489992689
9902557825408,14392505976486
9902576333408,14392522011302
9902594840408,14392541558595
9902613345408,14392556220013
9902631852408,14392570725477
9902650365408,14392588894083
9902668868408,14392607560379
9902687372408,14392623416157
9902705880408,14392640854230
9902724386408,14392654833732
9902742894408,14392670124222
9902761402408,14392685362561
9902779909408,14392699861925
9902798416408,14392715655261
9902816924408,14392733726935
9902835429408,14392749466199
9902853936408,14392766898431
9902872443408,14392782583810
9902890949408,14392798061841
9902909457408,14392814695444
9902927966408,14392831983570
9902946473408,14392854909543
9902964977408,14392871549454
9902983488408,14392885583267
9903001994408,14392901566745
9903020501408,14392918059069
9903039005408,14392934071357
9903057513408,14392950243842
9903076019408,14392967571149
9903094527408,14392989603261
9903113035408,14393004954613
9903131541408,14393018469143
9903150049408,14393033992444
9903168555408,14393051009723
9903187062408,14393069546586
9903205568408,14393086201242
9903224075408,14393103558650
9903242582408,14393119263955
9903261091408,14393138573333
9903279598408,14393159089241
9903298105408,14393174184198
9903316610408,14393190482067
9903335116408,14393206685145
9903353627408,14393227121322
9903372132408,14393248058845
9903390640408,14393265945546
9903409145408,14393282736160
9903427653408,14393298358126
9903446160408,14393316365395
9903464667408,14393332240014
9903483174408,14393349642834
9903501682408,14393367035217
9903520188408,14393384684912
9903538695408,14393401934577
9903557202408,14393423027100
9903575708408,14393441637345
9903594216408,14393458834505
9903612723408,14393479651966
9903631230408,14393497252820
9903649739408,14393513351549
9903668242408,14393530204503
9903686750408,14393548203148
9903705259408,14393566607755
9903723765408,14393594548523
9903742271408,14393614795315
9903760779408,14393632518295
9903779286408,14393650508102
9903797793408,14393667899877
9903816300408,14393683276230
9903834808408,14393707402098
9903853316408,14393723864686
9903871820408,14393740262402
9903890327408,14393758475346
9903908834408,14393776222288
9903927342408,14393797567638
9903945850408,14393817379524
9903964355408,14393835820968
9903982865408,14393863699231
9904001371408,14393883156135
9904019876408,14393900274223
9904038382408,14393916728518
9904056893408,14393935011568
9904075403408,14393951474025
9904093905408,14393968569752
9904112412408,14393988608489
9904130918408,14394007952085
9904149425408,14394025784655
9904167933408,14394043326453
9904186441408,14394058984855
9904204949408,14394077320755
9904223454408,14394097663539
9904241962408,14394114837060
9904260467408,14394133441880
9904278975408,14394150074246
9904297482408,14394169642632
9904315989408,14394189098520
9904334497408,14394206015758
9904353002408,14394225942351
9904371508408,14394244925570
9904390015408,14394264209577
9904408525408,14394281576151
9904427030408,14394299605215
9904445538408,14394317806760
9904464044408,14394335181812
9904482552408,14394355138922
9904501059408,14394375467887
9904519567408,14394394531523
9904538073408,14394416005809
9904556579408,14394433227351
9904575087408,14394451685947
9904593594408,14394469785355
9904612101408,14394487656165
9904630607408,14394505218446
9904649115408,14394525329132
9904667622408,14394544003539
9904686130408,14394562997417
9904704635408,14394581077446
