#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
4527879468883,14600133759045,14600158152904,14600158171963,14600158297698,14600158300016,14600162415990,14600162416808,14600162417666,14600167420413,14600168721389,14600183376291,14600183398168,14600183398590,14600183521697,14600184222841,14600184223926,14600184223926,14600184223926,14600184223926,14600184228054,14600184229608,14600184360223,14600184449875
4527912754483,14600158186825,14600168937808,14600184464262,14600184541182,14600184667012,14600188476405,14600191119611,14600191133462,14600194039204,14600194996593,14600207055497,14600207086563,14600207087550,14600207151861,14600207348131,14600207348573,14600207348573,14600207348573,14600207348573,14600207350960,14600207351993,14600207370777,14600207456638
4527946043283,14600184473442,14600205426761,14600207465918,14600207531273,14600207620014,14600209480020,14600212185292,14600212192510,14600213786340,14600214369720,14600219440956,14600219456194,14600219456719,14600219536740,14600219733111,14600219733582,14600219733582,14600219733582,14600219733582,14600219735914,14600219736617,14600219752137,14600219770392
4527979336983,14600207472684,14600218834359,14600219779821,14600219865626,14600219906635,14600223697684,14600226115791,14600226120025,14600226929140,14600227594775,14600231979791,14600231991245,14600231991550,14600232027866,14600232203389,14600232203608,14600232203608,14600232203608,14600232203608,14600232205740,14600232206427,14600232220275,14600232305551
4528012621683,14600219785142,14600228557632,14600232309210,14600232364814,14600232404818,14600235740998,14600237897355,14600237902514,14600238838673,14600239632924,14600243834175,14600243846929,14600243847280,14600243939102,14600244111288,14600244867845,14600246223616,14600246387705,14600246554608,14600247092110,14600247421719,14600247431603,14600247517553
4528045909283,14600232312571,14600240617196,14600247521128,14600247642668,14600247735517,14600250711151,14600252995210,14600253036450,14600254017607,14600254573870,14600258611955,14600258624711,14600258624982,14600258674912,14600258839253,14600259215706,14600259811266,14600259940794,14600260046444,14600260319967,14600260417327,14600260426062,14600260466191
4528079201983,14600247524781,14600254775719,14600260468585,14600260531221,14600260569153,14600262484070,14600264596211,14600264623555,14600265448519,14600266163288,14600270224106,14600270235667,14600270235993,14600270264661,14600270399558,14600270793407,14600271415239,14600271539569,14600271638041,14600271881421,14600272021660,14600272033258,14600280929059
4528112488483,14600260472485,14600280924630,14600280934424,14600281070871,14600281124744,14600282541923,14600284506267,14600284527223,14600285410075,14600285933853,14600290165349,14600290177215,14600290177524,14600290210238,14600291366118,14600291897599,14600292649089,14600292800339,14600293056177,14600293406441,14600293582594,14600293699019,14600293803983
4528145776983,14600280939821,14600292373252,14600293814733,14600293901263,14600293948091,14600296179855,14600298681207,14600298697496,14600299495506,14600300049640,14600304319485,14600304332415,14600304332733,14600304363402,14600304580047,14600305027135,14600305698517,14600305828745,14600306037698,14600306336957,14600306551173,14600306574583,14600306581935
4528179065383,14600293823878,14600301225029,14600306585124,14600306674800,14600306716326,14600308354302,14600310407528,14600310443111,14600311225368,14600311923011,14600316277992,14600316289251,14600316289561,14600316322692,14600316472962,14600316914913,14600317540040,14600317667850,14600317941759,14600318208885,14600318303054,14600318319775,14600318324900
4528212355483,14600306587178,14600314201782,14600318326164,14600318392498,14600318431780,14600320416870,14600322089869,14600322106131,14600322902715,14600323514762,14600327716807,14600327729082,14600327729421,14600327827869,14600328158293,14600328614210,14600329409996,14600329544146,14600329791307,14600330106280,14600330330417,14600330350701,14600330356052
4528245644083,14600318328050,14600325729520,14600330357364,14600330364676,14600330443280,14600331909238,14600333843078,14600333869004,14600334702842,14600335432830,14600339839136,14600339851169,14600339851495,14600339929987,14600340155960,14600340526414,14600341737308,14600341871418,14600342215828,14600342578701,14600342778132,14600342798475,14600342810096
4528278932583,14600330359328,14600337916773,14600342812969,14600342823772,14600342934044,14600343595680,14600345229195,14600345255273,14600346114187,14600346591983,14600350727564,14600350740107,14600350740395,14600350814181,14600351057015,14600351524535,14600352242978,14600352379946,14600352612519,14600352872035,14600353083064,14600353105353,14600353111347
4528312224783,14600342817005,14600350459705,14600353112454,14600353207627,14600353249068,14600355188476,14600356959250,14600356987379,14600357812137,14600358309441,14600362700148,14600362715134,14600362715448,14600362785390,14600362994273,14600363430583,14600364047087,14600364164367,14600364445501,14600364787741,14600364950244,14600364973919,14600364986611
4528345511883,14600353114774,14600360445077,14600364989476,14600365014158,14600365090258,14600365923750,14600367299337,14600367314560,14600368178106,14600368574796,14600372906988,14600372918948,14600372919248,14600372972954,14600374297074,14600374808688,14600375566806,14600375694572,14600375963659,14600376339516,14600376597098,14600376863489,14600376877549
4528378800483,14600364994105,14600372455686,14600376886497,14600377013626,14600377055718,14600378298955,14600379790623,14600379806577,14600380632910,14600381123036,14600385550389,14600385562483,14600385562799,14600385612917,14600385843286,14600386389574,14600387082546,14600387198966,14600387421491,14600387702729,14600387953341,14600387979046,14600387992745
4528412094183,14600376894367,14600384604059,14600387997590,14600388151633,14600388193191,14600389296138,14600390834282,14600390840781,14600391711248,14600392176262,14600396555588,14600396567662,14600396567930,14600396615395,14600396852007,14600397103815,14600397736393,14600397862623,14600398175698,14600398496992,14600398643885,14600398662491,14600398675205
4528445378383,14600388005780,14600395409500,14600398681110,14600398827355,14600398869733,14600400214370,14600401659404,14600401677690,14600402398639,14600402756984,14600406806905,14600406818185,14600406818478,14600406897563,14600407148614,14600407650341,14600408584327,14600408748818,14600409045934,14600409369857,14600409640878,14600409667010,14600409756471
4528478668483,14600398685234,14600406740481,14600409763135,14600409910966,14600409951509,14600410969024,14600412466336,14600412485645,14600413312035,14600413717148,14600418051810,14600418064274,14600418064569,14600418114033,14600418297613,14600418917692,14600419678195,14600419800335,14600420126069,14600420398268,14600420594865,14600420619391,14600420625297
4528511961283,14600409775490,14600417419774,14600420626879,14600420745834,14600420822815,14600422683579,14600424256589,14600424283043,14600425030796,14600425349473,14600429456534,14600429468314,14600429468636,14600429521229,14600429734108,14600430053064,14600430715228,14600430819293,14600431055415,14600431318182,14600431573466,14600431595409,14600431609200
