#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
9901891573408,14391780744631,14391808830764,14391808843911,14391808941384,14391808944127,14391817294983,14391817296098,14391817296721,14391826703132,14391827990301,14391833670312,14391833691025,14391833691404,14391833788133,14391834291868,14391834292743,14391834292743,14391834292743,14391834292743,14391834296253,14391834297557,14391834429964,14391834528028
9901910079408,14391808854706,14391818862338,14391834540005,14391834615418,14391834684547,14391846630207,14391848364845,14391848376869,14391853232927,14391854167682,14391858015005,14391858028183,14391858028534,14391858123327,14391858255956,14391858256414,14391858256414,14391858256414,14391858256414,14391858258336,14391858259298,14391858290243,14391859172614
9901928586408,14391834547750,14391859168774,14391859179168,14391859283082,14391859324544,14391871281669,14391872985950,14391872995566,14391877816053,14391878654120,14391882515552,14391882528291,14391882528637,14391882627386,14391882801348,14391882802078,14391882802078,14391882802078,14391882802078,14391882804705,14391882805711,14391882826806,14391882941765
9901947094408,14391859184243,14391870587818,14391882948701,14391883036316,14391883069377,14391890938856,14391892625218,14391892631376,14391896169498,14391896936784,14391900226856,14391900237518,14391900237797,14391900338789,14391900499250,14391900499455,14391900499455,14391900499455,14391900499455,14391900501580,14391900502214,14391900521978,14391900613604
9901965601408,14391882955250,14391895493853,14391900616806,14391900695442,14391900724669,14391907375242,14391908847652,14391908854248,14391911907331,14391912633973,14391915181396,14391915192318,14391915192610,14391915276134,14391915438366,14391916550850,14391918565544,14391918949357,14391919328234,14391920063307,14391920405027,14391920425035,14391920516861
9901984107408,14391900622525,14391910770206,14391920523630,14391920605594,14391920640437,14391926143906,14391927482852,14391927494241,14391929962321,14391930508525,14391933064124,14391933074010,14391933074307,14391933212179,14391933377873,14391934057735,14391934912321,14391935109754,14391935380118,14391935705113,14391935872161,14391935897262,14391942869765
9902002614408,14391920529892,14391942864885,14391942874249,14391942977298,14391943029185,14391945234694,14391946651075,14391946689915,14391949589744,14391950146970,14391952969059,14391952979216,14391952979491,14391953090558,14391953287649,14391953890984,14391954845565,14391955046950,14391955308638,14391955641073,14391955805299,14391955829369,14391955916513
9902021121408,14391942880732,14391953044535,14391955920198,14391956011930,14391956042379,14391959179326,14391960298087,14391960316994,14391962649806,14391963196008,14391965728624,14391965738182,14391965738462,14391965830233,14391966302321,14391967126278,14391968100063,14391968273453,14391968650491,14391968990938,14391969183244,14391969290517,14391975758743
9902039629408,14391955926355,14391975753533,14391975767093,14391975866594,14391975908969,14391979134279,14391980662116,14391980673548,14391983552601,14391984185753,14391986828773,14391986841697,14391986842214,14391986975669,14391987202960,14391987839240,14391988855945,14391989062108,14391989454299,14391989842480,14391990081774,14391990114638,14391990219421
9902058135408,14391975773646,14391985917574,14391990227883,14391990332049,14391990364275,14391997686578,14391998890218,14391998902786,14392001856338,14392002530124,14392005246562,14392005258887,14392005259376,14392005355623,14392005540486,14392006354681,14392007146927,14392007282994,14392007582615,14392007933444,14392008064988,14392008084241,14392008209306
9902076642408,14391990232897,14391999515898,14392008213313,14392008307029,14392008338328,14392011406550,14392012871730,14392012911393,14392015275285,14392015897303,14392018668305,14392018679542,14392018679856,14392018834376,14392019495636,14392020641191,14392021919954,14392022163545,14392022617161,14392023025909,14392023265242,14392023295095,14392023403783
9902095151408,14392008218329,14392018049679,14392023407846,14392023485754,14392023519383,14392026611306,14392027720234,14392027756616,14392030092629,14392030791691,14392033415503,14392033426960,14392033427219,14392033532960,14392033728166,14392034800929,14392035989488,14392036226915,14392036673388,14392037091238,14392037334939,14392037367634,14392037460749
9902113658408,14392023413989,14392032615300,14392037464901,14392037554246,14392037587866,14392050243363,14392051751535,14392051781153,14392055281691,14392055999538,14392059440936,14392059453662,14392059453992,14392059572039,14392059781479,14392060742598,14392061920214,14392062193591,14392062649449,14392063069900,14392063290231,14392063317796,14392063433857
9902132163408,14392037469785,14392059312655,14392063438648,14392063455307,14392063526671,14392072547491,14392073860785,14392073934639,14392077666590,14392078284769,14392081779286,14392081790975,14392081791303,14392081888940,14392082107471,14392083301868,14392084457901,14392084715748,14392085343189,14392085727434,14392085957100,14392085985567,14392086017348
