#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
7465093169994,14841833781429,14841846783139,14841846801981,14841846959697,14841846962646,14841850465630,14841850466196,14841850466690,14841853623082,14841854427038,14841860644148,14841860683979,14841860684820,14841860827210,14841861423217,14841861424492,14841861424492,14841861424492,14841861424492,14841861430320,14841861432265,14841861556415,14841861689867
7465126453394,14841846823799,14841854914594,14841861706656,14841861804037,14841861940106,14841866152282,14841867328862,14841867337920,14841869029035,14841869446503,14841873713066,14841873728211,14841873728912,14841873816094,14841874051143,14841874051411,14841874051411,14841874051411,14841874051411,14841874053762,14841874054545,14841874068592,14841874180444
7465159742594,14841861715409,14841869867888,14841874186307,14841874254028,14841874328039,14841878054984,14841879434145,14841879438315,14841880726512,14841881087102,14841884186150,14841884195556,14841884195893,14841884283231,14841884476496,14841884476750,14841884476750,14841884476750,14841884476750,14841884478923,14841884479661,14841884490362,14841884576956
7465193037794,14841874192315,14841880795186,14841884584409,14841884688896,14841884743439,14841887830182,14841889144755,14841889148610,14841890180144,14841890504791,14841892864705,14841892871936,14841892872238,14841892950520,14841893172213,14841893172438,14841893172438,14841893172438,14841893172438,14841893174734,14841893175485,14841893187235,14841893267932
7465226321594,14841884590067,14841890282768,14841893271487,14841893340987,14841893388460,14841894183188,14841895083720,14841895086791,14841895843255,14841896153120,14841897832618,14841897838162,14841897838453,14841897923236,14841898124310,14841898957376,14841900804765,14841901139900,14841901413218,14841902172452,14841902547047,14841902558081,14841902642464
7465259611794,14841893276802,14841896841858,14841902650051,14841902659103,14841902711040,14841903626708,14841904535427,14841904546994,14841905339774,14841905565432,14841907402920,14841907408968,14841907409194,14841907542041,14841907756644,14841908236640,14841909059444,14841909243404,14841909424025,14841909773277,14841909940154,14841909964624,14841909981107
7465292898794,14841902655962,14841905851733,14841909989154,14841910016677,14841910074918,14841912135333,14841913086810,14841913098059,14841913816924,14841913962734,14841915793016,14841915798691,14841915798915,14841915889367,14841916116858,14841916602835,14841917322521,14841917503347,14841917672640,14841917996821,14841918161487,14841918172142,14841918301020
7465326188294,14841909997881,14841913298977,14841918304073,14841918310613,14841918360582,14841919324532,14841920061415,14841920073256,14841920884255,14841921053766,14841922675685,14841922681969,14841922682257,14841922766619,14841923460235,14841923938396,14841924685670,14841924857635,14841925084343,14841925438313,14841925607179,14841925703922,14841925791812
7465359478694,14841918310060,14841921380715,14841925797429,14841925904760,14841925944004,14841926745789,14841927377400,14841927388837,14841928173250,14841928394567,14841930105135,14841930111142,14841930111380,14841930240253,14841930448133,14841930927591,14841931681158,14841931871157,14841932075595,14841932425622,14841932603609,14841932614734,14841932635264
7465392767994,14841925801610,14841928876554,14841932647864,14841932659262,14841932717161,14841934682855,14841935552031,14841935556540,14841936207919,14841936406085,14841938099395,14841938105053,14841938105329,14841938182298,14841938397235,14841938915270,14841939677447,14841939857800,14841940030561,14841940380138,14841940491981,14841940502608,14841940515036
7465426056294,14841932655554,14841935910660,14841940519837,14841940620432,14841940659282,14841941372443,14841942089544,14841942100817,14841942887771,14841943100128,14841944794864,14841944801191,14841944801525,14841944875523,14841945321581,14841945824575,14841946654387,14841946885300,14841947116375,14841947501103,14841947699485,14841947710160,14841947724434
7465459346694,14841940525387,14841943719681,14841947730998,14841947743109,14841947808220,14841949647835,14841950440401,14841950451636,14841951237048,14841951385381,14841953134513,14841953140258,14841953140520,14841953231345,14841953442995,14841953965413,14841954857560,14841955087810,14841955329067,14841955701772,14841955903835,14841955914472,14841955928397
7465492636594,14841947737578,14841950851497,14841955933679,14841955942110,14841956016447,14841957853260,14841958697932,14841958708811,14841959394439,14841959645531,14841961351538,14841961357341,14841961357542,14841961483816,14841961691811,14841962270342,14841963200990,14841963433998,14841963715509,14841964110573,14841964308579,14841964319040,14841964333518
7465525926094,14841955939190,14841959122349,14841964340638,14841964349390,14841964416742,14841965651338,14841966465344,14841966476270,14841967195850,14841967393393,14841969143537,14841969149640,14841969149891,14841969281156,14841969500880,14841970011682,14841970885514,14841971085251,14841971365623,14841971749567,14841971955289,14841971965838,14841971981039
7465559214494,14841964348140,14841967500828,14841971988177,14841971997311,14841972066945,14841972768670,14841973406333,14841973409347,14841974132243,14841974305615,14841976076946,14841976082434,14841976082620,14841976233394,14841976977232,14841977525220,14841978370945,14841978576789,14841978870479,14841979255474,14841979462610,14841979594280,14841979607389
7465592503494,14841971995442,14841975088838,14841979618722,14841979627671,14841979685490,14841980590394,14841981358461,14841981369135,14841982113122,14841982296833,14841984096145,14841984101892,14841984102129,14841984185546,14841984421855,14841984946459,14841985709903,14841985917523,14841986172974,14841986568511,14841986788103,14841986801123,14841986814228
7465625799994,14841979624008,14841982652189,14841986819325,14841986828107,14841986910773,14841988115131,14841988795290,14841988799220,14841989492574,14841989669005,14841991472979,14841991478776,14841991478982,14841991622659,14841991865021,14841992344134,14841993316237,14841993555726,14841993837614,14841994249423,14841994400891,14841994414718,14841994429698
7465659082094,14841986825031,14841989911659,14841994436770,14841994444433,14841994504652,14841995728162,14841996678783,14841996699921,14841997327598,14841997579245,14841999366961,14841999373110,14841999373336,14841999450999,14841999683105,14842000206252,14842001355125,14842001610757,14842001997734,14842002505349,14842002759954,14842002773913,14842002789423
7465692371694,14841994440844,14841997833898,14842002795534,14842002803940,14842002876084,14842003746313,14842004608543,14842004620358,14842005409965,14842005615016,14842007395194,14842007401018,14842007401229,14842007532280,14842007761862,14842008309854,14842009428791,14842009684629,14842010074569,14842010503223,14842010761162,14842010774606,14842010788728
7465725667494,14842002802017,14842005877518,14842010794740,14842010805197,14842010872858,14842011914624,14842012609277,14842012622353,14842013259763,14842013426907,14842015233743,14842015239440,14842015239717,14842015365594,14842015599100,14842016178289,14842017233194,14842017505520,14842017842771,14842018255184,14842018481571,14842018493959,14842018509068
7465758950894,14842010801675,14842013861713,14842018513892,14842018521871,14842018608079,14842020376924,14842021227811,14842021239348,14842022063126,14842022237794,14842023915905,14842023921693,14842023921943,14842024060824,14842024585682,14842024987804,14842025793656,14842026004339,14842026286938,14842026710765,14842026956172,14842026968699,14842026984348
