#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,map_stamp_saved,lc_keyframe_indexed,lc_candidates_retrieved,lc_cumulative_initial_matching_ended,lc_cumulative_island_response_received,lc_cumulative_island_matching_ended,lc_cumulative_reprojection_ended,lc_cumulative_pose_estimation_ended,lc_candidates_validated,lc_loop_detection_finished,lc_loop_decision_received,lc_pgo_problem_built,lc_pgo_problem_solved,lc_pgo_poses_applied,lc_loop_closing_finished,backend_state_pushed,consumer_state_received
6794494825121,1526039397641183,1526039417886286,1526039417895284,1526039417967195,1526039417969259,1526039420877231,1526039420877419,1526039420877815,1526039422372924,1526039422867721,1526039429111008,1526039429124584,1526039429124860,1526039429137286,1526039429456450,1526039429456744,1526039429456744,1526039429456744,1526039429456744,1526039429458685,1526039429459451,1526039429525156,1526039432687409,1526039432690867,1526039432690867,1526039432690867,1526039432690867,1526039432690867,1526039432690867,1526039432690867,1526039432691555,1526039432691555,1526039432691555,1526039432691555,1526039432691555,1526039432699705,1526039432711563,1526039432726892
6794727854021,1526039483806076,1526039493681629,1526039493685736,1526039493764978,1526039493806381,1526039495079293,1526039496033232,1526039496036820,1526039496546579,1526039496788520,1526039500234048,1526039500244846,1526039500245096,1526039500258554,1526039500594898,1526039500803068,1526039501128426,1526039501199598,1526039501305854,1526039501416509,1526039501475943,1526039501538268,1526039504547058,1526039504550075,1526039504550075,1526039504550075,1526039504550075,1526039504550075,1526039504550075,1526039504550075,1526039504550841,1526039504550841,1526039504550841,1526039504550841,1526039504550841,1526039504566941,1526039504602827,1526039504606583
6794960870721,1526039553958408,1526039563670472,1526039563673703,1526039563686885,1526039563747906,1526039564574363,1526039565465446,1526039565468935,1526039565956201,1526039566221600,1526039569794118,1526039569806210,1526039569806463,1526039569820550,1526039570238491,1526039570443497,1526039570816767,1526039570879891,1526039570994470,1526039571125683,1526039571204560,1526039571279850,1526039573539293,1526039573542148,1526039573542148,1526039573542148,1526039573542148,1526039573542148,1526039573542148,1526039573542148,1526039573542814,1526039573542814,1526039573542814,1526039573542814,1526039573542814,1526039573558404,1526039573580874,1526039573644409
6795193895421,1526039623587936,1526039634249796,1526039634253031,1526039634256471,1526039634290198,1526039635326032,1526039636252900,1526039636256888,1526039636729779,1526039636977210,1526039640111993,1526039640124502,1526039640124788,1526039640129133,1526039640668087,1526039640872767,1526039641153303,1526039641200139,1526039641286492,1526039641457432,1526039641565848,1526039641667269,1526039643840415,1526039643843576,1526039643843576,1526039643843576,1526039643843576,1526039643843576,1526039643843576,1526039643843576,1526039643844355,1526039643844355,1526039643844355,1526039643844355,1526039643844355,1526039643863921,1526039643889861,1526039644812065
6795426916021,1526039698909371,1526039709572882,1526039709576373,1526039709587548,1526039709651442,1526039710637351,1526039711604873,1526039711608565,1526039712063175,1526039712289902,1526039715431964,1526039715443437,1526039715443693,1526039715457154,1526039715988077,1526039716176640,1526039716541327,1526039716587403,1526039716694379,1526039716820022,1526039716922130,1526039717039581,1526039719401363,1526039719405531,1526039719405531,1526039719405531,1526039719405531,1526039719405531,1526039719405531,1526039719405531,1526039719406701,1526039719406701,1526039719406701,1526039719406701,1526039719406701,1526039719424621,1526039719473386,1526039720312560
6795659940321,1526039774124650,1526039784741420,1526039784745075,1526039784748207,1526039784780688,1526039785596836,1526039786588415,1526039786592427,1526039787088008,1526039787353579,1526039790369715,1526039790381902,1526039790382190,1526039790387646,1526039790956075,1526039791080205,1526039791265417,1526039791300406,1526039791349671,1526039791505376,1526039791648776,1526039791783162,1526039794077283,1526039794080727,1526039794080727,1526039794080727,1526039794080727,1526039794080727,1526039794080727,1526039794080727,1526039794081665,1526039794081665,1526039794081665,1526039794081665,1526039794081665,1526039794099908,1526039794149962,1526039794807954
6795892963421,1526039843637215,1526039853694480,1526039853697949,1526039853707426,1526039853774403,1526039855301469,1526039856247175,1526039856251197,1526039856750564,1526039857041161,1526039860078360,1526039860090151,1526039860090395,1526039860094185,1526039860682394,1526039860752113,1526039861205529,1526039861273044,1526039861393817,1526039861553335,1526039861673159,1526039861808837,1526039864062917,1526039864066380,1526039864066380,1526039864066380,1526039864066380,1526039864066380,1526039864066380,1526039864066380,1526039864067145,1526039864067145,1526039864067145,1526039864067145,1526039864067145,1526039864081173,1526039864088031,1526039864091627
6796125992621,1526039912700571,1526039922564332,1526039922567164,1526039922576336,1526039922636536,1526039923660737,1526039924598949,1526039924602738,1526039925101834,1526039925338938,1526039928560132,1526039928571767,1526039928572015,1526039928590222,1526039929249664,1526039929416737,1526039929698276,1526039929741976,1526039929816589,1526039929981303,1526039930098962,1526039930300932,1526039932533336,1526039932536414,1526039932536414,1526039932536414,1526039932536414,1526039932536414,1526039932536414,1526039932536414,1526039932537038,1526039932537038,1526039932537038,1526039932537038,1526039932537038,1526039932625613,1526039932638322,1526039932651453
6796359009021,1526039980335023,1526039990277837,1526039990281057,1526039990292848,1526039990369920,1526039991453594,1526039992397138,1526039992401359,1526039992905857,1526039993165032,1526039996347324,1526039996359288,1526039996359485,1526039996372461,1526039997036847,1526039997159490,1526039997343412,1526039997377242,1526039997447667,1526039997568483,1526039997687005,1526039997810058,1526039999963756,1526039999966974,1526039999966974,1526039999966974,1526039999966974,1526039999966974,1526039999966974,1526039999966974,1526039999967566,1526039999967566,1526039999967566,1526039999967566,1526039999967566,1526039999983337,1526040000023186,1526040000144266
6796592032421,1526040049804635,1526040059363509,1526040059366521,1526040059376567,1526040059445560,1526040060269375,1526040061141893,1526040061145449,1526040061637600,1526040061906526,1526040065167209,1526040065177839,1526040065178076,1526040065191444,1526040065842843,1526040065987399,1526040066179761,1526040066216043,1526040066268856,1526040066402972,1526040066524378,1526040066647019,1526040068751824,1526040068755638,1526040068755638,1526040068755638,1526040068755638,1526040068755638,1526040068755638,1526040068755638,1526040068756354,1526040068756354,1526040068756354,1526040068756354,1526040068756354,1526040068771947,1526040068801028,1526040069318051
