#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
4527879468883,12705756745254,12705777428665,12705777448111,12705777547010,12705777549443,12705781012141,12705781013311,12705781014169,12705783923675,12705785349508,12705797942768,12705797966466,12705797967214,12705798077999,12705798841724,12705798842499,12705798842499,12705798842499,12705798842499,12705798847075,12705798848850,12705798974430,12705798993360
4527912754483,12705777461547,12705786879138,12705799011948,12705799109594,12705799242956,12705803042681,12705805426047,12705805434494,12705807277155,12705808210449,12705819165760,12705819191336,12705819192035,12705819313731,12705819513249,12705819513721,12705819513721,12705819513721,12705819513721,12705819515547,12705819516456,12705819533492,12705819609297
4527946043283,12705799020371,12705818433576,12705819618789,12705819729542,12705819833342,12705823698779,12705826284981,12705826292483,12705827753727,12705828680538,12705834645803,12705834658258,12705834658602,12705834764127,12705834961097,12705834961306,12705834961306,12705834961306,12705834961306,12705834963204,12705834963878,12705834980524,12705835065854
4527979336983,12705819626079,12705831166729,12705835073785,12705835178122,12705835228737,12705837429171,12705839761641,12705839765968,12705840412236,12705841208267,12705845017958,12705845027983,12705845028270,12705845044610,12705845238897,12705845239118,12705845239118,12705845239118,12705845239118,12705845240669,12705845241337,12705845258782,12705845317495
4528012621683,12705835081422,12705843497874,12705845321687,12705845413609,12705845452889,12705846408449,12705848438315,12705848440977,12705849032299,12705849753401,12705853383140,12705853393211,12705853393490,12705853408011,12705853610316,12705854348681,12705855481268,12705855666480,12705855837963,12705856396592,12705856724675,12705856734995,12705856747391
4528045909283,12705845325560,12705852009415,12705856755769,12705856772030,12705856872510,12705858327096,12705859864180,12705859866816,12705860554208,12705861286321,12705864830194,12705864841017,12705864841293,12705864926768,12705865168862,12705865541494,12705866087746,12705866225372,12705866307049,12705866523746,12705866618183,12705866621678,12705866626707
4528079201983,12705856763054,12705863205050,12705866628897,12705866667094,12705866704824,12705868508672,12705870186689,12705870190437,12705870745140,12705871387031,12705875045601,12705875056392,12705875056691,12705875124217,12705875362945,12705875732153,12705876343061,12705876463225,12705876552907,12705876772984,12705876889497,12705876898755,12705877799412
4528112488483,12705866632247,12705877797435,12705877802831,12705877955570,12705877996942,12705879416925,12705881011126,12705881014188,12705881541505,12705882268718,12705886041153,12705886052786,12705886053062,12705886062154,12705886551582,12705886926497,12705887492704,12705887622529,12705887806019,12705888009094,12705888202427,12705888317748,12705888324343
4528145776983,12705877808285,12705886946084,12705888329211,12705888411331,12705888451524,12705890063058,12705891704308,12705891708042,12705892247593,12705892688637,12705896342039,12705896354047,12705896354360,12705896363041,12705896520703,12705896902729,12705897488456,12705897624716,12705897786799,12705898026864,12705898189550,12705898210856,12705898224083
4528179065383,12705888332110,12705897318148,12705898233647,12705898336883,12705898376311,12705899531045,12705900768470,12705900771319,12705901306315,12705901639313,12705905403250,12705905414564,12705905414815,12705905430070,12705905696559,12705906096853,12705906630905,12705906739909,12705906928046,12705907184262,12705907318331,12705907336456,12705907455487
4528212355483,12705898239613,12705904497809,12705907458122,12705907544367,12705907587787,12705909691062,12705911059080,12705911062820,12705911601022,12705912122555,12705915869500,12705915880908,12705915881191,12705915898702,12705916166524,12705916642359,12705917285791,12705917448852,12705917653013,12705917920568,12705918146835,12705918170572,12705918277349
4528245644083,12705907463126,12705913606741,12705918279580,12705918394999,12705918438960,12705919162388,12705920477768,12705920480613,12705921040487,12705921372667,12705925203525,12705925214905,12705925215208,12705925228625,12705925480303,12705925720796,12705926252815,12705926365480,12705926512569,12705926721644,12705926847226,12705926868126,12705926879408
