#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
9901891573408,12440415459261,12440441486586,12440441502157,12440441598744,12440441601248,12440450564364,12440450565177,12440450565984,12440457258631,12440458556736,12440465333060,12440465374507,12440465375026,12440465447674,12440466052593,12440466053187,12440466053187,12440466053187,12440466053187,12440466056500,12440466058157,12440466217829,12440466305001
9901910079408,12440441515388,12440451241081,12440466317647,12440466405917,12440466471466,12440473513032,12440475234126,12440475239751,12440480716013,12440481527340,12440488610665,12440488634288,12440488634898,12440488700471,12440488876151,12440488876864,12440488876864,12440488876864,12440488876864,12440488879224,12440488880194,12440488913003,12440490337480
9901928586408,12440466325228,12440490334665,12440490345145,12440490451359,12440490524146,12440503186501,12440505010210,12440505018281,12440510311673,12440511148889,12440516651262,12440516670642,12440516671082,12440516748661,12440516951681,12440516952410,12440516952410,12440516952410,12440516952410,12440516955578,12440516956704,12440516992105,12440517129792
9901947094408,12440490350379,12440500939878,12440517146984,12440517260891,12440517324349,12440529680548,12440531414972,12440531421063,12440535974723,12440536714839,12440541342303,12440541355208,12440541355573,12440541422581,12440541611186,12440541611394,12440541611394,12440541611394,12440541611394,12440541613303,12440541614044,12440541645775,12440541738316
9901965601408,12440517156435,12440530840901,12440541744086,12440541831216,12440541891327,12440544247370,12440545683451,12440545686547,12440547674936,12440548362959,12440550761851,12440550771739,12440550772210,12440550803199,12440551014409,12440552055449,12440553697301,12440553935029,12440554268117,12440555145380,12440555527378,12440555556765,12440555656505
9901984107408,12440541752986,12440554936838,12440555662933,12440555681529,12440555738876,12440561206519,12440562688442,12440562692241,12440564860689,12440565346320,12440568053663,12440568067140,12440568067440,12440568114628,12440568250680,12440568814037,12440569510385,12440569647057,12440569844218,12440570261600,12440570473520,12440570504878,12440570592625
9902002614408,12440555668260,12440564089120,12440570595581,12440570705633,12440570735119,12440575506980,12440576410410,12440576412977,12440578141884,12440578669009,12440581225024,12440581235526,12440581235798,12440581269535,12440581386135,12440581959720,12440582687836,12440582870782,12440583039178,12440583382971,12440583501581,12440583536933,12440583653719
9902021121408,12440570600948,12440578959071,12440583656967,12440583754628,12440583785408,12440587294570,12440588386307,12440588389496,12440590220263,12440590723109,12440593390639,12440593401792,12440593402120,12440593440184,12440594137551,12440595081647,12440595950844,12440596105706,12440596445562,12440596869052,12440597126961,12440597294638,12440597387402
9902039629408,12440583661787,12440592025421,12440597393237,12440597479452,12440597512456,12440604472610,12440605921293,12440605924543,12440607999498,12440608637345,12440611240809,12440611252857,12440611253111,12440611288007,12440611536533,12440612021114,12440612587668,12440612717464,12440612916304,12440613306156,12440613581843,12440613613129,12440613698296
9902058135408,12440597397480,12440605785661,12440613702454,12440613788492,12440613819999,12440617196536,12440618631745,12440618636410,12440620490410,12440621227085,12440623849354,12440623859542,12440623859791,12440623894482,12440624104033,12440624614660,12440625107595,12440625226985,12440625429734,12440625836295,12440625990429,12440626007513,12440626050459
