#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
7465093169994,12625123314440,12625136213481,12625136232847,12625136334104,12625136336479,12625139670801,12625139671501,12625139672452,12625141883781,12625142676636,12625146928137,12625146952615,12625146953510,12625147051939,12625147391278,12625147391883,12625147391883,12625147391883,12625147391883,12625147395067,12625147396414,12625147471994,12625147564666
7465126453394,12625136249833,12625145484472,12625147589647,12625147611616,12625147752405,12625151554619,12625152910296,12625152915460,12625154581551,12625154990945,12625159153003,12625159167570,12625159168107,12625159222082,12625159411093,12625159411844,12625159411844,12625159411844,12625159411844,12625159414364,12625159415212,12625159430988,12625159539623
7465159742594,12625147603500,12625158965203,12625159550707,12625159657976,12625159736128,12625161322511,12625162989240,12625162992618,12625163904566,12625164291570,12625166887718,12625166896312,12625166896662,12625167030169,12625167210128,12625167210655,12625167210655,12625167210655,12625167210655,12625167212948,12625167213875,12625167226901,12625169640316
7465193037794,12625159561632,12625169638611,12625169644105,12625169732694,12625169789719,12625171189655,12625172333450,12625172336299,12625173016512,12625173283732,12625175550826,12625175558674,12625175558986,12625175599381,12625175774638,12625175774896,12625175774896,12625175774896,12625175774896,12625175777467,12625175778468,12625175796297,12625175887940
7465226321594,12625169647338,12625174986589,12625175891924,12625176025493,12625176077641,12625179788092,12625180959313,12625180961791,12625181517566,12625182103677,12625184273964,12625184280303,12625184280604,12625184315276,12625184506962,12625185279334,12625186668268,12625186881964,12625187088206,12625187736887,12625187964846,12625187978662,12625188059207
7465259611794,12625175896335,12625179865285,12625188066048,12625188082541,12625188156604,12625189125090,12625189950505,12625189952576,12625190565045,12625190876533,12625192893115,12625192899440,12625192899679,12625192970649,12625193230264,12625193582826,12625194093647,12625194224283,12625194303984,12625194626745,12625194802573,12625194815288,12625194924934
7465292898794,12625188070743,12625192116032,12625194928060,12625194943094,12625195023451,12625196794380,12625197681374,12625197683374,12625198227286,12625198516243,12625200279758,12625200285396,12625200285681,12625200337111,12625200577467,12625200926904,12625201465512,12625201576047,12625201635730,12625201855066,12625201976488,12625201989873,12625202094368
7465326188294,12625194933304,12625198420496,12625202096809,12625202192510,12625202229996,12625204045547,12625204894851,12625204896682,12625205458926,12625205737687,12625207279695,12625207285825,12625207286048,12625207337863,12625208046907,12625208400317,12625208910501,12625209027744,12625209208027,12625209455025,12625209600535,12625209637788,12625209752287
7465359478694,12625202101994,12625205508983,12625209757403,12625209855940,12625209980379,12625210961792,12625211743841,12625211745724,12625213388221,12625213671253,12625218089792,12625218103234,12625218103786,12625218116050,12625218248604,12625218586675,12625219117565,12625219233436,12625219418885,12625219655465,12625219757074,12625219763177,12625219875350
7465392767994,12625209761961,12625213292552,12625219881506,12625219957227,12625220051368,12625221235798,12625222090407,12625222093442,12625222958606,12625223217189,12625226170538,12625226179771,12625226180200,12625226238870,12625226365544,12625226737714,12625227264179,12625227399385,12625227531430,12625227755226,12625227820331,12625227828898,12625227845607
7465426056294,12625219885733,12625224062023,12625227851857,12625227862866,12625227944032,12625228754586,12625229433107,12625229436049,12625230207328,12625230365614,12625232615402,12625232622203,12625232622486,12625232700506,12625232849116,12625233287065,12625233907073,12625234034727,12625234176284,12625234397896,12625234499059,12625234508207,12625234622737
7465459346694,12625227859813,12625231901290,12625234625100,12625234704611,12625234746383,12625235933906,12625236541523,12625236543455,12625237140526,12625237296546,12625239154359,12625239159982,12625239160295,12625239209694,12625239337672,12625239672560,12625240233570,12625240373327,12625240491962,12625240705753,12625240792346,12625240801369,12625240815063
7465492636594,12625234629691,12625237994155,12625240817403,12625240826618,12625240927776,12625241500517,12625242167132,12625242168987,12625242609042,12625242816789,12625244420659,12625244426260,12625244426502,12625244516839,12625244681836,12625244947981,12625245497348,12625245602103,12625245713680,12625245925280,12625246037933,12625246047359,12625247373447
7465525926094,12625240819918,12625247370365,12625247377246,12625247538559,12625247575053,12625248258011,12625248914053,12625248916090,12625249381175,12625249541714,12625251182281,12625251188385,12625251188679,12625251237863,12625251334053,12625251654785,12625252177194,12625252272706,12625252425445,12625252621190,12625252689503,12625252696502,12625253548786
7465559214494,12625247382503,12625253546979,12625253551374,12625253633093,12625253671826,12625254241835,12625254886659,12625254888555,12625255374286,12625255504473,12625257120651,12625257126409,12625257126644,12625257176397,12625257720214,12625257977119,12625258462638,12625258556050,12625258684502,12625258887757,12625258975846,12625259081488,12625259097743
7465592503494,12625253555223,12625258141210,12625259113150,12625259128582,12625259207610,12625260145126,12625260960394,12625260962505,12625261926836,12625262249097,12625266069888,12625266087260,12625266087966,12625266200518,12625266427784,12625266831509,12625267456221,12625267590822,12625267789262,12625268065738,12625268176221,12625268187681,12625268200537
7465625799994,12625259121132,12625263840182,12625268204884,12625268213337,12625268319266,12625269059991,12625269855249,12625269858075,12625270567333,12625270932235,12625273478730,12625273491574,12625273492100,12625273575337,12625273788667,12625274224553,12625274860820,12625275004357,12625275220365,12625275528431,12625275700266,12625275714024,12625275727107
7465659082094,12625268210075,12625273107493,12625275735267,12625275744066,12625275811814,12625276407081,12625277148580,12625277151075,12625277688103,12625277859346,12625279861289,12625279867745,12625279868043,12625279970844,12625280203601,12625280694983,12625281416224,12625281613606,12625281874870,12625282260184,12625282459040,12625282470424,12625282484099
7465692371694,12625275740199,12625279978007,12625282489302,12625282497137,12625282560326,12625283142697,12625283820641,12625283822308,12625284335126,12625284562277,12625286158271,12625286163810,12625286164081,12625286246082,12625286461050,12625287063496,12625287874610,12625288087000,12625288379892,12625288775635,12625289017686,12625289030994,12625289044482
7465725667494,12625282494354,12625285581925,12625289050067,12625289058960,12625289109249,12625289642740,12625290334250,12625290335995,12625290756554,12625290905124,12625292546558,12625292552144,12625292552395,12625292684521,12625292903457,12625293364220,12625294234888,12625294464198,12625294792873,12625295153526,12625295380312,12625295392094,12625295405560
7465758950894,12625289055697,12625292106787,12625295410047,12625295417383,12625295496042,12625296054651,12625296703185,12625296705040,12625297249199,12625297419381,12625299036074,12625299041663,12625299041946,12625299189674,12625299405043,12625299699348,12625300699936,12625300930082,12625301263797,12625301670076,12625301919440,12625301932574,12625301946909
7465792239894,12625295414667,12625298474294,12625301952422,12625301963836,12625302037537,12625302752625,12625303489850,12625303491863,12625303965452,12625304127752,12625305753134,12625305758519,12625305758743,12625305905056,12625306758440,12625307350208,12625308402021,12625308677398,12625308968815,12625309409982,12625309642425,12625309797947,12625309808890
7465825536094,12625301958137,12625305021495,12625309915867,12625309920006,12625309958854,12625310544025,12625311396010,12625311397988,12625311833681,12625312098045,12625313745384,12625313751005,12625313751270,12625313876943,12625314131132,12625314713111,12625315725211,12625315957496,12625316233163,12625316606786,12625316869885,12625316882525,12625316896626
7465858822394,12625309918929,12625312942828,12625316901848,12625316910327,12625316983021,12625317988049,12625318729382,12625318731012,12625319219738,12625319396459,12625321020497,12625321026580,12625321026808,12625321104682,12625321326463,12625321856693,12625322590462,12625322748639,12625323018669,12625323360064,12625323545861,12625323560056,12625323573797
7465892129894,12625316906975,12625319935977,12625323578882,12625323587215,12625323656728,12625325408092,12625326210350,12625326212142,12625326640869,12625326839996,12625328463252,12625328469126,12625328469380,12625328614197,12625328827860,12625329197691,12625330516929,12625330808687,12625331175627,12625331589245,12625331874980,12625331887830,12625331903387
7465925404594,12625323583884,12625327399028,12625331909751,12625331920000,12625331981598,12625333026203,12625333874043,12625333876192,12625334413972,12625334583686,12625336216439,12625336222167,12625336222426,12625336300142,12625336524847,12625337040856,12625338312676,12625338564472,12625338965345,12625339421688,12625339693684,12625339707530,12625339720825
7465958686294,12625331916042,12625334969231,12625339725552,12625339734552,12625339799203,12625340513832,12625341165425,12625341167094,12625341584810,12625341752614,12625343388024,12625343393628,12625343393865,12625343523223,12625343750648,12625344330228,12625345534618,12625345790143,12625346221657,12625346662198,12625346927611,12625346939497,12625346953883
7465991989594,12625339730724,12625342748733,12625346958478,12625346968063,12625347041806,12625348733864,12625349430728,12625349432601,12625349930220,12625350088923,12625351784173,12625351789308,12625351789560,12625351883998,12625352093239,12625352742710,12625354039133,12625354289625,12625354614714,12625355032912,12625355311764,12625355324340,12625355340363
7466025264894,12625346963388,12625350007585,12625355346553,12625355361427,12625355431661,12625355956882,12625356825714,12625356827630,12625357274204,12625357532240,12625359163145,12625359168332,12625359168542,12625359258749,12625360105006,12625360589897,12625361387753,12625361572791,12625361852250,12625362212875,12625362458085,12625362604216,12625362615845
7466058554294,12625355353076,12625358431845,12625362627441,12625362637776,12625362697252,12625363418225,12625364189884,12625364191427,12625364623102,12625364811791,12625366443671,12625366448664,12625366448891,12625366524709,12625366749010,12625367244845,12625367974898,12625368152420,12625368370887,12625368735909,12625368993304,12625369016000,12625369029003
7466091845194,12625362633199,12625365664393,12625369034358,12625369044625,12625369097605,12625369867025,12625370715601,12625370717448,12625371191205,12625371395737,12625373036562,12625373041667,12625373041873,12625373178850,12625373424408,12625373861207,12625375075777,12625375336285,12625375670516,12625376097970,12625376321877,12625376336046,12625376349239
7466125134394,12625369039636,12625372052456,12625376354629,12625376365260,12625376430696,12625378129618,12625378945015,12625378946799,12625379389990,12625379629928,12625381204760,12625381210015,12625381210230,12625381342649,12625381562665,12625382184776,12625383742515,12625384037514,12625384526248,12625384999286,12625385326652,12625385343001,12625385361587
7466158422994,12625376360451,12625379773283,12625385368562,12625385382192,12625385439792,12625386125989,12625386956281,12625386958288,12625387510316,12625387761966,12625389403669,12625389409410,12625389409665,12625389518219,12625389626297,12625390033045,12625391044890,12625391235662,12625391514748,12625391787434,12625391947585,12625391954458,12625391966669
7466191713994,12625385375545,12625388423103,12625391978083,12625391988648,12625392052164,12625392537156,12625393290227,12625393292375,12625393807079,12625394039257,12625395652835,12625395658421,12625395658676,12625395745919,12625395848282,12625396305563,12625397397086,12625397587603,12625397795746,12625398094989,12625398285197,12625398291837,12625398303592
7466225003394,12625391982812,12625395024413,12625398308170,12625398317495,12625398382326,12625399302232,12625400099236,12625400100896,12625400578386,12625400774210,12625402374137,12625402379281,12625402379566,12625402461322,12625402593278,12625403101119,12625404147635,12625404348067,12625404642076,12625404945982,12625405129137,12625405136274,12625405150218
7466258291294,12625398312661,12625401321878,12625405154993,12625405165107,12625405224350,12625406032951,12625406739993,12625406741880,12625407240624,12625407485885,12625409049819,12625409056171,12625409056425,12625409136554,12625409734892,12625410198607,12625411304274,12625411514318,12625411844296,12625412163757,12625412372389,12625412494295,12625412506104
