#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
9901891573408,18012054820647,18012082246944,18012082261523,18012082360761,18012082363474,18012091335883,18012091336363,18012091336988,18012097665774,18012098865174,18012105765442,18012105796752,18012105797162,18012105867933,18012106402401,18012106403171,18012106403171,18012106403171,18012106403171,18012106404395,18012106405350,18012106454721,18012106544139
9901910079408,18012082274207,18012091908307,18012106552734,18012106628823,18012106686056,18012111745853,18012112959937,18012112963656,18012115655155,18012116335617,18012119196727,18012119209156,18012119209502,18012119243494,18012119361246,18012119361754,18012119361754,18012119361754,18012119361754,18012119362631,18012119363768,18012119392657,18012119415705
9901928586408,18012106559244,18012119412870,18012119421751,18012119519277,18012119552665,18012129823459,18012131262385,18012131266671,18012134234250,18012134987641,18012138357598,18012138369155,18012138369462,18012138429247,18012138548471,18012138548803,18012138548803,18012138548803,18012138548803,18012138549833,18012138550450,18012138565750,18012138699251
9901947094408,18012119424645,18012130296922,18012138712135,18012138881868,18012138940342,18012148924467,18012150591018,18012150596482,18012153771934,18012154412786,18012158059142,18012158070260,18012158070586,18012158106386,18012158231421,18012158231747,18012158231747,18012158231747,18012158231747,18012158232527,18012158232674,18012158245165,18012158355205
9901965601408,18012138725181,18012148716088,18012158359637,18012158472418,18012158504083,18012165725061,18012167253565,18012167257606,18012169949151,18012170763852,18012173714387,18012173725781,18012173725911,18012173809340,18012173918198,18012175037361,18012176513338,18012176815158,18012177225858,18012178180002,18012178618569,18012178647758,18012178665985
9901984107408,18012158364573,18012167806658,18012178681320,18012178766597,18012178796023,18012184843419,18012186187473,18012186191422,18012188722816,18012189285684,18012192335429,18012192349678,18012192349764,18012192380951,18012192501631,18012192997388,18012193656751,18012193786007,18012193947538,18012194224919,18012194426451,18012194455883,18012194543041
9902002614408,18012178689361,18012187545789,18012194546438,18012194621361,18012194649949,18012201699755,18012203064725,18012203068195,18012205673014,18012206266754,18012209217630,18012209228867,18012209228967,18012209264009,18012209386962,18012209949127,18012210673169,18012210814011,18012210968208,18012211311103,18012211472094,18012211500832,18012211592625
9902021121408,18012194551159,18012202918293,18012211595684,18012211697157,18012211725291,18012219129143,18012220768177,18012220772407,18012223182292,18012223908865,18012226658961,18012226669208,18012226669319,18012226703050,18012227098854,18012227849334,18012228587360,18012228741459,18012229002533,18012229406938,18012229636429,18012229681250,18012229758092
9902039629408,18012211600099,18012220212848,18012229761336,18012229860848,18012229902860,18012232994806,18012234359575,18012234363200,18012236246897,18012236873092,18012239383848,18012239394586,18012239394683,18012239427828,18012239532705,18012240126019,18012240927477,18012241080992,18012241528111,18012241994378,18012242293714,18012242322112,18012242430406
9902058135408,18012229765260,18012238338912,18012242437919,18012242531351,18012242559601,18012246019452,18012247233644,18012247235885,18012248998925,18012249637332,18012252265068,18012252274329,18012252274418,18012252303313,18012252426165,18012253240700,18012253831722,18012253968567,18012254353098,18012254836229,18012254997602,18012255018264,18012255024337
9902076642408,18012242441364,18012252837782,18012255027195,18012255059242,18012255088278,18012261517161,18012262686962,18012262690502,18012264674293,18012265263128,18012267765196,18012267776093,18012267776400,18012267806418,18012267954615,18012268783618,18012269590312,18012269720375,18012270030177,18012270460070,18012270720757,18012270753951,18012270763054
9902095151408,18012255029398,18012263369613,18012270765101,18012270826276,18012270854606,18012274261683,18012275373682,18012275376447,18012277213862,18012277764519,18012280394833,18012280408254,18012280408564,18012280447203,18012280564498,18012281264248,18012282910710,18012283113295,18012283423630,18012283851858,18012284104655,18012284145911,18012284153336
9902113658408,18012270768028,18012279021176,18012284155544,18012284169366,18012284228760,18012296049908,18012297206721,18012297211220,18012299980052,18012300580487,18012304094657,18012304106337,18012304106633,18012304139508,18012304238071,18012305314403,18012306808749,18012307027958,18012307708989,18012308115160,18012308405710,18012308439709,18012308448551
9902132163408,18012284158167,18012292523844,18012308452213,18012308462212,18012308493504,18012312302155,18012313513548,18012313516666,18012318534665,18012319544362,18012325327961,18012325344383,18012325344767,18012325391222,18012325540803,18012326538459,18012327690435,18012327926759,18012328455243,18012328907462,18012329187877,18012329223195,18012329232827
