#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
7465093169994,17939344742731,17939359074586,17939359098538,17939359204441,17939359207279,17939362115674,17939362116082,17939362116532,17939364277750,17939364988748,17939369837753,17939369870480,17939369870941,17939370025449,17939370574634,17939370575399,17939370575399,17939370575399,17939370575399,17939370577194,17939370578295,17939370635252,17939370751124
7465126453394,17939359116119,17939368626461,17939370763260,17939370860884,17939371058793,17939373423288,17939375162714,17939375168129,17939376860171,17939377426931,17939382035963,17939382052679,17939382052894,17939382178836,17939382344348,17939382344577,17939382344577,17939382344577,17939382344577,17939382345561,17939382346327,17939382359217,17939382465622
7465159742594,17939370774254,17939381605668,17939382474213,17939382564397,17939382673208,17939384770757,17939386266616,17939386271037,17939387515132,17939387983492,17939391958427,17939391973703,17939391973929,17939392097650,17939392291072,17939392291328,17939392291328,17939392291328,17939392291328,17939392292225,17939392292844,17939392306245,17939392391049
7465193037794,17939382481300,17939390920184,17939392398060,17939392473716,17939392560656,17939394553262,17939395785532,17939395789584,17939396817333,17939397276776,17939401171156,17939401186749,17939401186984,17939401261960,17939401407605,17939401407855,17939401407855,17939401407855,17939401407855,17939401408791,17939401409083,17939401419461,17939401516862
7465226321594,17939392404146,17939400435767,17939401522781,17939401628934,17939401716550,17939405439240,17939406833939,17939406838090,17939407862911,17939408254539,17939412540774,17939412555006,17939412555237,17939412659701,17939412809383,17939413627199,17939415247988,17939415435116,17939415615903,17939416168935,17939416373793,17939416380932,17939416392571
7465259611794,17939401529690,17939409967840,17939416403522,17939416413796,17939416509575,17939418403030,17939419500647,17939419505106,17939420659060,17939421032861,17939425078399,17939425093956,17939425094222,17939425205055,17939425348933,17939425826693,17939426521919,17939426679710,17939426801850,17939427067336,17939427187877,17939427195106,17939427283408
7465292898794,17939416408531,17939423690923,17939427288315,17939427375966,17939427460682,17939429640510,17939430880243,17939430884825,17939432055484,17939432369033,17939436433837,17939436446699,17939436446912,17939436553504,17939436683669,17939437087417,17939437736046,17939437870368,17939437990790,17939438229289,17939438337555,17939438344217,17939438420289
7465326188294,17939427294008,17939434540186,17939438425369,17939438521120,17939438606679,17939439393719,17939440436741,17939440440594,17939441691159,17939441955077,17939443814890,17939443821465,17939443821563,17939443949573,17939444379705,17939444824838,17939445495283,17939445628970,17939445831544,17939446063183,17939446174353,17939446189627,17939446316773
7465359478694,17939438431823,17939443793457,17939446318980,17939446420781,17939446457933,17939448176438,17939449271763,17939449273504,17939449801056,17939450175043,17939452580408,17939452587868,17939452587969,17939452676899,17939452816265,17939453233416,17939453928388,17939454094203,17939454259679,17939454509036,17939454633417,17939454640538,17939454729885
7465392767994,17939446322138,17939449758194,17939454733835,17939454808190,17939454846780,17939455511700,17939456412881,17939456415102,17939456902028,17939457094165,17939458828768,17939458834293,17939458834372,17939458919379,17939459101095,17939459506029,17939460150156,17939460303912,17939460468455,17939460710166,17939460797822,17939460805206,17939460819317
