#t_ns,in_ts
7671619631815,60688564791841
7671652899215,60688572555690
7671686193715,60688577141343
7671719494615,60688598091269
7671752766215,60688606150549
7671786055115,60688610871783
7671819346015,60688632329268
7671852635315,60688640318899
7671885924015,60688645153463
7671919213615,60688649624215
7671952504315,60688676084751
7671985791615,60688683994939
7672019082515,60688689210471
7672052370415,60688694406887
7672085717815,60688723386141
7672118952315,60688731718187
7672152238415,60688737571376
7672185529115,60688773743745
7672218826115,60688780907806
7672252119915,60688809909532
7672285397215,60688818196098
7672318692515,60688850098102
7672351975515,60688856849652
7672385265715,60688861939253
7672418592115,60688924041177
7672451844315,60688931223745
7672485134015,60688936599193
7672518422015,60688942066769
7672551712215,60688989006094
7672585002615,60688997513543
7672618289915,60689004339192
7672651580115,60689048273629
7672684870015,60689056624408
7672718158315,60689093825701
7672751448615,60689101629082
7672784736915,60689109018907
7672818027515,60689142452439
7672851321015,60689149641492
7672884605215,60689186237538
7672917895515,60689194234065
7672951211815,60689232904271
7672984473615,60689269218295
7673017763615,60689277752624
7673051070315,60689317759240
7673084341115,60689355933254
7673117631515,60689363647674
7673150958915,60689396409325
7673184210515,60689423398579
7673217499915,60689430433117
7673250788415,60689459621843
7673284078915,60689490340180
7673317367115,60689497702770
7673350656415,60689530786349
7673383950615,60689538270461
7673417269415,60689573850324
7673450524415,60689580788831
7673483814615,60689616777170
7673517104415,60689625321943
7673550396615,60689666541820
7673583685615,60689674965659
7673616971815,60689681497297
7673650262715,60689719139554
7673683555915,60689727102242
7673716839315,60689772873818
7673750130015,60689807488057
7673783425015,60689815859948
7673816707815,60689856011505
7673849998015,60689894928083
7673883294215,60689902765793
7673916576715,60689943107444
7673949866515,60689974454546
7673983154815,60689981622875
7674016445515,60690018885624
7674049733215,60690050145132
7674083022715,60690060445969
7674116313515,60690093984724
7674149619715,60690132098448
7674182890715,60690139221848
7674216181115,60690174473531
7674249472015,60690181457292
7674282759015,60690215333109
7674316052015,60690222299927
7674349337615,60690257074925
7674382650115,60690265374264
7674415922015,60690303173840
7674449206215,60690311544875
7674482496615,60690318525207
7674515792215,60690324024282
7674549074215,60690329763787
7674582364615,60690335750172
7674615662015,60690341594851
7674648942215,60690381370251
7674682232715,60690387808598
7674715521515,60690423677458
7674748810815,60690430988031
7674782099715,60690475852910
7674815389615,60690483568017
7674848679815,60690524361020
7674881969915,60690532170245
7674915257415,60690538567420
7674948547415,60690544603672
7674981838015,60690581838931
7675015125715,60690589365015
7675048417915,60690595663855
7675081704315,60690631590448
7675114994815,60690639804545
7675148289515,60690675284536
7675181572415,60690683162469
7675214863215,60690718993568
7675248157815,60690727163839
7675281444415,60690762539362
7675314730615,60690770574941
7675348027515,60690803212863
7675381308615,60690811165136
7675414599515,60690847761665
7675447888715,60690855623932
7675481177815,60690891334889
7675514467915,60690924411137
7675547755815,60690932049034
7675581046215,60690966505229
7675614334515,60691002592108
7675647623915,60691009950174
7675680914315,60691043425147
7675714237515,60691074135716
7675747491815,60691081454629
7675780784515,60691114602971
7675814072015,60691141157929
7675847361115,60691148099789
7675880656715,60691170716402
7675913939015,60691193673867
7675947234415,60691200746829
7675980522715,60691223707148
7676013806615,60691247799248
7676047097315,60691254945421
7676080394215,60691281781002
7676113675015,60691313424127
7676146965515,60691321017402
7676180256215,60691355583431
7676213544815,60691387893546
7676246833715,60691395731315
7676280122115,60691429202150
7676313412815,60691462685305
7676346701015,60691470249138
7676379989915,60691501769797
7676413280515,60691533122117
7676446569715,60691540602636
7676479858115,60691574568104
7676513151015,60691603663394
7676546438315,60691611134577
7676579732015,60691642207901
7676613022915,60691674798861
7676646305315,60691682603407
7676679595315,60691715100793
7676712889315,60691748877167
7676746173315,60691756618272
7676779463815,60691789825189
7676812759915,60691821237739
7676846041415,60691829078939
7676879331515,60691860935909
7676912622115,60691867992344
7676945909815,60691901859946
7676979199915,60691909123280
7677012488315,60691938617066
7677045804515,60691945804464
7677079067515,60691982227367
7677112356415,60691989614401
7677145647115,60692022663143
7677178939815,60692029938523
7677212224715,60692061956471
7677245517115,60692069035043
7677278805715,60692102747851
7677312092815,60692109886572
7677345388615,60692138202606
7677378671815,60692145285854
7677411961815,60692177919007
7677445256915,60692208069021
7677478540115,60692215444336
7677511830315,60692246876131
7677545127715,60692283555353
7677578408115,60692290873152
7677611697715,60692326470359
7677644988715,60692333789022
7677678276115,60692367891456
7677711566415,60692374914283
7677744855915,60692411479883
7677778144815,60692418666585
7677811434815,60692455105750
7677844722515,60692462448109
7677878013815,60692498374775
7677911316515,60692505670770
7677944591315,60692541624031
7677977883515,60692549104444
7678011178215,60692555493909
7678044459415,60692589313751
7678077755015,60692597053725
7678111039415,60692603348788
7678144328515,60692631167688
7678177623315,60692639387823
7678210905715,60692646010093
7678244196715,60692679352694
7678277490815,60692687027044
7678310774615,60692722870792
7678344064415,60692730103023
7678377409915,60692736610975
7678410643715,60692765140139
7678443932615,60692772860556
7678477222115,60692779276006
7678510511615,60692785072956
7678543801015,60692790804336
7678577089315,60692834150712
7678610381015,60692841680427
7678643668315,60692848305622
7678676958015,60692854360711
7678710249315,60692887841173
7678743536815,60692895391201
7678776825315,60692901776225
7678810121715,60692933356910
7678843405515,60692940921986
7678876695315,60692946952676
7678909990015,60692952418692
7678943272315,60692957739074
7678976563415,60692962923755
7679009857215,60692991258910
7679043140715,60692998714017
7679076444815,60693004765498
7679109720615,60693010112575
7679143008815,60693015742479
7679176298715,60693050280397
7679209594215,60693057602358
7679242899315,60693063688363
7679276167515,60693069291633
7679309455815,60693074924371
7679342757815,60693080390076
7679376034415,60693085768156
7679409324015,60693132010709
7679442615715,60693139093659
7679475903815,60693144876644
7679509191915,60693184447194
7679542488615,60693191973702
7679575772515,60693198056074
7679609060215,60693204130772
7679642356015,60693210008586
7679675638715,60693215861875
7679708986815,60693250317949
7679742224215,60693258120403
7679775507215,60693264346752
7679808797415,60693302549130
7679842101815,60693310213037
7679875375315,60693316051673
7679908665615,60693322110830
7679941955215,60693327411310
7679975243415,60693332625207
7680008533315,60693337677125
7680041823615,60693342619295
7680075112415,60693347673727
7680108402515,60693352601905
7680141690215,60693358545790
7680174982215,60693363673946
7680208270515,60693398557760
7680241558515,60693406006005
7680274854115,60693412371006
7680308138915,60693418054589
7680341426315,60693423741215
7680374722815,60693459499041
7680408008815,60693466508069
7680441295215,60693472534839
7680474591315,60693478165029
7680507873415,60693510281991
7680541163715,60693517545986
7680574480815,60693523660302
7680607741815,60693559452281
7680641031815,60693566676201
7680674340715,60693605773848
7680707609615,60693643710783
7680740899615,60693651512590
7680774189715,60693689621101
7680807478115,60693728310492
7680840767915,60693736998221
7680874056715,60693774983404
7680907348715,60693782482115
7680940635715,60693818411853
7680973941315,60693825732441
7681007220815,60693861837519
7681040537615,60693868798429
7681073792415,60693901572026
7681107089315,60693908727641
7681140372715,60693914515633
7681173663315,60693920147617
7681206958115,60693926713896
7681240239515,60693962901124
7681273531515,60693969916892
7681306818315,60693975643584
7681340107915,60693981164859
7681373398415,60694018556810
7681406687715,60694025452750
7681439976015,60694031150148
7681473265915,60694036729414
7681506556115,60694072625921
7681539844815,60694079786970
7681573134715,60694085062121
7681606423015,60694090458120
7681639715115,60694095760835
7681673001715,60694132568258
7681706290915,60694139205367
7681739590815,60694144255129
7681772871815,60694149503147
7681806158915,60694154848191
7681839455715,60694191101692
7681872740015,60694198543127
7681906027015,60694204574083
7681939324015,60694240836570
7681972615815,60694247934967
7682005925715,60694253568144
7682039184715,60694258802987
7682072474315,60694264312677
7682105764715,60694269293096
7682139054215,60694274198396
7682172342515,60694305786197
7682205632415,60694312681958
7682238923615,60694318421924
7682272210515,60694323708992
7682305500715,60694354484975
7682338789615,60694361642123
7682372080315,60694367450764
7682405369015,60694372947549
7682438657415,60694378255697
7682471954215,60694412476776
7682505240915,60694419433166
7682538525615,60694451525130
7682571821515,60694458718808
7682605106115,60694464591184
7682638393715,60694469706293
