#t_ns,in_ts
7465159742594,10867544953473
7465193037794,10867554774798
7465226321594,10867565370028
7465259611794,10867577361172
7465292898794,10867592738109
7465326188294,10867612040987
7465359478694,10867660009848
7465392767994,10867694917514
7465426056294,10867727893964
7465459346694,10867764623560
7465492636594,10867807786902
7465525926094,10867855373813
7465559214494,10867895280323
7465592503494,10867923102518
7465625799994,10867954795642
7465659082094,10867980147216
7465692371694,10868007418741
7465725667494,10868033474110
7465758950894,10868061366112
7465792239894,10868085963387
7465825536094,10868115109943
7465858822394,10868140841989
7465892129894,10868170759449
7465925404594,10868211468044
7465958686294,10868236698323
7465991989594,10868264720785
7466025264894,10868293695126
7466058554294,10868318770379
7466091845194,10868342851947
7466125134394,10868374127667
7466158422994,10868400586659
7466191713994,10868424080770
7466225003394,10868452778483
7466258291294,10868483817242
7466291581494,10868511962124
7466324869494,10868538496064
7466358195394,10868565995339
7466391448094,10868591428474
7466424737994,10868618029114
7466458034094,10868643542662
7466491318694,10868664612162
7466524605794,10868682911854
7466557902394,10868709649539
7466591185594,10868743295440
7466624474194,10868773480787
7466657770694,10868799846558
7466691054094,10868833939152
7466724343894,10868858467369
7466757633294,10868885153037
7466790921094,10868907888271
7466824211194,10868934878959
7466857501194,10868966392652
7466890789594,10868997770897
7466924079694,10869029293424
7466957369294,10869068770143
7466990657294,10869094167334
7467023947494,10869131202330
7467057237294,10869170059589
7467090530894,10869204219386
7467123815894,10869244012098
7467157104094,10869284483203
7467190400694,10869325690199
7467223705794,10869369386551
7467256971994,10869406611682
7467290268294,10869450796487
7467323577194,10869482723833
7467356840694,10869516942819
7467390137194,10869569658094
7467423431594,10869619144802
7467456709994,10869668822055
7467489999494,10869721120749
7467523287594,10869761091058
7467556578294,10869796291520
7467589866294,10869832779239
7467623155794,10869874160590
7467656445894,10869903031482
7467689735094,10869942972210
7467723023194,10869975853325
7467756314194,10870007309326
7467789603994,10870044505191
7467822899794,10870083699546
7467856199994,10870128316615
7467889470894,10870173133545
7467922768194,10870218689583
7467956049894,10870262439589
7467989338794,10870297105862
7468022634994,10870346778413
7468055918494,10870393691908
7468089206994,10870451442533
7468122503794,10870504901175
7468155786794,10870552843735
7468189076194,10870607844611
7468222365494,10870652299446
7468255653694,10870692237785
7468288944194,10870743402346
7468322232594,10870800762404
7468355521594,10870847026451
7468388812394,10870895341089
7468422102794,10870935362794
7468455390194,10870974860254
7468488680894,10871032298890
7468521971194,10871073896578
7468555287194,10871107663486
7468588548294,10871159126369
7468621836894,10871210462468
7468655154194,10871266742373
7468688416094,10871349063140
7468721705794,10871408851144
7468755001294,10871460793308
7468788284494,10871499684340
7468821573094,10871553632369
7468854871494,10871608594428
7468888154394,10871657609972
7468921441294,10871696689704
7468954732294,10871733383847
7468988020194,10871783361255
7469021310294,10871833902257
7469054599194,10871871927155
7469087888494,10871911152605
7469121178694,10871945450206
7469154469294,10872001875130
7469187756594,10872053395427
7469221046894,10872109266349
7469254337494,10872166945185
7469287628494,10872223761557
7469320915094,10872278798461
7469354203194,10872317535374
7469387502394,10872370394422
7469420783694,10872425229907
7469454071994,10872462488473
7469487367794,10872517026071
7469520653194,10872570119339
7469553939694,10872604439879
7469587236294,10872643619563
7469620519794,10872689059126
7469653807894,10872739394980
7469687098394,10872792434815
7469720403594,10872842386939
7469753676794,10872888983761
7469786966494,10872923833176
7469820255194,10872974083484
7469853545394,10873013367067
7469886833494,10873052615884
7469920122994,10873099364701
7469953413294,10873147804455
7469986737294,10873179079582
7470019993894,10873245858007
7470053281394,10873290819658
7470086571094,10873328925606
7470119866994,10873373286078
7470153150094,10873407575934
7470186438294,10873444895149
7470219735494,10873479510833
7470253016694,10873526054751
7470286306294,10873564738158
7470319602794,10873602811005
7470352887394,10873652009915
