#t_ns,in_ts
7669888561715,1882218787153
7669921856015,1882222502940
7669955139515,1882227347914
7669988430115,1882235090303
7670021726915,1882242016392
7670055008015,1882255192496
7670088298215,1882266634316
7670121622415,1882280334418
7670154876515,1882293536250
7670188166415,1882308922445
7670221460715,1882323616540
7670254745415,1882338237284
7670288047815,1882353362900
7670321322715,1882367752154
7670354628015,1882381492048
7670387903615,1882398427455
7670421190915,1882414316977
7670454481015,1882431249494
7670487771015,1882448276861
7670521060215,1882464531162
7670554349315,1882480649044
7670587637915,1882502084170
7670620928215,1882517659735
7670654220015,1882534186745
7670687506015,1882549748645
7670720796515,1882566209822
7670754141715,1882580032510
7670787374215,1882592187618
7670820664715,1882601897198
7670853960315,1882614049066
7670887243115,1882625254662
7670920532215,1882632120473
7670953827315,1882641384722
7670987112615,1882652206954
7671020399815,1882663128837
7671053689215,1882673704797
7671086979515,1882684806295
7671120274415,1882696467531
7671153557315,1882710772624
7671186847315,1882726850366
7671220137315,1882742469576
7671253426915,1882760499040
7671286714915,1882780733631
7671320004315,1882801829978
7671353295315,1882823082630
7671386585715,1882846823685
7671419872315,1882873854218
7671453162315,1882902322796
7671486460915,1882930595875
7671519740215,1882958831853
7671553030915,1882987044502
7671586333215,1883018495354
7671619631815,1883047746229
7671652899215,1883083071013
7671686193715,1883118845172
7671719494615,1883149611483
7671752766215,1883184508318
7671786055115,1883220306962
7671819346015,1883245581565
7671852635315,1883277043190
7671885924015,1883313927468
7671919213615,1883347207016
7671952504315,1883385757449
7671985791615,1883413226687
7672019082515,1883447375456
7672052370415,1883479721900
7672085717815,1883507762555
7672118952315,1883533741918
7672152238415,1883559786044
7672185529115,1883584126174
7672218826115,1883610672672
7672252119915,1883640974421
7672285397215,1883669867276
7672318692515,1883699010349
7672351975515,1883725489155
7672385265715,1883752302745
7672418592115,1883778480335
7672451844315,1883808350169
7672485134015,1883837711583
7672518422015,1883871516912
7672551712215,1883901425125
7672585002615,1883931947148
7672618289915,1883956792355
7672651580115,1883983349821
7672684870015,1884009286918
7672718158315,1884034806108
7672751448615,1884064031265
7672784736915,1884094351608
7672818027515,1884126563227
7672851321015,1884157054582
7672884605215,1884185307736
7672917895515,1884206589470
7672951211815,1884228526068
7672984473615,1884254329129
7673017763615,1884275197393
7673051070315,1884295666762
7673084341115,1884318617782
7673117631515,1884340634567
7673150958915,1884361945979
7673184210515,1884377993654
7673217499915,1884391470207
7673250788415,1884409789308
7673284078915,1884425463798
7673317367115,1884441651455
7673350656415,1884456111403
7673383950615,1884470821337
7673417269415,1884487209064
7673450524415,1884505486978
7673483814615,1884524849307
7673517104415,1884541914277
7673550396615,1884557514817
7673583685615,1884573114302
7673616971815,1884592408020
7673650262715,1884611998278
7673683555915,1884631999734
7673716839315,1884646556061
7673750130015,1884665066814
7673783425015,1884680462384
7673816707815,1884696945615
7673849998015,1884712946878
7673883294215,1884728602493
7673916576715,1884749297969
7673949866515,1884767409725
7673983154815,1884784045149
7674016445515,1884799643665
7674049733215,1884815975760
7674083022715,1884833559949
7674116313515,1884851089784
7674149619715,1884868386962
7674182890715,1884884857153
7674216181115,1884901820896
7674249472015,1884925889156
7674282759015,1884944529647
7674316052015,1884968209706
7674349337615,1884987465244
7674382650115,1885006255910
7674415922015,1885020406076
7674449206215,1885042494390
7674482496615,1885061707734
7674515792215,1885076520861
7674549074215,1885096401959
7674582364615,1885111347179
7674615662015,1885126036600
7674648942215,1885140005478
7674682232715,1885155137663
7674715521515,1885170699952
7674748810815,1885183154417
7674782099715,1885201151368
7674815389615,1885215794176
7674848679815,1885233844463
7674881969915,1885251724129
7674915257415,1885264748725
7674948547415,1885282832009
7674981838015,1885297987084
7675015125715,1885315532884
7675048417915,1885331935360
7675081704315,1885350766901
7675114994815,1885369617661
7675148289515,1885384532532
7675181572415,1885405033794
7675214863215,1885424557137
7675248157815,1885444180367
7675281444415,1885463994735
7675314730615,1885484910562
7675348027515,1885504240539
7675381308615,1885515808621
7675414599515,1885536496260
7675447888715,1885555306449
7675481177815,1885574166527
7675514467915,1885592265303
7675547755815,1885609363242
7675581046215,1885627029175
7675614334515,1885643648650
7675647623915,1885660253466
7675680914315,1885673150461
7675714237515,1885690778654
7675747491815,1885708985902
7675780784515,1885724795126
7675814072015,1885742819890
7675847361115,1885758347200
7675880656715,1885771830959
7675913939015,1885790879225
7675947234415,1885808565217
7675980522715,1885825246556
7676013806615,1885844225138
7676047097315,1885861521615
7676080394215,1885878188544
7676113675015,1885898424136
7676146965515,1885920008903
7676180256215,1885942901810
7676213544815,1885959209112
7676246833715,1885976542302
7676280122115,1885997252130
7676313412815,1886017818789
7676346701015,1886034624129
7676379989915,1886049806256
7676413280515,1886066252791
7676446569715,1886080642376
7676479858115,1886094928159
7676513151015,1886110174065
7676546438315,1886126497774
7676579732015,1886140744718
7676613022915,1886158258351
7676646305315,1886172906677
7676679595315,1886190500927
7676712889315,1886203790667
7676746173315,1886216385544
7676779463815,1886229271315
7676812759915,1886242174355
7676846041415,1886255226123
7676879331515,1886268585166
7676912622115,1886280885790
7676945909815,1886293302107
7676979199915,1886311051886
7677012488315,1886326729429
7677045804515,1886345784518
7677079067515,1886362548269
7677112356415,1886375615084
7677145647115,1886392655946
7677178939815,1886412118804
7677212224715,1886429369836
7677245517115,1886443267046
7677278805715,1886456485803
7677312092815,1886470288087
7677345388615,1886484344705
7677378671815,1886502944658
7677411961815,1886513943328
7677445256915,1886529299149
7677478540115,1886544723696
7677511830315,1886560778653
7677545127715,1886577633522
7677578408115,1886594336460
7677611697715,1886619278193
7677644988715,1886641631482
7677678276115,1886665302177
7677711566415,1886683544953
7677744855915,1886706095146
7677778144815,1886727677054
7677811434815,1886744701966
7677844722515,1886765673494
7677878013815,1886789717923
7677911316515,1886815331951
7677944591315,1886833429882
7677977883515,1886847672761
7678011178215,1886869525861
7678044459415,1886888687892
7678077755015,1886910018070
7678111039415,1886924668345
7678144328515,1886943475916
7678177623315,1886960666756
7678210905715,1886978741355
7678244196715,1886995659996
7678277490815,1887011507422
7678310774615,1887024635253
7678344064415,1887038838999
7678377409915,1887062528812
7678410643715,1887081253170
7678443932615,1887105224364
7678477222115,1887121945813
7678510511615,1887141514853
7678543801015,1887161444260
7678577089315,1887180733273
7678610381015,1887196433725
7678643668315,1887221903742
7678676958015,1887245917302
7678710249315,1887266952262
7678743536815,1887287816609
7678776825315,1887309054133
7678810121715,1887330314967
7678843405515,1887349432169
7678876695315,1887373362778
7678909990015,1887395766393
7678943272315,1887419212597
7678976563415,1887440254351
7679009857215,1887460317617
7679043140715,1887481262133
7679076444815,1887502609929
7679109720615,1887526490316
7679143008815,1887547058587
7679176298715,1887566577895
7679209594215,1887586061042
7679242899315,1887606385395
7679276167515,1887630014662
7679309455815,1887649577427
7679342757815,1887671260155
7679376034415,1887691501555
7679409324015,1887711425333
7679442615715,1887732752786
7679475903815,1887754059490
7679509191915,1887775020128
7679542488615,1887795160743
7679575772515,1887814607147
7679609060215,1887834088770
7679642356015,1887853600581
7679675638715,1887873485035
7679708986815,1887892249029
7679742224215,1887911978896
7679775507215,1887931138534
7679808797415,1887950085319
7679842101815,1887969551313
7679875375315,1887989792869
7679908665615,1888009098833
7679941955215,1888028420785
7679975243415,1888048571233
7680008533315,1888074188345
7680041823615,1888094053881
7680075112415,1888115244698
7680108402515,1888135253763
7680141690215,1888155220414
7680174982215,1888174835603
7680208270515,1888195085585
7680241558515,1888214253914
7680274854115,1888235554764
7680308138915,1888255412055
7680341426315,1888274899131
7680374722815,1888300878505
7680408008815,1888324258632
7680441295215,1888346371627
7680474591315,1888371327818
7680507873415,1888392708275
7680541163715,1888413578494
7680574480815,1888433101875
7680607741815,1888453455174
7680641031815,1888474278671
7680674340715,1888492727944
7680707609615,1888510343228
7680740899615,1888529173492
7680774189715,1888548050808
7680807478115,1888565487007
7680840767915,1888576921305
7680874056715,1888594412404
7680907348715,1888613520383
7680940635715,1888630505960
7680973941315,1888649590374
7681007220815,1888672428545
7681040537615,1888696799346
7681073792415,1888722168679
7681107089315,1888749704998
7681140372715,1888776652574
7681173663315,1888796845915
7681206958115,1888817747185
7681240239515,1888839020164
7681273531515,1888859926675
7681306818315,1888879438280
7681340107915,1888899160431
7681373398415,1888918713065
7681406687715,1888938844829
7681439976015,1888962169785
7681473265915,1888984731309
7681506556115,1889010234673
7681539844815,1889033853362
7681573134715,1889059740630
7681606423015,1889079233666
7681639715115,1889098341848
7681673001715,1889115121781
7681706290915,1889132369356
7681739590815,1889152548280
7681772871815,1889176629307
7681806158915,1889204082509
7681839455715,1889227434692
7681872740015,1889239990413
7681906027015,1889258849857
7681939324015,1889277094679
7681972615815,1889296208032
7682005925715,1889317943107
7682039184715,1889345907691
7682072474315,1889360050113
7682105764715,1889382753203
7682139054215,1889410721583
7682172342515,1889429939491
7682205632415,1889448339994
7682238923615,1889465927188
7682272210515,1889485917703
7682305500715,1889506338024
7682338789615,1889525739507
7682372080315,1889550643793
7682405369015,1889578218474
7682438657415,1889605119088
7682471954215,1889629276199
7682505240915,1889654396200
7682538525615,1889672936509
7682571821515,1889695447425
7682605106115,1889717118873
7682638393715,1889730486921
7682671690315,1889752802885
7682704980715,1889772845803
7682738263015,1889788856972
7682771552515,1889807149420
7682804840715,1889828834379
7682838131115,1889849079147
7682871420115,1889870290079
7682904708915,1889890402751
7682937998915,1889914121102
7682971288515,1889936832032
7683004577515,1889958926372
7683037867115,1889980198552
7683071157215,1890004151662
7683104447515,1890031493283
7683137735415,1890060134832
7683171023815,1890078414303
7683204320515,1890104132003
7683237603015,1890126793723
7683270892315,1890146635285
7683304188215,1890168643595
7683337508815,1890189676018
7683370759915,1890208038584
7683404056715,1890232322412
7683437340315,1890254854242
7683470629415,1890276099687
7683503918715,1890299698843
7683537206815,1890325658100
7683570498315,1890349656078
7683603785515,1890373394088
7683637075415,1890401600556
7683670365715,1890426739460
7683703656415,1890446589310
7683736943515,1890473149549
7683770234015,1890492406736
7683803524115,1890512668197
7683836816715,1890531849454
7683870102015,1890551769549
7683903390215,1890573605511
7683936688515,1890594925902
7683969969115,1890622493480
7684003258115,1890652853955
7684036554615,1890681214656
7684069838415,1890708276162
7684103126315,1890738513794
7684136423315,1890763033778
7684169707115,1890786487931
7684203003715,1890809380183
7684236284915,1890831916274
7684269573715,1890853954631
7684302863415,1890877532785
7684336152515,1890902591999
7684369441315,1890929950817
7684402732115,1890960785083
7684436023115,1890991375369
7684469309515,1891015981228
7684502600215,1891038889665
7684535890515,1891066552118
7684569178515,1891089014718
7684602468315,1891113726764
7684635756915,1891137501655
7684669080515,1891160038451
7684702334615,1891182584081
7684735624615,1891200089978
7684768921215,1891224072478
7684802204815,1891247346416
7684835493015,1891270159110
7684868789015,1891294779916
7684902075215,1891319298758
7684935361315,1891343261821
7684968655015,1891368421171
7685001953315,1891392730772
7685035229815,1891414851897
7685068519415,1891438957315
7685101807715,1891464925437
7685135098315,1891488544723
7685168391915,1891511232309
7685201675815,1891536603815
7685234966515,1891559499922
7685268256615,1891583555744
7685301544715,1891608130988
7685334835015,1891631205047
7685368123215,1891657193921
7685401419015,1891678148001
7685434703115,1891702209168
7685467990915,1891724310227
7685501287615,1891745892350
7685534588515,1891768301652
7685567859215,1891788941170
7685601155915,1891809466439
7685634449415,1891830535833
7685667727415,1891855509636
7685701021315,1891877929043
7685734307315,1891903462743
7685767596215,1891924857426
7685800886715,1891946484762
7685834174215,1891968513361
7685867464715,1891991118995
7685900753115,1892015477991
7685934054215,1892035309102
7685967333015,1892055669616
7686000658515,1892077874883
7686033910715,1892102462289
7686067200715,1892126453470
7686100490915,1892150641491
7686133786415,1892170850393
7686167069015,1892194085351
7686200357715,1892216794411
7686233655015,1892239662758
7686266936015,1892264779930
7686300225515,1892287352359
7686333522315,1892309377988
7686366805115,1892333421119
7686400094115,1892355747403
7686433387315,1892381059304
7686466673815,1892402975129
7686499963715,1892424898435
7686533252415,1892449577555
7686566540515,1892471688262
7686599832115,1892494037709
7686633119715,1892515485160
7686666408815,1892536932909
7686699702615,1892559761078
7686732988115,1892581592757
7686766276915,1892604023257
7686799567515,1892628500025
7686832859915,1892652046421
7686866174415,1892673491127
7686899435715,1892694131485
7686932724115,1892714492157
7686966028915,1892736601728
7686999302515,1892759437899
7687032592215,1892781396785
7687065888915,1892807601044
7687099171615,1892829029679
7687132460515,1892851796055
7687165753615,1892875706274
7687199041015,1892897398244
7687232328215,1892918841011
7687265618915,1892942619443
7687298907215,1892965651543
7687332228815,1892992520910
7687365485915,1893020200373
7687398775315,1893046522024
7687432065615,1893073086003
7687465356215,1893096097676
7687498643315,1893116997033
7687531933815,1893137776142
7687565223315,1893158934444
7687598516515,1893180469785
7687631801515,1893202955312
7687665091415,1893225887277
7687698386115,1893250174571
7687731670615,1893273628701
7687764958315,1893297632440
7687798255215,1893318044010
7687831538415,1893339057916
7687864826815,1893355690196
7687898119915,1893374483663
7687931406615,1893397661081
7687964694415,1893416216569
7687997985615,1893433639477
7688031291615,1893449597170
7688064563715,1893472932511
7688097853615,1893497816871
7688131141615,1893514665604
7688164432015,1893537999062
7688197748515,1893561289859
7688231015015,1893583590025
7688264300315,1893605091105
7688297608615,1893630765848
7688330882415,1893655739443
7688364168215,1893671243086
7688397458015,1893696774569
7688430753415,1893719693510
7688464036315,1893744468867
7688497324515,1893769361825
7688530621815,1893794561418
7688563903215,1893820235890
7688597196215,1893846580094
7688630489815,1893871627809
7688663772215,1893898224001
7688697060615,1893917702733
7688730350915,1893944484706
7688763640815,1893970336252
7688796930715,1893996769617
7688830219315,1894024610454
7688863508015,1894053228370
7688896799015,1894081612970
7688930086615,1894107045290
7688963376115,1894132258990
7688996666615,1894156537538
7689029955615,1894181703977
7689063249015,1894208528640
7689096534315,1894236108821
7689129824215,1894262255506
7689163119215,1894286625895
7689196402415,1894313467721
7689229691015,1894342253260
7689262988215,1894368778790
7689296270115,1894399593442
7689329559115,1894424470320
7689362855815,1894450110431
7689396140415,1894480386419
7689429428015,1894506614402
7689462718015,1894534612341
7689496008215,1894559128359
7689529295615,1894589219794
7689562586015,1894618544035
7689595897515,1894648414139
7689629196815,1894674371682
7689662452915,1894698540005
7689695743015,1894722889986
7689729033315,1894747934579
7689762321915,1894776779294
7689795616115,1894795977826
7689828901515,1894820136171
7689862191415,1894841765094
7689895484315,1894863829790
7689928768915,1894894077925
7689962057415,1894918798920
7689995353715,1894942861950
7690028637215,1894972964865
7690061925815,1894998705337
7690095222515,1895025814019
7690128506115,1895052068815
7690161793615,1895078373020
7690195084215,1895103503084
7690228374615,1895129544326
7690261661615,1895155160580
7690294951715,1895183473536
7690328263615,1895210604214
7690361531415,1895237592254
7690394820615,1895262298822
7690428108915,1895280685738
7690461399515,1895307340698
7690494694315,1895333077657
7690527982015,1895359755752
7690561267015,1895383827619
7690594557215,1895409641157
7690627850815,1895433987652
7690661135515,1895458047780
7690694425215,1895484979490
7690727720515,1895517170161
7690761003515,1895543674955
7690794291815,1895564155832
7690827589215,1895585577865
7690860871015,1895606806378
7690894160215,1895628881410
7690927450715,1895649990344
7690960763015,1895672251278
7690994028315,1895696334494
7691027318415,1895720839957
7691060608015,1895741961547
7691093897215,1895765270845
7691127187115,1895784214412
7691160475215,1895810890925
7691193766315,1895835254212
7691227054115,1895860875194
7691260354815,1895888658379
7691293633515,1895913246831
7691326924315,1895934030329
7691360217115,1895953596307
7691393502215,1895972829021
7691426792615,1895993791761
7691460088115,1896012650910
7691493369915,1896035489284
7691526658115,1896062290905
7691559956015,1896089783986
7691593239215,1896108065590
7691626526515,1896128416246
7691659816515,1896147986497
7691693106415,1896166483582
7691726394915,1896188243611
7691759684515,1896208618971
7691792974815,1896227522105
7691826276715,1896244480230
7691859553415,1896260959406
7691892841515,1896276266359
7691926141915,1896291786900
7691959420315,1896305196718
7691992714015,1896320208460
