#timestamp,p_WS_W_x,p_WS_W_y,p_WS_W_z,q_WS_w,q_WS_x,q_WS_y,q_WS_z,v_WS_W_x,v_WS_W_y,v_WS_W_z,b_g_x,b_g_y,b_g_z,b_a_x,b_a_y,b_a_z
7669855271515,-8.235372283771600520e-16,1.773132994602629842e-17,-2.017015119598435215e-16,7.465337568952229441e-01,-6.651725274557512835e-01,-1.525916035069069254e-02,1.286834261558567928e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000278e-02,8.999999999999999667e-02,1.000000000000000021e-02
7669888561715,1.983981125495061124e-05,-4.729764553370391065e-06,-1.103934620636057941e-06,7.463648666059103931e-01,-6.653631629918799195e-01,-1.520894676973303002e-02,1.875311656826292956e-04,1.348313857754577724e-03,-2.745062638400463722e-04,4.576231506461948112e-05,-8.872122312514945318e-05,-1.982399488886348862e-05,3.125394944672802556e-05,-4.998226050355051436e-02,9.000136470015475398e-02,9.995479547449184765e-03
7669921856015,9.360194086482006843e-05,-2.126463922870793158e-05,3.566429685584421674e-06,7.462511126275203077e-01,-6.654654115330191910e-01,-1.626628566401952178e-02,-6.862259643366730661e-04,2.079535514330621039e-03,-5.100592973110119541e-04,1.888192496039298738e-04,-1.583822598367632599e-04,2.796680714204676502e-05,7.129129147815583992e-05,-4.997220591455084349e-02,8.976620858131267866e-02,1.002367556527072011e-02
7669955139515,2.003360925711562400e-04,-1.727427374656310770e-05,-1.361372713413142664e-06,7.460149643025788535e-01,-6.656916220661069916e-01,-1.769253970271269377e-02,-1.819721540655258683e-03,1.067955296194442443e-03,1.843572539576228452e-04,-1.074803308984581914e-04,-2.255976674078524692e-04,1.215886613838090173e-03,4.268864013726706872e-05,-4.995145670950674327e-02,8.919281280253268940e-02,1.006926747187141154e-02
7669988430115,2.533157822780140642e-04,-5.060999789564189473e-06,1.460185870184729375e-05,7.459099360015463143e-01,-6.658018958839878598e-01,-1.795120557573618228e-02,-1.989228452000218073e-03,7.044618284094298429e-05,6.826332792603300110e-04,-2.563400710036557836e-04,-2.858768822465658542e-04,1.571610487301749711e-03,-6.724425658948412511e-05,-4.989949579123252599e-02,8.760589539880588028e-02,1.024655031473221956e-02
7670021726915,2.017897607626896223e-04,6.389283418560212256e-05,3.197347959814189459e-05,7.457815374521435947e-01,-6.659543016368361101e-01,-1.765885409586857163e-02,-1.712132860469655488e-03,3.471207152711637198e-04,1.380195887272637166e-03,-8.657806905976344388e-04,2.236054933048353330e-04,2.174887357601827838e-03,-4.810216470049244507e-04,-4.974071075054044971e-02,8.175790888681402913e-02,1.090588310063683557e-02
7670055008015,2.222997128319959524e-04,1.248767963180637643e-04,2.837416682729430181e-05,7.458147177940868122e-01,-6.659175158524542892e-01,-1.764409921579793150e-02,-1.718884954321938047e-03,1.494999793349498728e-04,1.654394283717812051e-03,-7.161206498919926462e-04,3.049690332880505253e-04,2.176492079661442730e-03,-5.857078795204667459e-04,-4.973049352537839418e-02,8.107445215507648462e-02,1.098272287188061316e-02
7670088298215,1.475322207803820369e-04,1.172020596462847175e-04,4.177359637933861480e-05,7.460699953678884278e-01,-6.656379098714136910e-01,-1.741781218508215226e-02,-1.534526786960846130e-03,-2.621786477899902784e-04,2.475154619724313559e-04,2.779666911887300452e-04,2.946311676483212832e-04,2.034112982325419604e-03,-5.856100386068133559e-04,-4.982784492105546414e-02,8.490769824881135019e-02,1.059037515279564849e-02
7670121622415,1.327446361151054025e-04,1.318981487087909985e-04,8.101243115873697136e-05,7.461252720625367596e-01,-6.655738479973588584e-01,-1.749246483791122228e-02,-1.595282259836967430e-03,-8.288902865338535972e-04,1.467999585715374961e-04,4.554810392212007078e-04,1.573598923642483135e-04,1.851635578723863015e-03,-5.782496825930117084e-04,-4.981332465903563073e-02,8.481705573618099347e-02,1.061603940086095106e-02
7670154876515,1.220788964360531746e-04,1.043624455686332467e-04,1.054499228081895630e-04,7.461322018120727373e-01,-6.655682251053226528e-01,-1.741012241647120484e-02,-1.600870595187622609e-03,-4.041143859579209106e-04,-3.130531174973029971e-04,4.304041000643727029e-05,2.620799139813028821e-04,1.595068480119991557e-03,-5.337761985839923696e-04,-4.983687298399325227e-02,8.453951231529663324e-02,1.064266954611560456e-02
7670188166415,8.851166229632151123e-05,5.967234005284720278e-05,1.092847084251271874e-04,7.460577050510359687e-01,-6.656523169659848138e-01,-1.737983273509581886e-02,-1.683765392752825316e-03,-7.683413640705965544e-04,-2.642459366831923016e-04,-1.187199296942891772e-04,3.705469537175000742e-04,1.068274065237724210e-03,-2.434662329007514084e-04,-4.989065904577255628e-02,8.461806747516183169e-02,1.060324709938640850e-02
