#t_ns,in_ts
7669888561715,11217093338841
7669921856015,11217098529697
7669955139515,11217103290222
7669988430115,11217111624940
7670021726915,11217120009949
7670055008015,11217130498341
7670088298215,11217142632806
7670121622415,11217155669487
7670154876515,11217170038637
7670188166415,11217184345585
7670221460715,11217197485105
7670254745415,11217211810602
7670288047815,11217227018378
7670321322715,11217241277967
7670354628015,11217254411950
7670387903615,11217267760456
7670421190915,11217280577196
7670454481015,11217294076207
7670487771015,11217307222225
7670521060215,11217324761076
7670554349315,11217340649194
7670587637915,11217355589376
7670620928215,11217369080137
7670654220015,11217383504996
7670687506015,11217397892115
7670720796515,11217411780792
7670754141715,11217427634351
7670787374215,11217441538324
7670820664715,11217452067900
7670853960315,11217464235753
7670887243115,11217475504301
7670920532215,11217484839698
7670953827315,11217497440640
7670987112615,11217508914197
7671020399815,11217521143380
7671053689215,11217532155961
7671086979515,11217542198960
7671120274415,11217554367497
7671153557315,11217570628525
7671186847315,11217589722422
7671220137315,11217608344927
7671253426915,11217629190272
7671286714915,11217649773126
7671320004315,11217666934468
7671353295315,11217690315574
7671386585715,11217712909606
7671419872315,11217740398837
7671453162315,11217766351012
7671486460915,11217796350013
7671519740215,11217828211524
7671553030915,11217855120149
7671586333215,11217881753593
7671619631815,11217908331575
7671652899215,11217937212721
7671686193715,11217965033231
7671719494615,11217995163149
7671752766215,11218024959834
7671786055115,11218052445611
7671819346015,11218082023152
7671852635315,11218108935928
7671885924015,11218138322526
7671919213615,11218161815618
7671952504315,11218193618089
7671985791615,11218229743063
7672019082515,11218260095132
7672052370415,11218291861619
7672085717815,11218323019965
7672118952315,11218343417651
7672152238415,11218371831302
7672185529115,11218399935639
7672218826115,11218426229507
7672252119915,11218452411225
7672285397215,11218479627204
7672318692515,11218506218736
7672351975515,11218533763893
7672385265715,11218562236660
7672418592115,11218587168727
7672451844315,11218612549537
7672485134015,11218636829993
7672518422015,11218665414496
7672551712215,11218693925739
7672585002615,11218726129028
7672618289915,11218755957609
7672651580115,11218778080854
7672684870015,11218793862814
7672718158315,11218819060735
7672751448615,11218833760795
7672784736915,11218857903422
7672818027515,11218880808051
7672851321015,11218904637159
7672884605215,11218923095832
7672917895515,11218957015416
7672951211815,11218978273219
7672984473615,11218998746379
7673017763615,11219012604657
7673051070315,11219045412498
7673084341115,11219071849581
7673117631515,11219095048294
7673150958915,11219113449805
7673184210515,11219130793770
7673217499915,11219148794738
7673250788415,11219164173201
7673284078915,11219181696012
7673317367115,11219203870445
7673350656415,11219218872904
7673383950615,11219231335025
7673417269415,11219248444375
7673450524415,11219265851665
7673483814615,11219284728090
7673517104415,11219298851038
7673550396615,11219313353201
7673583685615,11219330628052
7673616971815,11219348316112
7673650262715,11219369085107
7673683555915,11219390933362
7673716839315,11219413971587
7673750130015,11219428070543
7673783425015,11219448811063
7673816707815,11219467795273
7673849998015,11219485214025
7673883294215,11219497813291
7673916576715,11219512631737
7673949866515,11219530102832
7673983154815,11219547162998
7674016445515,11219557683125
7674049733215,11219575244921
7674083022715,11219591764948
7674116313515,11219606902250
7674149619715,11219622554249
7674182890715,11219638308512
7674216181115,11219654204012
7674249472015,11219670786592
7674282759015,11219687698808
7674316052015,11219706143541
7674349337615,11219722225183
7674382650115,11219741204957
7674415922015,11219760044515
7674449206215,11219778834570
7674482496615,11219796313238
7674515792215,11219814539171
7674549074215,11219832687422
7674582364615,11219851043519
7674615662015,11219867640036
7674648942215,11219884423909
7674682232715,11219901204506
7674715521515,11219917432454
7674748810815,11219934111349
7674782099715,11219956657569
7674815389615,11219978609283
7674848679815,11220002351024
7674881969915,11220018157761
7674915257415,11220039450787
7674948547415,11220053382246
7674981838015,11220065256372
7675015125715,11220081439385
7675048417915,11220099741242
7675081704315,11220112668544
7675114994815,11220126041793
7675148289515,11220148225125
7675181572415,11220167081079
7675214863215,11220182411596
7675248157815,11220196846684
7675281444415,11220214018336
7675314730615,11220233299209
7675348027515,11220252324072
7675381308615,11220265896276
7675414599515,11220283702338
7675447888715,11220301414891
7675481177815,11220320419186
7675514467915,11220339836979
7675547755815,11220357157592
7675581046215,11220374578886
7675614334515,11220394585342
7675647623915,11220415963270
7675680914315,11220434122625
7675714237515,11220448828668
7675747491815,11220464005692
7675780784515,11220480655811
7675814072015,11220500730974
7675847361115,11220519074938
7675880656715,11220533766642
7675913939015,11220550876811
7675947234415,11220564460558
7675980522715,11220580456571
7676013806615,11220600050504
7676047097315,11220619654048
7676080394215,11220638239711
7676113675015,11220654206263
7676146965515,11220670270194
7676180256215,11220688842454
7676213544815,11220710773344
7676246833715,11220729349230
7676280122115,11220748547545
7676313412815,11220766398073
7676346701015,11220781956303
7676379989915,11220796039866
7676413280515,11220810265221
7676446569715,11220824810797
7676479858115,11220838640651
7676513151015,11220853873030
7676546438315,11220870417970
7676579732015,11220886533436
7676613022915,11220900634848
7676646305315,11220915040772
7676679595315,11220928094093
7676712889315,11220941174993
7676746173315,11220954806256
7676779463815,11220969819740
7676812759915,11220982806870
7676846041415,11220996658558
7676879331515,11221009974387
7676912622115,11221023085886
7676945909815,11221035551932
7676979199915,11221047070410
7677012488315,11221057606606
7677045804515,11221073666550
7677079067515,11221086472177
7677112356415,11221100142339
7677145647115,11221113166387
7677178939815,11221126749082
7677212224715,11221140767792
7677245517115,11221157494886
7677278805715,11221173947265
7677312092815,11221187521066
7677345388615,11221204519590
7677378671815,11221221056313
7677411961815,11221235435192
7677445256915,11221251056432
7677478540115,11221266529214
7677511830315,11221281484644
7677545127715,11221299788264
7677578408115,11221310833139
7677611697715,11221326630890
7677644988715,11221346843712
7677678276115,11221362427275
7677711566415,11221385428969
7677744855915,11221401784011
7677778144815,11221416580344
7677811434815,11221438467338
7677844722515,11221459674685
7677878013815,11221475714494
7677911316515,11221497163673
7677944591315,11221515796116
7677977883515,11221537327790
7678011178215,11221562072040
7678044459415,11221586554603
7678077755015,11221605749021
7678111039415,11221620109551
7678144328515,11221642875972
7678177623315,11221665071560
7678210905715,11221684731202
7678244196715,11221699253215
7678277490815,11221719926932
7678310774615,11221739946497
7678344064415,11221761062128
7678377409915,11221784690240
7678410643715,11221805731901
7678443932615,11221830992661
7678477222115,11221855708959
7678510511615,11221881819731
7678543801015,11221903632635
7678577089315,11221927998480
7678610381015,11221956590418
7678643668315,11221982840176
7678676958015,11222007474910
7678710249315,11222027444597
7678743536815,11222051123173
7678776825315,11222072808175
7678810121715,11222094777366
7678843405515,11222115598661
7678876695315,11222138075420
7678909990015,11222158524409
7678943272315,11222179253297
7678976563415,11222202338849
7679009857215,11222226128806
7679043140715,11222249371616
7679076444815,11222271560142
7679109720615,11222292090259
7679143008815,11222312195848
7679176298715,11222332128877
7679209594215,11222351969921
7679242899315,11222373082358
7679276167515,11222393918152
7679309455815,11222414405753
7679342757815,11222434467683
7679376034415,11222454411001
7679409324015,11222475178413
7679442615715,11222495215649
7679475903815,11222518769071
7679509191915,11222540201287
7679542488615,11222559838424
7679575772515,11222580874698
7679609060215,11222604764745
7679642356015,11222626086891
7679675638715,11222646510851
7679708986815,11222667653628
7679742224215,11222691415130
7679775507215,11222713292691
7679808797415,11222734496350
7679842101815,11222756770810
7679875375315,11222782542226
7679908665615,11222806334922
7679941955215,11222828896333
7679975243415,11222849491887
7680008533315,11222869573048
7680041823615,11222889551556
7680075112415,11222910473921
7680108402515,11222931778047
7680141690215,11222954600685
7680174982215,11222977832614
7680208270515,11223005008607
7680241558515,11223031875353
7680274854115,11223053898740
7680308138915,11223073644404
7680341426315,11223095328846
7680374722815,11223111261893
7680408008815,11223133126896
7680441295215,11223153590760
7680474591315,11223174354483
7680507873415,11223194433770
7680541163715,11223214531915
7680574480815,11223235837743
7680607741815,11223256122703
7680641031815,11223275484836
7680674340715,11223295074151
7680707609615,11223313848508
7680740899615,11223332288955
7680774189715,11223352869063
7680807478115,11223371056735
7680840767915,11223388964861
7680874056715,11223409006016
7680907348715,11223427399524
7680940635715,11223440109802
7680973941315,11223458246392
7681007220815,11223475430998
7681040537615,11223494280227
7681073792415,11223508980646
7681107089315,11223535338151
7681140372715,11223557445257
7681173663315,11223577203586
7681206958115,11223595762486
7681240239515,11223615159137
7681273531515,11223634608380
7681306818315,11223654128012
7681340107915,11223674415673
7681373398415,11223694139227
7681406687715,11223715115725
7681439976015,11223735954086
7681473265915,11223759490748
7681506556115,11223779244219
7681539844815,11223801783978
7681573134715,11223824637611
7681606423015,11223847238855
7681639715115,11223867471881
7681673001715,11223887484921
7681706290915,11223908528396
7681739590815,11223929953110
7681772871815,11223951581430
7681806158915,11223973654750
7681839455715,11223997578653
7681872740015,11224014031509
7681906027015,11224036009571
7681939324015,11224056615651
7681972615815,11224077624749
7682005925715,11224097391338
7682039184715,11224116383782
7682072474315,11224135161403
7682105764715,11224154221764
7682139054215,11224172516531
7682172342515,11224193076368
7682205632415,11224212430268
7682238923615,11224231214211
7682272210515,11224252491559
7682305500715,11224273083119
7682338789615,11224291853207
7682372080315,11224310398273
7682405369015,11224330250195
7682438657415,11224350104021
7682471954215,11224370294364
7682505240915,11224392999074
7682538525615,11224413229635
7682571821515,11224434088948
7682605106115,11224456006633
7682638393715,11224477368495
7682671690315,11224495189428
7682704980715,11224516621781
7682738263015,11224534167354
7682771552515,11224552349841
7682804840715,11224574665151
7682838131115,11224595902634
7682871420115,11224617617244
7682904708915,11224641026194
7682937998915,11224658180666
7682971288515,11224671988090
7683004577515,11224695317258
7683037867115,11224716574803
7683071157215,11224738435894
7683104447515,11224763180645
7683137735415,11224783392771
7683171023815,11224805070760
7683204320515,11224824218374
7683237603015,11224853638905
7683270892315,11224885890392
7683304188215,11224910466099
7683337508815,11224934123342
7683370759915,11224958233016
7683404056715,11224973675970
7683437340315,11224995044238
7683470629415,11225015912809
7683503918715,11225039284478
7683537206815,11225063444062
7683570498315,11225086818885
7683603785515,11225107902085
7683637075415,11225128913709
7683670365715,11225141614067
7683703656415,11225155376876
7683736943515,11225174546177
7683770234015,11225194448771
7683803524115,11225209670146
7683836816715,11225230587822
7683870102015,11225251959302
7683903390215,11225273110071
7683936688515,11225294710917
7683969969115,11225317157072
7684003258115,11225338752717
7684036554615,11225360510644
7684069838415,11225382163937
7684103126315,11225407559978
7684136423315,11225429324210
7684169707115,11225451177911
7684203003715,11225480793816
7684236284915,11225511750029
7684269573715,11225530476028
7684302863415,11225555410443
7684336152515,11225581726110
7684369441315,11225599623526
7684402732115,11225622333488
7684436023115,11225645510045
7684469309515,11225672311504
7684502600215,11225703416712
7684535890515,11225739316909
7684569178515,11225758363475
7684602468315,11225784760288
7684635756915,11225805244802
7684669080515,11225821244368
7684702334615,11225847557959
7684735624615,11225872900970
7684768921215,11225892419054
7684802204815,11225916687088
7684835493015,11225939540257
7684868789015,11225963058250
7684902075215,11225985701621
7684935361315,11226008445836
7684968655015,11226030450649
7685001953315,11226054508303
7685035229815,11226079778321
7685068519415,11226100160100
7685101807715,11226120943980
7685135098315,11226143193881
7685168391915,11226163594420
7685201675815,11226185378409
7685234966515,11226206504448
7685268256615,11226222328136
7685301544715,11226238646708
7685334835015,11226264317397
7685368123215,11226287726432
7685401419015,11226314309296
7685434703115,11226337102964
7685467990915,11226351447526
7685501287615,11226373655556
7685534588515,11226398676485
7685567859215,11226420622477
7685601155915,11226444998486
7685634449415,11226465923257
7685667727415,11226488995115
7685701021315,11226507756574
7685734307315,11226523162150
7685767596215,11226544442206
7685800886715,11226567462011
7685834174215,11226592576419
7685867464715,11226624498424
7685900753115,11226646532853
7685934054215,11226667402752
7685967333015,11226688244079
7686000658515,11226708659929
7686033910715,11226729669028
7686067200715,11226750661770
7686100490915,11226771464783
7686133786415,11226792258688
7686167069015,11226811361310
7686200357715,11226833278228
7686233655015,11226854869576
7686266936015,11226876038246
7686300225515,11226897438503
7686333522315,11226918482378
7686366805115,11226940493080
7686400094115,11226964050347
7686433387315,11226985930864
7686466673815,11227009283042
7686499963715,11227025070646
7686533252415,11227048499039
7686566540515,11227073951504
7686599832115,11227098537573
7686633119715,11227123493928
7686666408815,11227146890318
7686699702615,11227162650739
7686732988115,11227183423611
7686766276915,11227208819802
7686799567515,11227238025976
7686832859915,11227264990311
7686866174415,11227281503762
7686899435715,11227302901521
7686932724115,11227329470899
7686966028915,11227352054549
7686999302515,11227375774115
7687032592215,11227397835819
7687065888915,11227418811379
7687099171615,11227441628532
7687132460515,11227463927861
7687165753615,11227485839057
7687199041015,11227507938048
7687232328215,11227529785670
7687265618915,11227551698201
7687298907215,11227574405285
7687332228815,11227598106105
7687365485915,11227621411978
7687398775315,11227644452191
7687432065615,11227671784606
7687465356215,11227696593179
7687498643315,11227722028205
7687531933815,11227746876502
7687565223315,11227766480829
7687598516515,11227789274343
7687631801515,11227814400921
7687665091415,11227842486388
7687698386115,11227867581790
7687731670615,11227894926545
7687764958315,11227913430459
7687798255215,11227934763834
7687831538415,11227957564528
7687864826815,11227978676923
7687898119915,11228001886936
7687931406615,11228028471614
7687964694415,11228053699436
7687997985615,11228071787503
7688031291615,11228098689551
7688064563715,11228118072511
7688097853615,11228147850291
7688131141615,11228169803497
7688164432015,11228196387669
7688197748515,11228222269157
7688231015015,11228244016244
7688264300315,11228274861012
7688297608615,11228301112039
7688330882415,11228325689193
7688364168215,11228350223775
7688397458015,11228367567005
7688430753415,11228392443403
7688464036315,11228419685701
7688497324515,11228447040003
7688530621815,11228474055686
7688563903215,11228502294209
7688597196215,11228530467645
7688630489815,11228558424524
7688663772215,11228584711224
7688697060615,11228613598111
7688730350915,11228643577752
7688763640815,11228663561786
7688796930715,11228691409110
7688830219315,11228720107488
7688863508015,11228746673074
7688896799015,11228777270450
7688930086615,11228808349058
7688963376115,11228835602167
7688996666615,11228863849285
7689029955615,11228892169431
7689063249015,11228920360796
7689096534315,11228946953011
7689129824215,11228974058573
7689163119215,11229002804952
7689196402415,11229029102100
7689229691015,11229065933974
7689262988215,11229093667364
7689296270115,11229122249150
7689329559115,11229150260073
7689362855815,11229177886372
7689396140415,11229207327723
7689429428015,11229237755035
7689462718015,11229264071482
7689496008215,11229289136441
7689529295615,11229317044240
7689562586015,11229343331807
7689595897515,11229374764366
7689629196815,11229405921371
7689662452915,11229436119805
7689695743015,11229458112891
7689729033315,11229480060066
7689762321915,11229504625604
7689795616115,11229521418048
7689828901515,11229546930772
7689862191415,11229571216919
7689895484315,11229595252761
7689928768915,11229620375355
7689962057415,11229645699925
7689995353715,11229675173593
7690028637215,11229701731841
7690061925815,11229728651860
7690095222515,11229754980937
7690128506115,11229780651237
7690161793615,11229805736967
7690195084215,11229830842483
7690228374615,11229859611627
7690261661615,11229884184833
7690294951715,11229908897564
7690328263615,11229937857017
7690361531415,11229962863981
7690394820615,11229994197737
7690428108915,11230021270251
7690461399515,11230047271998
7690494694315,11230072821937
7690527982015,11230097149080
7690561267015,11230120515056
7690594557215,11230144552662
7690627850815,11230167646097
7690661135515,11230191164179
7690694425215,11230221070296
7690727720515,11230244168286
7690761003515,11230264028680
7690794291815,11230287263664
7690827589215,11230318801712
7690860871015,11230343647840
7690894160215,11230366048014
7690927450715,11230387472467
7690960763015,11230408967739
7690994028315,11230429677468
