#t_ns,out_ts
7669888561715,11061682772915
7669921856015,11061688918569
7669955139515,11061696376179
7669988430115,11061705602273
7670021726915,11061718251685
7670055008015,11061731221210
7670088298215,11061745820993
7670121622415,11061759813605
7670154876515,11061771748996
7670188166415,11061787134287
7670221460715,11061800329168
7670254745415,11061813564596
7670288047815,11061829584281
7670321322715,11061842546648
7670354628015,11061859479887
7670387903615,11061873972619
7670421190915,11061889834840
7670454481015,11061904820619
7670487771015,11061919721086
7670521060215,11061935082562
7670554349315,11061949676252
7670587637915,11061965344723
7670620928215,11061979251624
7670654220015,11061992688641
7670687506015,11062005653076
7670720796515,11062020860735
7670754141715,11062034995174
7670787374215,11062047892529
7670820664715,11062057791278
7670853960315,11062068373829
7670887243115,11062077397007
7670920532215,11062090284356
7670953827315,11062102619905
7670987112615,11062115759333
7671020399815,11062126834285
7671053689215,11062136997242
7671086979515,11062151102490
7671120274415,11062170581153
7671153557315,11062184143640
7671186847315,11062199120665
7671220137315,11062217972757
7671253426915,11062238579213
7671286714915,11062258177742
7671320004315,11062281161078
7671353295315,11062304904071
7671386585715,11062333769611
7671419872315,11062360931538
7671453162315,11062387362166
7671486460915,11062414138563
7671519740215,11062442261863
7671553030915,11062470683083
7671586333215,11062500492156
7671619631815,11062527057871
7671652899215,11062552646660
7671686193715,11062575854427
7671719494615,11062606455787
7671752766215,11062641927224
7671786055115,11062670410357
7671819346015,11062698057495
7671852635315,11062732159359
7671885924015,11062760785291
7671919213615,11062795487054
7671952504315,11062818385437
7671985791615,11062856188013
7672019082515,11062883390629
7672052370415,11062912127786
7672085717815,11062938327475
7672118952315,11062964192531
7672152238415,11062991665630
7672185529115,11063017670576
7672218826115,11063046383634
7672252119915,11063074553185
7672285397215,11063100758342
7672318692515,11063134378760
7672351975515,11063160618107
7672385265715,11063188745144
7672418592115,11063217449959
7672451844315,11063243775218
7672485134015,11063269276319
7672518422015,11063292465867
7672551712215,11063320232510
7672585002615,11063346920839
7672618289915,11063368249852
7672651580115,11063400522720
7672684870015,11063420760567
7672718158315,11063458048856
7672751448615,11063496806412
7672784736915,11063530366773
7672818027515,11063553862718
7672851321015,11063574048574
7672884605215,11063594772282
7672917895515,11063614423480
7672951211815,11063633710703
7672984473615,11063651679216
7673017763615,11063671758795
7673051070315,11063690881082
7673084341115,11063711495856
7673117631515,11063725782078
7673150958915,11063747764942
7673184210515,11063768116917
7673217499915,11063791297107
7673250788415,11063805510843
7673284078915,11063822457296
7673317367115,11063846145976
7673350656415,11063869883766
7673383950615,11063890972570
7673417269415,11063907400122
7673450524415,11063925571118
7673483814615,11063943072319
7673517104415,11063960861273
7673550396615,11063979545336
7673583685615,11063997310355
7673616971815,11064014507155
7673650262715,11064030850104
7673683555915,11064047121834
7673716839315,11064062149484
7673750130015,11064081654604
7673783425015,11064098503827
7673816707815,11064114934851
7673849998015,11064130609404
7673883294215,11064145949934
7673916576715,11064160427880
7673949866515,11064175271470
7673983154815,11064189971150
7674016445515,11064204771692
7674049733215,11064220824424
7674083022715,11064236652584
7674116313515,11064253245898
7674149619715,11064269841366
7674182890715,11064287229570
7674216181115,11064301865534
7674249472015,11064326157251
7674282759015,11064351930571
7674316052015,11064380299447
7674349337615,11064401032423
7674382650115,11064422245174
7674415922015,11064442805514
7674449206215,11064461582738
7674482496615,11064480535051
7674515792215,11064498345643
7674549074215,11064517239392
7674582364615,11064535816812
7674615662015,11064556943835
7674648942215,11064575851271
7674682232715,11064597978957
7674715521515,11064619455672
7674748810815,11064640836444
7674782099715,11064658238017
7674815389615,11064675651956
7674848679815,11064692218198
7674881969915,11064714748890
7674915257415,11064734629108
7674948547415,11064753924652
7674981838015,11064773333742
7675015125715,11064798201458
7675048417915,11064820837510
7675081704315,11064837488546
7675114994815,11064853722725
7675148289515,11064876719214
7675181572415,11064900738335
7675214863215,11064921196414
7675248157815,11064941553037
7675281444415,11064960656739
7675314730615,11064977992598
7675348027515,11064997028924
7675381308615,11065020335172
7675414599515,11065042126836
7675447888715,11065064267785
7675481177815,11065080269579
7675514467915,11065091446109
7675547755815,11065103155201
7675581046215,11065117761935
7675614334515,11065135652796
7675647623915,11065154164707
7675680914315,11065175028142
7675714237515,11065196268311
7675747491815,11065217460568
7675780784515,11065235908565
7675814072015,11065251148180
7675847361115,11065267150264
7675880656715,11065285058980
7675913939015,11065301121618
7675947234415,11065317754894
7675980522715,11065334470317
7676013806615,11065350953204
7676047097315,11065367297796
7676080394215,11065388716946
7676113675015,11065405994381
7676146965515,11065422096473
7676180256215,11065437478219
7676213544815,11065453921452
7676246833715,11065474881423
7676280122115,11065497702834
7676313412815,11065515740306
7676346701015,11065529941483
7676379989915,11065543544700
7676413280515,11065558896706
7676446569715,11065573125970
7676479858115,11065587142914
7676513151015,11065600134626
7676546438315,11065612907832
7676579732015,11065626716662
7676613022915,11065640218708
7676646305315,11065653515243
7676679595315,11065667985559
7676712889315,11065682811781
7676746173315,11065698176360
7676779463815,11065716632920
7676812759915,11065732965432
7676846041415,11065747807959
7676879331515,11065762299465
7676912622115,11065778405330
7676945909815,11065794887550
7676979199915,11065812034532
7677012488315,11065827244817
7677045804515,11065843702921
7677079067515,11065858515284
7677112356415,11065872864934
7677145647115,11065886477954
7677178939815,11065903706919
7677212224715,11065922503998
7677245517115,11065936335820
7677278805715,11065952797535
7677312092815,11065969934709
7677345388615,11065985972050
7677378671815,11066002434853
7677411961815,11066016699801
7677445256915,11066032343541
7677478540115,11066051003803
7677511830315,11066070701899
7677545127715,11066088534167
7677578408115,11066104898719
7677611697715,11066123586865
7677644988715,11066144438391
7677678276115,11066163196663
7677711566415,11066185064488
7677744855915,11066210514089
7677778144815,11066233802374
7677811434815,11066260308675
7677844722515,11066276510741
7677878013815,11066297392402
7677911316515,11066318016574
7677944591315,11066332908994
7677977883515,11066353513873
7678011178215,11066375956450
7678044459415,11066399790295
7678077755015,11066416884554
7678111039415,11066442723159
7678144328515,11066470175276
7678177623315,11066494089154
7678210905715,11066516296544
7678244196715,11066539735282
7678277490815,11066562506766
7678310774615,11066585427700
7678344064415,11066606807086
7678377409915,11066628391756
7678410643715,11066651901589
7678443932615,11066674886942
7678477222115,11066698814500
7678510511615,11066721525592
7678543801015,11066744190572
7678577089315,11066770436131
7678610381015,11066793705914
7678643668315,11066808735300
7678676958015,11066831881246
7678710249315,11066851883194
