#timestamp,p_WS_W_x,p_WS_W_y,p_WS_W_z,q_WS_w,q_WS_x,q_WS_y,q_WS_z,v_WS_W_x,v_WS_W_y,v_WS_W_z,b_g_x,b_g_y,b_g_z,b_a_x,b_a_y,b_a_z
7669855271515,-8.235371871252096995e-16,1.773122293063401193e-17,-2.017017673964990147e-16,7.465337568821940328e-01,-6.651725274682562805e-01,-1.525916044369116445e-02,1.286833435925844660e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000278e-02,8.999999999999999667e-02,1.000000000000000021e-02
7669888561715,2.478951857013670415e-05,-7.136831842808094949e-06,-1.129104918860415610e-06,7.463864549698643325e-01,-6.653370626460689552e-01,-1.529187864259221215e-02,1.065579647445950867e-04,1.494048143635584537e-03,-3.645321125642084822e-04,2.902546352652787793e-05,-3.800616959582260997e-05,-6.093193436421538343e-05,1.521681912967356651e-04,-4.998480060000679709e-02,9.000121783452529056e-02,9.996568276453770413e-03
7669921856015,1.024386389623247254e-04,-2.523444934090317599e-05,3.324293232107538134e-06,7.461560270315262811e-01,-6.655452561882153617e-01,-1.726829625709768584e-02,-1.581529091791079866e-03,1.342434963273542083e-03,-4.912122464713419108e-04,1.924965313926823879e-04,-1.249112429984103583e-04,5.112317303486804167e-06,2.229444230697840790e-04,-4.997128176178150527e-02,8.982024510056048350e-02,1.001545585756882101e-02
7669955139515,1.469785904637356056e-04,-3.802457956863279176e-05,7.397822019340832576e-06,7.458821596818563382e-01,-6.658126787317386608e-01,-1.860305540245363667e-02,-2.684592723262615131e-03,-5.339483158573034381e-04,-2.525260504608140086e-04,3.333556510185949583e-04,-8.572427013086854168e-05,5.547476330029032067e-04,3.013200592481247932e-04,-5.004038026440223857e-02,9.211615156411571970e-02,9.756356651563330082e-03
7669988430115,1.194663512411141672e-04,-3.341346267611357447e-05,2.500646282470533622e-05,7.457977133658487690e-01,-6.659036647975100642e-01,-1.871786129193529769e-02,-2.778779619290574869e-03,-2.107161534364096565e-03,3.211537479662764463e-04,3.385146667526499906e-04,-1.320707458127863944e-04,6.444748752263345726e-04,2.219512751915861154e-04,-5.002609081213858777e-02,9.167587367876242621e-02,9.802359819652415457e-03
7670021726915,4.820102982223289402e-05,1.266995012021949518e-05,5.439658114655200231e-05,7.458528058992068832e-01,-6.658532911764641904e-01,-1.835276091235034032e-02,-2.482484369582956766e-03,-2.026974219863416065e-03,5.838518201742234903e-04,-4.245622831488440169e-04,5.018602994121959060e-04,6.856542256028518890e-04,-3.782638273543873593e-04,-4.982269987445223092e-02,8.453589394153258885e-02,1.060952862403041069e-02
7670055008015,-1.457678360410168478e-05,4.148138609536372004e-05,5.700758792405535120e-05,7.458493503385693613e-01,-6.658558155752694052e-01,-1.839430558878436123e-02,-2.535544524056809485e-03,-2.930806585596883260e-03,7.568138794285803658e-04,-3.493346404065005343e-04,5.436193957449020862e-04,6.848034266037775816e-04,-3.997267534021371597e-04,-4.981163046579678566e-02,8.384593993747911644e-02,1.069337090998673939e-02
7670088298215,-4.694770774801351190e-05,3.403761418747315760e-05,1.590205148353453883e-05,7.459726123748460225e-01,-6.657414544656132804e-01,-1.758293913852642526e-02,-2.004406123665153881e-03,-1.707067876522151348e-03,2.263208921341194153e-04,-1.536883461004958068e-04,3.047367741304965807e-04,2.819157441182491017e-04,-3.703065665497521416e-04,-4.991100195156118746e-02,8.661496738419671715e-02,1.041057251764134287e-02
7670121622415,-1.269027293048626210e-04,5.332472678225543076e-05,2.273016512091550050e-05,7.460216961618593157e-01,-6.656847060116581893e-01,-1.764292162506034961e-02,-2.056296303234752838e-03,-2.296141522129421970e-03,4.109110202679493434e-04,-9.636434111269054446e-05,2.013623143268097665e-04,1.625239394631802390e-04,-4.052505111519783942e-04,-4.990125103615909719e-02,8.621541077854200097e-02,1.045813328145696851e-02
7670154876515,-1.603991488846406529e-04,5.565334766616251207e-05,2.375082484613509436e-05,7.460319147628566849e-01,-6.656777853220263719e-01,-1.748150535810067893e-02,-1.966025036144083103e-03,-1.752664891285319985e-03,1.805305604674231038e-04,-1.928972449773770680e-04,1.058486796445690922e-04,5.314243832660504066e-05,-4.428561901299287720e-04,-4.988502083207034532e-02,8.519246323016256561e-02,1.057312561237810575e-02
