#t_ns,in_ts
7465093169994,31270387353498
7465126453394,31270430195141
7465159742594,31270472727388
7465193037794,31270515369811
7465226321594,31270557990330
7465259611794,31270600650602
7465292898794,31270643311356
7465326188294,31270685953311
7465359478694,31270728625428
7465392767994,31270771272627
7465426056294,31270813970925
7465459346694,31270856601950
7465492636594,31270899236770
7465525926094,31270941939310
7465559214494,31270984599509
7465592503494,31271027377689
7465625799994,31271070025015
7465659082094,31271112694217
7465692371694,31271155430683
7465725667494,31271198080808
7465758950894,31271240717829
7465792239894,31271283293989
7465825536094,31271325929304
7465858822394,31271368710693
7465892129894,31271411371002
7465925404594,31271454001393
7465958686294,31271496676502
7465991989594,31271539264818
7466025264894,31271581955932
7466058554294,31271624716548
7466091845194,31271667390662
7466125134394,31271710074543
7466158422994,31271752753136
7466191713994,31271795505804
7466225003394,31271838333321
7466258291294,31271879650074
7466291581494,31271921968385
7466324869494,31271964518735
7466358195394,31272007236746
7466391448094,31272049713693
7466424737994,31272091657199
7466458034094,31272134366256
7466491318694,31272176200891
7466524605794,31272217852804
7466557902394,31272259353043
7466591185594,31272300736877
7466624474194,31272342277369
7466657770694,31272384796452
7466691054094,31272427301237
7466724343894,31272469701286
7466757633294,31272512219436
7466790921094,31272554320527
7466824211194,31272595679611
7466857501194,31272636783239
7466890789594,31272677823819
7466924079694,31272720132803
7466957369294,31272762098949
7466990657294,31272803898928
7467023947494,31272846234676
7467057237294,31272887581754
7467090530894,31272928860795
7467123815894,31272970443083
7467157104094,31273011631756
7467190400694,31273051456377
7467223705794,31273090613351
7467256971994,31273129551662
7467290268294,31273168415031
7467323577194,31273206555468
7467356840694,31273243856468
7467390137194,31273282116440
7467423431594,31273320387273
7467456709994,31273359219722
7467489999494,31273398758350
7467523287594,31273438194396
7467556578294,31273478268915
7467589866294,31273517042322
7467623155794,31273556827303
7467656445894,31273596645192
7467689735094,31273636276395
7467723023194,31273676745435
7467756314194,31273717264630
7467789603994,31273758517901
7467822899794,31273800838781
7467856199994,31273839914888
7467889470894,31273878003862
7467922768194,31273917134671
7467956049894,31273956427007
7467989338794,31273994494011
7468022634994,31274034374281
7468055918494,31274074360412
7468089206994,31274113707108
7468122503794,31274151020728
7468155786794,31274188830429
7468189076194,31274227382221
7468222365494,31274264882155
7468255653694,31274302692714
7468288944194,31274340774265
7468322232594,31274378831264
7468355521594,31274417175287
7468388812394,31274453738691
7468422102794,31274491342953
7468455390194,31274528961834
7468488680894,31274569776039
7468521971194,31274609209000
7468555287194,31274645850063
7468588548294,31274683492177
7468621836894,31274720979495
7468655154194,31274758190665
7468688416094,31274796570093
7468721705794,31274835091403
7468755001294,31274872593436
7468788284494,31274911127558
7468821573094,31274949500495
7468854871494,31274987778231
7468888154394,31275026535856
7468921441294,31275064743567
7468954732294,31275103203108
7468988020194,31275142099299
7469021310294,31275180269232
7469054599194,31275219165796
7469087888494,31275256378706
7469121178694,31275295269126
7469154469294,31275333772273
7469187756594,31275371546392
7469221046894,31275409282615
7469254337494,31275447428143
7469287628494,31275485296627
7469320915094,31275523285220
7469354203194,31275560617238
7469387502394,31275598182761
7469420783694,31275636549549
7469454071994,31275674823059
7469487367794,31275713183011
7469520653194,31275751162809
7469553939694,31275789100529
7469587236294,31275827982946
7469620519794,31275865234152
7469653807894,31275902505215
7469687098394,31275940355488
7469720403594,31275977541385
7469753676794,31276014877667
7469786966494,31276052904190
7469820255194,31276090024259
7469853545394,31276127190624
7469886833494,31276165187431
7469920122994,31276202417294
7469953413294,31276240373990
7469986737294,31276278087109
7470019993894,31276315404660
7470053281394,31276353265276
7470086571094,31276391071441
7470119866994,31276429341465
7470153150094,31276466713553
7470186438294,31276503318445
7470219735494,31276541096599
7470253016694,31276578664906
7470286306294,31276616208268
7470319602794,31276652920302
7470352887394,31276690396178
7470386174294,31276727959176
7470419464394,31276765640011
7470452755094,31276803073851
7470486044294,31276841121411
7470519333094,31276878983245
7470552621094,31276917135573
7470585912794,31276954844349
7470619200394,31276992863110
7470652489394,31277031128469
7470685780094,31277067439851
7470719068994,31277103872508
7470752361194,31277142004312
7470785648094,31277179443262
7470818937594,31277217024225
7470852237994,31277255013531
7470885515594,31277292834266
7470918804594,31277331050943
7470952101294,31277369195989
7470985383294,31277406756596
7471018672494,31277445247495
7471051969194,31277484335751
7471085252094,31277522062711
7471118540694,31277559909776
7471151831394,31277597798581
7471185121394,31277635515193
7471218408894,31277673264831
7471251699594,31277711071784
7471284987594,31277747950748
7471318301294,31277785367714
7471351566294,31277822246214
7471384855594,31277859896819
7471418146594,31277897268662
7471451435394,31277934777657
7471484726894,31277972670268
7471518014394,31278010394257
7471551305294,31278047968754
7471584597694,31278086606921
7471617882694,31278123728048
7471651170894,31278164598223
7471684466794,31278201664686
7471717750494,31278239225938
7471751038594,31278276971280
7471784335794,31278315638651
7471817619394,31278353406189
7471850906994,31278391257959
7471884197694,31278429975901
7471917487594,31278467499187
7471950775094,31278505960012
7471984065694,31278544677001
7472017376094,31278583420044
7472050644294,31278622309186
7472083934294,31278660802093
7472117222094,31278699052722
7472150512194,31278737748521
