#t_ns,in_ts
7669821982615,65562797899847
7669855271515,65562838234636
7669888561715,65562875338099
7669921856015,65562918811123
7669955139515,65562962206547
7669988430115,65563005853549
7670021726915,65563047165729
7670055008015,65563090378611
7670088298215,65563133300992
7670121622415,65563176908338
7670154876515,65563220111278
7670188166415,65563263442792
7670221460715,65563306287541
7670254745415,65563349939534
7670288047815,65563394154299
7670321322715,65563437924661
7670354628015,65563480660955
7670387903615,65563524645111
7670421190915,65563568526781
7670454481015,65563613286595
7670487771015,65563657057701
7670521060215,65563698154287
7670554349315,65563736166208
7670587637915,65563776989708
7670620928215,65563817072631
7670654220015,65563856522966
7670687506015,65563895712017
7670720796515,65563934852633
7670754141715,65563972458588
7670787374215,65564011912624
7670820664715,65564049051807
7670853960315,65564085860964
7670887243115,65564125753931
7670920532215,65564163231359
7670953827315,65564200520294
7670987112615,65564238474925
7671020399815,65564277775965
7671053689215,65564314984757
7671086979515,65564353563766
7671120274415,65564392070136
7671153557315,65564428964379
7671186847315,65564465851672
7671220137315,65564504647797
7671253426915,65564541797043
7671286714915,65564581289131
7671320004315,65564620666648
7671353295315,65564659506772
7671386585715,65564697962885
7671419872315,65564734735463
7671453162315,65564771393260
7671486460915,65564808314789
7671519740215,65564849283635
7671553030915,65564889174393
7671586333215,65564929890683
7671619631815,65564969345614
7671652899215,65565009264942
7671686193715,65565049547392
7671719494615,65565088127099
7671752766215,65565128610773
7671786055115,65565166017095
7671819346015,65565204777055
7671852635315,65565244831928
7671885924015,65565285394965
7671919213615,65565325315453
7671952504315,65565366258754
7671985791615,65565404123649
7672019082515,65565446182909
7672052370415,65565485569124
7672085717815,65565526410293
7672118952315,65565567175322
7672152238415,65565607922620
7672185529115,65565648608367
7672218826115,65565690174773
7672252119915,65565727562567
7672285397215,65565769208964
7672318692515,65565809860820
7672351975515,65565850918230
7672385265715,65565891745824
7672418592115,65565933170468
7672451844315,65565974271121
7672485134015,65566015546361
7672518422015,65566052664317
7672551712215,65566092187288
7672585002615,65566132190049
7672618289915,65566173468059
7672651580115,65566214670473
7672684870015,65566255674439
7672718158315,65566297361066
7672751448615,65566338928718
7672784736915,65566375874640
7672818027515,65566413457522
7672851321015,65566456827239
7672884605215,65566499301382
7672917895515,65566542365686
7672951211815,65566585412292
7672984473615,65566628525483
7673017763615,65566671592983
7673051070315,65566709007720
7673084341115,65566745910577
7673117631515,65566789688456
7673150958915,65566832893820
7673184210515,65566875907208
