#t_ns,in_ts
7669821982615,73399443054599
7669855271515,73399443260659
7669888561715,73399553041233
7669921856015,73399560410659
7669955139515,73399566479232
7669988430115,73399570554477
7670021726915,73399573870478
7670055008015,73399647836829
7670088298215,73399852654237
7670121622415,73399853411798
7670154876515,73399854393362
7670188166415,73399855186931
7670221460715,73399861327442
7670254745415,73399867992346
7670288047815,73399872016773
7670321322715,73399875686300
7670354628015,73399906526468
7670387903615,73399939668774
7670421190915,73399994976208
7670454481015,73400009056169
7670487771015,73400039764491
7670521060215,73400074185480
7670554349315,73400107518945
7670587637915,73400140662888
7670620928215,73400173116113
7670654220015,73400262458469
7670687506015,73400263409744
7670720796515,73400272835010
7670754141715,73400314180697
7670787374215,73400364645254
7670820664715,73400373634923
7670853960315,73400466937836
7670887243115,73400468194106
7670920532215,73400472759070
7670953827315,73400506698326
7670987112615,73400569401107
7671020399815,73401049104909
7671053689215,73401049870986
7671086979515,73401050044239
7671120274415,73401054196538
7671153557315,73401059236624
7671186847315,73401068373997
7671220137315,73401074555303
7671253426915,73401078497430
7671286714915,73401082044861
7671320004315,73401085731293
7671353295315,73401089114668
7671386585715,73401125950422
7671419872315,73401158324172
7671453162315,73401192772371
7671486460915,73401226433877
7671519740215,73401259760181
7671553030915,73401293168580
7671586333215,73401328054690
7671619631815,73401360254044
7671652899215,73401392847226
7671686193715,73401426530155
7671719494615,73401460584748
7671752766215,73401493638819
7671786055115,73401593307608
7671819346015,73401596211876
7671852635315,73401598877472
7671885924015,73401625775594
7671919213615,73401659242488
7671952504315,73401692203672
7671985791615,73401725665305
7672019082515,73401759120800
7672052370415,73401792387189
7672085717815,73401826055717
7672118952315,73401856776620
7672152238415,73401892811401
7672185529115,73401926285385
7672218826115,73401959574883
7672252119915,73401992239101
7672285397215,73402026135813
7672318692515,73402059534864
7672351975515,73402092499723
7672385265715,73402126782749
7672418592115,73402159706564
7672451844315,73402192366157
7672485134015,73402225464398
7672518422015,73402259446338
7672551712215,73402293485400
7672585002615,73402326125143
7672618289915,73402359376618
7672651580115,73402394686242
7672684870015,73402425794443
7672718158315,73402459292729
7672751448615,73402492297551
7672784736915,73402525711260
7672818027515,73402559903197
7672851321015,73402592940332
7672884605215,73402626242685
7672917895515,73402661099224
7672951211815,73402693178730
7672984473615,73402726506743
7673017763615,73402759384977
7673051070315,73402792700491
7673084341115,73402827349882
7673117631515,73402859620236
7673150958915,73402892374771
7673184210515,73402925808459
