#t_ns,out_ts
7669821982615,73399443224639
7669855271515,73399444390068
7669888561715,73399553696689
7669921856015,73399560915869
7669955139515,73399566802970
7669988430115,73399570928932
7670021726915,73399574173110
7670055008015,73399648427732
7670088298215,73399853391512
7670121622415,73399854368713
7670154876515,73399855166420
7670188166415,73399855934997
7670221460715,73399862197019
7670254745415,73399868581168
7670288047815,73399872390326
7670321322715,73399876139135
7670354628015,73399907444428
7670387903615,73399994922146
7670421190915,73399995712844
7670454481015,73400009847213
7670487771015,73400040765426
7670521060215,73400075090421
7670554349315,73400108510857
7670587637915,73400165981644
7670620928215,73400173924487
7670654220015,73400263384034
7670687506015,73400264120598
7670720796515,73400278057582
7670754141715,73400317340870
7670787374215,73400365267340
7670820664715,73400373750635
7670853960315,73400468168901
7670887243115,73400468235078
7670920532215,73400473771642
7670953827315,73400506810055
7670987112615,73401049039652
7671020399815,73401049854396
7671053689215,73401049909868
7671086979515,73401054176707
7671120274415,73401054886511
7671153557315,73401059296534
7671186847315,73401071179995
7671220137315,73401074970828
7671253426915,73401078576262
7671286714915,73401083958411
7671320004315,73401087409899
7671353295315,73401089370703
7671386585715,73401126069894
7671419872315,73401162177763
7671453162315,73401195709501
7671486460915,73401229561577
7671519740215,73401263124321
7671553030915,73401296381769
7671586333215,73401330885437
7671619631815,73401363474791
7671652899215,73401396124978
7671686193715,73401429964404
7671719494615,73401463537574
7671752766215,73401496969454
7671786055115,73401596183435
7671819346015,73401598853296
7671852635315,73401601395748
7671885924015,73401626572899
7671919213615,73401659348874
7671952504315,73401693219892
7671985791615,73401731056143
7672019082515,73401764069396
7672052370415,73401797054653
7672085717815,73401847846847
7672118952315,73401858258257
7672152238415,73401897766746
7672185529115,73401927836946
7672218826115,73401964671050
7672252119915,73401993887212
7672285397215,73402027770890
7672318692515,73402061078491
7672351975515,73402094119586
7672385265715,73402128363673
7672418592115,73402165174664
7672451844315,73402194030233
7672485134015,73402226918128
7672518422015,73402260794998
7672551712215,73402294945745
7672585002615,73402327569374
7672618289915,73402360668772
7672651580115,73402399907925
7672684870015,73402427031838
7672718158315,73402460652335
7672751448615,73402493580946
7672784736915,73402526720781
7672818027515,73402563902848
7672851321015,73402594093188
7672884605215,73402627122790
7672917895515,73402662050720
7672951211815,73402693966268
7672984473615,73402728306838
7673017763615,73402759516017
7673051070315,73402796470724
7673084341115,73402828144131
7673117631515,73402859725200
7673150958915,73402895846356
7673184210515,73402926731179
7673217499915,73402959020505
7673250788415,73402996137222
7673284078915,73403029875413
7673317367115,73403063494989
7673350656415,73403095631873
7673383950615,73403129817316
7673417269415,73403162118724
7673450524415,73403192787978
7673483814615,73403225617846
7673517104415,73403264474490
7673550396615,73403298038568
7673583685615,73403329912837
7673616971815,73403364087649
7673650262715,73403397366538
7673683555915,73403429036226
7673716839315,73403462933206
7673750130015,73403492863895
7673783425015,73403525534374
7673816707815,73403559900089
7673849998015,73403591662291
7673883294215,73403627590133
7673916576715,73403659401888
7673949866515,73403691729816
7673983154815,73403729509884
7674016445515,73403762451442
7674049733215,73403795584908
7674083022715,73403829072497
7674116313515,73403859415718
7674149619715,73403891716246
7674182890715,73403929789874
7674216181115,73403963026883
7674249472015,73403995501372
7674282759015,73404029839603
7674316052015,73404062801500
7674349337615,73404092840181
7674382650115,73404125649502
7674415922015,73404162837182
7674449206215,73404196952470
7674482496615,73404230504166
7674515792215,73404264245109
7674549074215,73404296585285
7674582364615,73404329911691
7674615662015,73404362419909
7674648942215,73404396153057
7674682232715,73404429734540
7674715521515,73404462651605
7674748810815,73404496612896
7674782099715,73404530487170
7674815389615,73404563343991
7674848679815,73404597321997
7674881969915,73404626979950
7674915257415,73404659559658
7674948547415,73404693757700
7674981838015,73404748475930
7675015125715,73404757495984
7675048417915,73404794854205
7675081704315,73404832253515
7675114994815,73404861798349
7675148289515,73404894201871
7675181572415,73404927865152
7675214863215,73404960843805
7675248157815,73404998221041
7675281444415,73405028134094
7675314730615,73405061207298
7675348027515,73405093885376
7675381308615,73405133082944
7675414599515,73405160167192
7675447888715,73405193320182
7675481177815,73405231698429
7675514467915,73405260817881
7675547755815,73405295122220
7675581046215,73405331425089
7675614334515,73405360980183
7675647623915,73405394108091
7675680914315,73405427579483
7675714237515,73405463792724
7675747491815,73405492923467
7675780784515,73405527833442
7675814072015,73405559931727
7675847361115,73405593346764
7675880656715,73405626060169
7675913939015,73405659745286
7675947234415,73405693320230
7675980522715,73405729837317
7676013806615,73405763969567
7676047097315,73405796951315
7676080394215,73405829631962
7676113675015,73405860247413
7676146965515,73405891894907
7676180256215,73405930885089
7676213544815,73405962529062
7676246833715,73405995719500
7676280122115,73406029191149
7676313412815,73406059333587
7676346701015,73406091743563
7676379989915,73406125493058
7676413280515,73406157674325
7676446569715,73406191084987
7676479858115,73406224103394
7676513151015,73406258244016
7676546438315,73406291184618
7676579732015,73406328482454
7676613022915,73406358982671
7676646305315,73406391259065
7676679595315,73406428473272
7676712889315,73406461670922
7676746173315,73406492235104
7676779463815,73406524767869
7676812759915,73406563430816
7676846041415,73406596012554
7676879331515,73406629670725
7676912622115,73406662250820
7676945909815,73406694634287
7676979199915,73406727980654
7677012488315,73406758940910
7677045804515,73406791504572
7677079067515,73406827948124
7677112356415,73406861916026
7677145647115,73406892944814
7677178939815,73406925123179
7677212224715,73406962779778
7677245517115,73406992957979
7677278805715,73407026176909
7677312092815,73407063684515
7677345388615,73407093392653
7677378671815,73407127055035
7677411961815,73407163546549
7677445256915,73407196731015
7677478540115,73407227578494
7677511830315,73407260081816
7677545127715,73407297186533
7677578408115,73407330813400
7677611697715,73407361789753
7677644988715,73407393686948
7677678276115,73407430286891
7677711566415,73407464343090
7677744855915,73407497293277
7677778144815,73407527349180
7677811434815,73407559957219
7677844722515,73407598118670
7677878013815,73407630978927
7677911316515,73407663866500
7677944591315,73407696733701
7677977883515,73407729985030
7678011178215,73407763595349
7678044459415,73407796586796
7678077755015,73407831022342
7678111039415,73407863091163
7678144328515,73407896109130
7678177623315,73407929581012
7678210905715,73407960353750
7678244196715,73407992648243
7678277490815,73408031501832
7678310774615,73408064606699
7678344064415,73408097842066
7678377409915,73408130081512
7678410643715,73408164477184
7678443932615,73408197821973
7678477222115,73408230887749
7678510511615,73408263842884
7678543801015,73408296253202
7678577089315,73408347805522
7678610381015,73408357303874
7678643668315,73408394615188
7678676958015,73408427699343
7678710249315,73408461244837
7678743536815,73408493211747
7678776825315,73408532135248
7678810121715,73408560534469
7678843405515,73408593916062
7678876695315,73408628891544
7678909990015,73408661045944
7678943272315,73408693863539
7678976563415,73408727373021
7679009857215,73408759751360
7679043140715,73408794435469
7679076444815,73408828669219
7679109720615,73408860795418
7679143008815,73408894780952
7679176298715,73408927396195
7679209594215,73408961421596
7679242899315,73408995200309
7679276167515,73409032101630
7679309455815,73409060381742
7679342757815,73409094112660
7679376034415,73409127346253
7679409324015,73409160578320
7679442615715,73409194414351
7679475903815,73409228196313
7679509191915,73409261381523
7679542488615,73409294508405
7679575772515,73409328819872
7679609060215,73409360927002
7679642356015,73409394758797
7679675638715,73409427757508
7679708986815,73409460625054
7679742224215,73409494400964
7679775507215,73409532709468
7679808797415,73409560648393
7679842101815,73409593897238
7679875375315,73409627793648
7679908665615,73409660682741
7679941955215,73409695905926
7679975243415,73409727597869
7680008533315,73409761467243
7680041823615,73409794899704
7680075112415,73409827956302
7680108402515,73409861398061
7680141690215,73409895600706
7680174982215,73409927698261
7680208270515,73409961728884
7680241558515,73409987781490
7680274854115,73410035072638
7680308138915,73410061464049
7680341426315,73410094309842
7680374722815,73410127761781
7680408008815,73410161562023
7680441295215,73410194497725
7680474591315,73410228008573
7680507873415,73410260567012
7680541163715,73410295721989
7680574480815,73410328296619
7680607741815,73410366547865
7680641031815,73410394096933
7680674340715,73410427953492
7680707609615,73410466354540
7680740899615,73410494897033
7680774189715,73410528777144
7680807478115,73410560861653
7680840767915,73410597192598
7680874056715,73410632553059
7680907348715,73410661233027
7680940635715,73410695211210
7680973941315,73410727901182
7681007220815,73410762087142
7681040537615,73410794425584
7681073792415,73410827854920
7681107089315,73410860653282
7681140372715,73410894760744
7681173663315,73410928434454
7681206958115,73410961385356
7681240239515,73410994599594
7681273531515,73411028252292
7681306818315,73411060529418
7681340107915,73411094841725
